tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
-48.92249, -5.83002133333333, 5.555555556, 12.77777778, 14.131375, -67.291155, -54.4788, -5.263785, 2.79634618533333, 4.366061722, -58.6177375, -23.8787388333333, -0.936388, 7.777777779, 7.891690975, NA, NA, NA, NA, NA, NA, 2.82419879633333, 13.9155481483333, 7.87219337983333
-48.670689, -5.59152573333334, 5.476653278, 12.9988506666667, 15.499993, -67.0282685, -62.843392, -5.7966395, 2.97718623333333, 4.3582234498, -58.58451225, -26.0773809666667, -0.550789750000003, 7.80421414723333, 9.49973989749999, NA, NA, NA, NA, NA, NA, 2.777777778, 13.193254, 7.55555555633332
-48.418888, -10.4928696666667, 5.034818, 12.829238076, 15.479336, -68.364058, -63.273604, -5.728641, 1.87522783706667, 3.784684, -58.551287, -31.8653611666667, -0.116283500000004, 6.78215390386667, 9.32113606999999, NA, NA, NA, NA, NA, NA, 2.40916878139999, 13.0848746666667, 6.82877451453333
-39.423856, -7.3177398, 4.715205, 11.3847936286667, 16.225616, -67.52407, -63.273604, -7.355789, 0.0627374533333331, 1.80650432, -53.201849, -29.2359191666667, -3.17567, 5.42183230733333, 8.39622151, NA, NA, NA, NA, NA, NA, 2.43258743693333, 12.8689202973333, 6.79722817013333
-17.7439854, -7.3177398, 3.986457, 11.3847936286667, 17.536052, -67.52407, -62.815144, -7.67156300000001, 0.0948361599999997, 3.2824094, -37.537266, -25.388942, -3.84501355, 5.42183230733333, 9.62510796, NA, NA, NA, NA, NA, NA, 2.39314395913332, 12.8518310753333, 6.76568182573333
-8.0121592, -6.0563744, 3.78855, 11.8163753333333, 17.536052, -67.52407, -62.815144, -10.55555556, -0.7994506, 1.69520792, -31.30501, -25.388942, -3.84501355, 4.71458984066667, 9.62510796, NA, NA, NA, NA, NA, NA, 2.02980166666665, 13.17715, 6.963599296
-8.0121592, -6.0563744, 3.094571, 11.134252, 14.92165, -68.814502, -37.68909, -7.355789, -0.988747853333333, 0.125948699999999, -33.4328608, -18.4160491966667, -3.055555558, 3.75819816666667, 7.54275535, NA, NA, NA, NA, NA, NA, 1.94177336666666, 13.363799741, 6.9578528404
-6.5611036, -4.88647606666667, 3.094571, 11.6530686666667, 14.92165, -68.814502, -25.0610666666667, -7.222222222, 0.078799533333333, 1.1050294444, -33.2330834, -15.1528432333333, -2.4330425, 4.95524083906667, 7.57280973999999, NA, NA, NA, NA, NA, NA, 1.80768853333332, 13.295309852, 6.6522878
-5.4157408, -4.7759316, 3.234721, 12.2576593333333, 14.390865334, -68.712562, -29.8539533333334, -7.222222222, 1.10232648146667, 2.8384394, -33.2330834, -15.2323279666667, -2.319327, 6.47654060333333, 7.1468908, NA, NA, NA, NA, NA, NA, 1.1136646962, 13.169098, 6.17657677999999
-4.9563542, -2.23197693333333, 3.78855, 14.0562143713333, 17.6604, -70.73042, -63.61417, -5.711656, 1.32844886666667, 3.195353, -33.2330834, -26.1469160666667, -1.8285605, 6.58421336666667, 7.6352437, NA, NA, NA, NA, NA, NA, 2.31728953333333, 13.169098, 6.47654060333333
-2.2474852002, -0.9052690148, 5.280862, 15.6720066666667, 17.6604, -70.615996, -63.61417, -4.444444444, 2.67875993333333, 3.4752226, -31.5203992, -26.1469160666667, -1.6666666665, 7.05023626666667, 8.6707482, NA, NA, NA, NA, NA, NA, 1.28239233333331, 13.3163525186667, 6.47654060333333
-2.2256004, -1.111111111, 5.280862, 16.0305126666667, 19.582086, -69.022378, -64.542682, -5, 3.12007033333333, 3.768166, -32.13233612, -30.2662334333333, -2.2367435, 7.4546569, 10.4303993, NA, NA, NA, NA, NA, NA, 1.28239233333331, 13.3163525186667, 6.47654060333333
