Base_period_dates, Base_period_tmin, Base_period_tmax, Base_period_prec
2011-01-01, 7.40048, 15.72722, NA
2011-01-02, 0.4705309, 15.31408, NA
2011-01-03, -7.013977, 4.790835, NA
2011-01-04, -5.728641, 10.12999, NA
2011-01-05, -19.43912, 6.129961, NA
2011-01-06, -6.139644, 5.297147, NA
2011-01-07, -2.18792, 3.234721, NA
2011-01-08, -3.807351, -0.955391, NA
2011-01-09, -7.222222222, -1.666666667, NA
2011-01-10, -7.222222222, -1.111111111, NA
2011-01-11, -7.222222222, 0.555555556, NA
2011-01-12, -4.444444444, -0.555555556, NA
2011-01-13, -5, 0, NA
2011-01-14, -5.555555556, 0.555555556, NA
2011-01-15, 5.929486, 7.678078, NA
2011-01-16, -1.858731, 5.178781, NA
2011-01-17, -0.8808852, 1.908044, NA
2011-01-18, -0.8740937, 3.653069, NA
2011-01-19, 3.719503, 9.605564, NA
2011-01-20, -2.167959, 6.360498, NA
2011-01-21, -9.043717, 4.293536, NA
2011-01-22, -9.546945, -9.081966, NA
2011-01-23, -11.66666667, -3.333333333, NA
2011-01-24, NA, NA, NA
2011-01-25, 2.196861, 10.75436, NA
2011-01-26, 0.7600765, 3.868999, NA
2011-01-27, -1.976365, 3.703235, NA
2011-01-28, 0.2102914, 2.277114, NA
2011-01-29, 1.993121, 2.936958, NA
2011-01-30, 1.677799, 6.493356, NA
2011-01-31, -2.246365, 1.647292, NA
2011-02-01, -2.181831, 4.275089, NA
2011-02-02, -1.00096, 15.71937, NA
2011-02-03, -5.012786, 1.444529, NA
2011-02-04, -5.97254, 3.927928, NA
2011-02-05, 0.3813692, 5.660956, NA
2011-02-06, -0.9195327, 8.246126, NA
2011-02-07, -2.911019, 7.380778, NA
2011-02-08, -6.137581, 3.86143, NA
2011-02-09, -9.966474, -0.5847468, NA
2011-02-10, -8.16435, 1.914613, NA
2011-02-11, -9.518566, 7.0087, NA
2011-02-12, -4.413717, 7.318558, NA
2011-02-13, -1.205095, 13.70578, NA
2011-02-14, 4.799481, 18.72144, NA
2011-02-15, -2.612744, 8.099588, NA
2011-02-16, 0.001027121, 13.56933, NA
2011-02-17, 5.899782, 21.90197, NA
2011-02-18, 9.674113, 24.03259, NA
2011-02-19, 3.025889, 14.04365, NA
2011-02-20, -3.975865, 9.774737, NA
2011-02-21, -1.280505, 9.352146, NA
2011-02-22, -4.979406, 0.3247607, NA
2011-02-23, -2.758632, 6.49347, NA
