"Year","PineMt_QUMO"
1901,1.187
1902,0.789
1903,0.921
1904,0.869
1905,1.026
1906,0.975
1907,1.227
1908,1.097
1909,1.188
1910,1.01
1911,0.836
1912,1.111
1913,0.884
1914,1
1915,1.172
1916,0.955
1917,0.882
1918,1.058
1919,1.008
1920,0.963
1921,1.091
1922,1.165
1923,1.351
1924,0.953
1925,0.641
1926,0.894
1927,0.913
1928,1.058
1929,1.054
1930,0.855
1931,0.931
1932,1.117
1933,0.832
1934,0.866
1935,0.871
1936,0.772
1937,1.226
1938,1.158
1939,1.01
1940,0.936
1941,0.716
1942,1.247
1943,1.184
1944,0.971
1945,1.222
1946,1.212
1947,1.057
1948,0.886
1949,1.19
1950,1.119
1951,0.657
1952,0.986
1953,0.933
1954,1.033
1955,1
1956,0.892
1957,0.913
1958,0.928
1959,0.892
1960,0.768
1961,1.052
1962,0.822
1963,1.048
1964,0.842
1965,0.987
1966,1.099
1967,1.073
1968,1.105
1969,1.153
1970,1.027
1971,1.049
1972,1.215
1973,1.064
1974,0.944
1975,1.114
1976,0.992
1977,0.847
1978,1.128
1979,0.953
1980,0.993
1981,0.883
1982,1.02
1983,1.039
1984,0.966
1985,0.845
1986,0.887
1987,0.967
1988,1.098
1989,1.191
1990,1.008
1991,1.199
1992,0.939
1993,0.988
1994,1.077
1995,0.757
1996,1.199
1997,1.143
1998,0.755
1999,0.951
2000,0.872
2001,1.12
2002,0.861
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
