"Year","IN_Hoo_QURU"
1901,1.088
1902,1.056
1903,1.244
1904,0.99
1905,1.035
1906,0.905
1907,0.9
1908,0.885
1909,1.089
1910,1.054
1911,0.812
1912,1.064
1913,0.632
1914,0.802
1915,1.254
1916,1.182
1917,0.912
1918,1.026
1919,0.838
1920,1.082
1921,1.015
1922,1.065
1923,1.014
1924,1.105
1925,1.051
1926,1.107
1927,0.853
1928,1.138
1929,1.046
1930,0.79
1931,0.996
1932,1.085
1933,0.791
1934,1.121
1935,1.165
1936,0.697
1937,1.35
1938,1.229
1939,0.976
1940,0.907
1941,0.942
1942,1.087
1943,0.842
1944,0.878
1945,1.067
1946,0.861
1947,1.232
1948,0.998
1949,1.025
1950,1.085
1951,0.99
1952,0.939
1953,0.83
1954,0.869
1955,1.151
1956,1.161
1957,1.195
1958,0.971
1959,0.92
1960,1.082
1961,1.003
1962,0.961
1963,0.932
1964,1.017
1965,1.153
1966,0.853
1967,0.854
1968,1.214
1969,1.018
1970,0.783
1971,0.947
1972,0.918
1973,1.024
1974,1.053
1975,0.988
1976,0.967
1977,0.903
1978,1.168
1979,1.016
1980,1.018
1981,0.798
1982,1.037
1983,0.865
1984,0.938
1985,1.178
1986,1.016
1987,1.151
1988,0.772
1989,1.05
1990,1.048
1991,0.974
1992,1.094
1993,0.734
1994,0.851
1995,0.925
1996,0.793
1997,0.871
1998,1.068
1999,1.026
2000,0.999
2001,1.22
2002,1.129
2003,1.179
2004,1.09
2005,1.022
2006,0.98
2007,0.958
2008,1.043
2009,1
2010,1.079
2011,0.973
2012,0.758
2013,1.02
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
