"Year","IN_Hoo_CAOV"
1901,0.833
1902,1.175
1903,1.005
1904,1.09
1905,1.32
1906,0.926
1907,1.114
1908,0.942
1909,0.712
1910,1.197
1911,0.932
1912,1.434
1913,0.729
1914,0.702
1915,1.344
1916,1.338
1917,1.026
1918,0.884
1919,1.001
1920,0.963
1921,0.886
1922,1.12
1923,0.901
1924,1.069
1925,1.039
1926,0.928
1927,0.984
1928,1.114
1929,0.978
1930,0.894
1931,0.868
1932,1.167
1933,0.722
1934,1.143
1935,1.119
1936,0.694
1937,0.983
1938,1.192
1939,0.957
1940,0.933
1941,0.951
1942,1.216
1943,0.946
1944,0.782
1945,1.101
1946,0.882
1947,0.882
1948,1.003
1949,1.025
1950,1.097
1951,1.04
1952,0.882
1953,0.923
1954,0.709
1955,1.285
1956,1.167
1957,1.027
1958,1.124
1959,1.072
1960,1.18
1961,1.06
1962,1.031
1963,0.981
1964,0.986
1965,1.093
1966,0.942
1967,0.874
1968,1.087
1969,0.85
1970,0.674
1971,0.89
1972,0.947
1973,1.365
1974,1.046
1975,1.07
1976,1.087
1977,0.952
1978,1.055
1979,0.987
1980,0.977
1981,0.281
1982,1.153
1983,0.759
1984,0.732
1985,0.889
1986,1.055
1987,0.717
1988,0.702
1989,1.007
1990,1.319
1991,0.839
1992,1.272
1993,1.019
1994,0.863
1995,1.087
1996,1.077
1997,1.013
1998,1.015
1999,1.239
2000,1.19
2001,1.056
2002,1.043
2003,0.945
2004,1.27
2005,0.931
2006,1.045
2007,0.822
2008,1.049
2009,1.001
2010,1.008
2011,1.097
2012,0.6
2013,1.237
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
