"deltaAICc","WindowOpen","WindowClose","ModelBeta","Std.Error","ModelBetaQ","ModelBetaC","ModelInt","Function","Furthest","Closest","Statistics","Type","K","ModWeight","sample.size","Reference.day","Reference.month","Randomised"
-251.874479948766,4,3,-3.98137537822428,0.224404167031456,NA,NA,291.127033305295,"lin",23.7142857142857,0,"mean","absolute",0,0.802981673750192,5,"15","07","no"
-249.061256243787,10,7,-3.82057086507325,0.21681447555831,NA,NA,266.315003133223,"lin",23.7142857142857,0,"mean","absolute",0,0.196707929839675,5,"15","07","no"
-236.155472397855,11,6,-4.61314869934381,0.270334157100579,NA,NA,280.371664453903,"lin",23.7142857142857,0,"mean","absolute",0,0.000310003440245655,5,"15","07","no"
-222.26278871619,11,3,-4.46765506385455,0.271455886367474,NA,NA,284.559991723382,"lin",23.7142857142857,0,"mean","absolute",0,2.98269318921081e-07,5,"15","07","no"
-219.787629080859,11,7,-3.27587657643552,0.200369125351591,NA,NA,253.638794730129,"lin",23.7142857142857,0,"mean","absolute",0,8.65235832466528e-08,5,"15","07","no"
-213.547380674256,4,4,-1.99179757240311,0.123919209784356,NA,NA,241.279334868663,"lin",23.7142857142857,0,"mean","absolute",0,3.820161931506e-09,5,"15","07","no"
-212.663381336381,11,4,-3.96753625179473,0.247443219553053,NA,NA,272.051269936576,"lin",23.7142857142857,0,"mean","absolute",0,2.45540850175107e-09,5,"15","07","no"
-211.619296018777,10,9,-2.05133737094955,0.128306848341198,NA,NA,235.452239724677,"lin",23.7142857142857,0,"mean","absolute",0,1.4568119967918e-09,5,"15","07","no"
-209.071429010931,4,2,-6.85745041216794,0.431983511654539,NA,NA,369.221679768847,"lin",23.7142857142857,0,"mean","absolute",0,4.07512765873167e-10,5,"15","07","no"
-203.273917464528,17,17,3.91408261129166,0.250661420260377,NA,NA,168.064856075052,"lin",23.7142857142857,0,"mean","absolute",0,2.24505808360892e-11,5,"15","07","no"
-201.929032883635,11,2,-4.92815912208513,0.316829576355608,NA,NA,297.67814345147,"lin",23.7142857142857,0,"mean","absolute",0,1.146013161372e-11,5,"15","07","no"
-199.36059999543,11,5,-4.38651592615971,0.284120051830067,NA,NA,277.799548232237,"lin",23.7142857142857,0,"mean","absolute",0,3.17293729939406e-12,5,"15","07","no"
-185.198570198105,10,6,-4.28847125985265,0.289874740747318,NA,NA,277.521222236628,"lin",23.7142857142857,0,"mean","absolute",0,2.6681841090296e-15,5,"15","07","no"
-183.72301045769,1,1,2.31472738756495,0.157183075669294,NA,NA,133.233817967643,"lin",23.7142857142857,0,"mean","absolute",0,1.27585719414879e-15,5,"15","07","no"
-183.310528481681,10,3,-4.13050074416826,0.280846879814979,NA,NA,280.498666086878,"lin",23.7142857142857,0,"mean","absolute",0,1.03808458913221e-15,5,"15","07","no"
-179.81084286929,9,9,-2.44771619686043,0.168279370928673,NA,NA,243.393286817292,"lin",23.7142857142857,0,"mean","absolute",0,1.80420411430576e-16,5,"15","07","no"
-179.386871794264,10,4,-3.70562848692272,0.255104962715969,NA,NA,269.398241830575,"lin",23.7142857142857,0,"mean","absolute",0,1.45955854437128e-16,5,"15","07","no"
-178.767645746339,5,3,-3.86052967065738,0.266295415080284,NA,NA,284.283926944295,"lin",23.7142857142857,0,"mean","absolute",0,1.07092311320797e-16,5,"15","07","no"
-178.345982673067,12,7,-4.84797748976437,0.334860786218793,NA,NA,279.421117754967,"lin",23.7142857142857,0,"mean","absolute",0,8.67351869406012e-17,5,"15","07","no"
-176.120528871912,1,0,3.86745465498171,0.269058139782463,NA,NA,96.3128815571483,"lin",23.7142857142857,0,"mean","absolute",0,2.85065175741263e-17,5,"15","07","no"
-174.657625646285,10,8,-2.60696819959922,0.182231735385747,NA,NA,244.237278417416,"lin",23.7142857142857,0,"mean","absolute",0,1.37176199624856e-17,5,"15","07","no"
-173.336900205316,11,9,-1.87361319106183,0.131536823400688,NA,NA,228.901107832393,"lin",23.7142857142857,0,"mean","absolute",0,7.08739897258418e-18,5,"15","07","no"
