"wood_type","percs","refwoy","refmonth","refday","winopenwoy","winclosewoy","bestmodel_beta","median_windowopendate","median_windowclosedate"
"diffuse-porous",0.25,24,"06","17",6,1,-4.13801500238199,"2011-05-10","2011-06-04"
"diffuse-porous",0.5,26,"07","04",3,2,-2.6169593256396,"2011-04-30","2011-06-07"
"diffuse-porous",0.75,29,"07","20",12,10,-1.67309229422871,"2011-05-03","2011-05-14"
"ring-porous",0.25,21,"05","26",11,1,-12.5813266878796,"2011-03-12","2011-04-23"
"ring-porous",0.5,24,"06","18",6,4,-3.06718298053334,"2011-03-15","2011-05-10"
"ring-porous",0.75,28,"07","15",4,3,-3.98137537822428,"2011-06-18","2011-06-25"
