"wood_type","percs","refwoy","refmonth","refday","winopenwoy","winclosewoy","bestmodel_beta","median_windowopendate","median_windowclosedate"
"diffuse-porous",0.25,23,"06","14",1,1,-3.53110983371818,"2011-05-21","2011-06-07"
"diffuse-porous",0.5,26,"07","01",3,0,-5.45518707336501,"2011-06-11","2011-07-02"
"diffuse-porous",0.75,28,"07","18",5,4,-2.54647577261687,"2011-06-11","2011-06-18"
"ring-porous",0.25,20,"05","20",8,0,-15.342937331705,"2011-03-26","2011-05-21"
"ring-porous",0.5,24,"06","16",5,3,-5.52966878634773,"2011-05-07","2011-05-28"
"ring-porous",0.75,28,"07","13",17,17,3.72400378380037,"2011-05-07","2011-05-28"
