"Year","IN_Mel_FRNI"
1901,0.979
1902,1.245
1903,1.183
1904,0.979
1905,0.947
1906,0.918
1907,1.038
1908,0.922
1909,0.981
1910,0.963
1911,0.89
1912,1.041
1913,0.967
1914,0.816
1915,1.236
1916,1.103
1917,1.044
1918,0.833
1919,0.825
1920,1.121
1921,0.778
1922,0.898
1923,0.984
1924,1.17
1925,0.879
1926,0.971
1927,1.016
1928,1.071
1929,1.037
1930,0.757
1931,1.03
1932,1.275
1933,0.913
1934,0.823
1935,1.076
1936,0.713
1937,1.108
1938,1.056
1939,1.153
1940,0.951
1941,0.772
1942,1.078
1943,1.059
1944,0.975
1945,1.134
1946,0.957
1947,0.917
1948,0.96
1949,1.013
1950,1.238
1951,1.13
1952,0.924
1953,1.105
1954,0.823
1955,1.319
1956,1.05
1957,1.221
1958,1.176
1959,0.848
1960,1.046
1961,0.874
1962,0.919
1963,0.932
1964,0.764
1965,0.902
1966,1.094
1967,0.885
1968,1.007
1969,0.938
1970,0.751
1971,1.028
1972,1.079
1973,1.226
1974,1.04
1975,0.785
1976,0.946
1977,0.937
1978,0.982
1979,0.999
1980,1.133
1981,1.036
1982,1.044
1983,0.956
1984,0.992
1985,1.117
1986,1.039
1987,1.047
1988,0.857
1989,1.057
1990,0.943
1991,0.998
1992,1.157
1993,1.29
1994,0.857
1995,0.941
1996,0.9
1997,0.897
1998,1.155
1999,0.76
2000,1.089
2001,1.336
2002,0.859
2003,1.171
2004,0.814
2005,0.893
2006,1.193
2007,0.667
2008,0.77
2009,0.856
2010,1.21
2011,0.996
2012,0.964
2013,0.978
2014,1.136
2015,1.109
2016,0.816
2017,NA
2018,NA
2019,NA
