"Year","IN_Wes_LITU"
1901,0.702
1902,0.709
1903,1.001
1904,1.036
1905,1.004
1906,1.123
1907,1.056
1908,0.893
1909,1.188
1910,1.336
1911,0.924
1912,1.439
1913,0.802
1914,0.682
1915,1.241
1916,1.014
1917,0.942
1918,0.743
1919,1.063
1920,1.004
1921,0.856
1922,1.249
1923,1.091
1924,1.126
1925,0.856
1926,0.598
1927,1.244
1928,1.291
1929,1.003
1930,0.68
1931,0.755
1932,0.847
1933,0.853
1934,1.182
1935,1.12
1936,0.457
1937,0.738
1938,1.297
1939,1.197
1940,0.818
1941,0.755
1942,0.956
1943,1.165
1944,0.634
1945,0.933
1946,1.422
1947,1.264
1948,1.072
1949,1.155
1950,1.059
1951,1.176
1952,0.857
1953,0.824
1954,0.585
1955,0.878
1956,0.676
1957,1.259
1958,1.229
1959,1.101
1960,1.456
1961,1.008
1962,0.885
1963,0.865
1964,0.704
1965,0.74
1966,0.775
1967,0.867
1968,1.254
1969,1.142
1970,0.811
1971,1.169
1972,0.842
1973,1.408
1974,0.957
1975,1.387
1976,0.968
1977,1.156
1978,0.671
1979,1.034
1980,1.115
1981,0.943
1982,1.047
1983,0.807
1984,0.573
1985,1.349
1986,1.06
1987,1.122
1988,0.451
1989,1.217
1990,1.14
1991,0.984
1992,1.267
1993,1.087
1994,0.733
1995,1.406
1996,0.629
1997,0.967
1998,1.387
1999,0.915
2000,1.071
2001,1.198
2002,0.922
2003,0.83
2004,1.232
2005,1.077
2006,1.418
2007,0.574
2008,0.681
2009,0.801
2010,1.225
2011,1.026
2012,0.664
2013,0.833
2014,1.178
2015,0.988
2016,NA
2017,NA
2018,NA
2019,NA
