"Description: ","Dates where TN>TX"
"Station: ","SCBI_mettower_data_sensor1"
"Latitude: ","30"
"Longitude: ","70"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-09-13"
Date,Prec,TX,TN
