"Year","Greenb_LITU"
1901,0.393
1902,1.488
1903,1.286
1904,0.516
1905,1.287
1906,2.134
1907,1.967
1908,0.572
1909,1.41
1910,0.174
1911,0.816
1912,1.323
1913,0.976
1914,0.554
1915,0.871
1916,2.14
1917,1.79
1918,0.438
1919,1.393
1920,0.112
1921,0.817
1922,2.219
1923,1.596
1924,0.882
1925,1.569
1926,1.362
1927,2.27
1928,0.046
1929,1.476
1930,0.122
1931,0.689
1932,1.298
1933,1.006
1934,0.503
1935,1.008
1936,1.95
1937,1.451
1938,0.583
1939,0.94
1940,0.1
1941,0.444
1942,1.668
1943,0.817
1944,0.597
1945,0.93
1946,1.242
1947,1.535
1948,-0.03
1949,1.082
1950,0.019
1951,0.469
1952,2.398
1953,1.073
1954,1.158
1955,1.235
1956,1.644
1957,1.985
1958,0.046
1959,1.268
1960,0.099
1961,0.54
1962,1.628
1963,0.98
1964,0.635
1965,1.109
1966,1.335
1967,1.386
1968,0.27
1969,0.604
1970,0.048
1971,0.155
1972,2.042
1973,1.235
1974,0.624
1975,1.435
1976,2.084
1977,2.503
1978,0.34
1979,1.746
1980,0.201
1981,0.888
1982,1.301
1983,0.813
1984,0.649
1985,0.749
1986,1.9
1987,1.909
1988,0.249
1989,1.515
1990,0.073
1991,0.792
1992,1.744
1993,1.568
1994,0.681
1995,1.547
1996,1.77
1997,1.835
1998,0.552
1999,1.21
2000,0.156
2001,0.765
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
