"Year","BearIs"
1901,1.111
1902,0.88
1903,1.32
1904,1.531
1905,1.02
1906,0.977
1907,1.107
1908,0.944
1909,1.036
1910,1.231
1911,0.306
1912,1.177
1913,1.025
1914,0.873
1915,1.257
1916,1.384
1917,1.385
1918,0.79
1919,1.017
1920,1.185
1921,0.921
1922,0.786
1923,1.012
1924,1.27
1925,0.726
1926,0.979
1927,1.219
1928,1.066
1929,1.122
1930,0.724
1931,0.564
1932,0.859
1933,0.859
1934,1.078
1935,1.052
1936,0.784
1937,1.154
1938,0.992
1939,0.917
1940,0.884
1941,0.96
1942,0.735
1943,1.081
1944,0.772
1945,1.33
1946,1.088
1947,1.083
1948,1.116
1949,0.944
1950,1.17
1951,1.243
1952,0.775
1953,1.21
1954,0.97
1955,0.836
1956,0.912
1957,1.002
1958,1.009
1959,0.995
1960,1.162
1961,1.129
1962,0.938
1963,0.822
1964,0.845
1965,0.823
1966,0.896
1967,0.961
1968,1.073
1969,0.965
1970,1.031
1971,0.985
1972,1.094
1973,0.944
1974,1.04
1975,0.949
1976,1.145
1977,1.018
1978,1.004
1979,1.033
1980,1.163
1981,0.907
1982,0.79
1983,1.191
1984,0.99
1985,0.983
1986,0.823
1987,0.895
1988,0.993
1989,1.082
1990,1.003
1991,0.927
1992,1.11
1993,1.01
1994,1.073
1995,1.085
1996,1
1997,1.204
1998,0.88
1999,0.658
2000,0.977
2001,1.104
2002,1.283
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
