"Year","IL_Sta_QURU"
1901,1.09
1902,1.345
1903,1.153
1904,1.132
1905,0.98
1906,0.83
1907,1.237
1908,1.141
1909,0.89
1910,0.933
1911,0.949
1912,1.274
1913,0.952
1914,0.776
1915,1.094
1916,1.146
1917,0.911
1918,0.894
1919,0.923
1920,0.861
1921,0.833
1922,0.981
1923,0.909
1924,1.144
1925,0.88
1926,0.934
1927,1.054
1928,1.237
1929,1.113
1930,0.963
1931,0.812
1932,1.115
1933,0.855
1934,0.519
1935,1.281
1936,0.827
1937,1.184
1938,1.065
1939,0.911
1940,0.814
1941,0.989
1942,1.266
1943,1.014
1944,1.023
1945,1.003
1946,0.972
1947,1.039
1948,0.844
1949,0.998
1950,0.961
1951,1.152
1952,1.172
1953,0.927
1954,0.92
1955,1.126
1956,0.938
1957,0.963
1958,1.198
1959,1.057
1960,1.094
1961,0.853
1962,1.099
1963,0.882
1964,0.864
1965,0.872
1966,0.907
1967,0.896
1968,1.004
1969,1.166
1970,1.109
1971,0.991
1972,1.015
1973,1.167
1974,1.079
1975,1.144
1976,0.8
1977,0.806
1978,1.261
1979,0.996
1980,1.095
1981,1.003
1982,1.342
1983,0.873
1984,0.977
1985,0.92
1986,1.035
1987,1.007
1988,0.862
1989,0.81
1990,1.141
1991,1.003
1992,0.867
1993,1.392
1994,0.81
1995,0.961
1996,0.968
1997,0.85
1998,1.122
1999,1.07
2000,0.983
2001,1.062
2002,0.927
2003,0.781
2004,0.999
2005,0.976
2006,0.773
2007,0.949
2008,1.187
2009,1.084
2010,1.044
2011,0.989
2012,0.864
2013,1.201
2014,0.887
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
