"Year","NC_Joy_QURU"
1901,0.805
1902,1.006
1903,0.826
1904,0.976
1905,1.057
1906,1.002
1907,1.03
1908,0.737
1909,0.938
1910,0.808
1911,0.696
1912,1.162
1913,0.962
1914,0.791
1915,1.101
1916,1.083
1917,0.849
1918,1.056
1919,1.046
1920,0.993
1921,1.016
1922,1.037
1923,0.872
1924,0.979
1925,0.743
1926,0.892
1927,1.064
1928,1.011
1929,0.738
1930,0.916
1931,1.016
1932,1.246
1933,0.984
1934,1.48
1935,0.897
1936,0.919
1937,1.28
1938,1.093
1939,1.122
1940,0.875
1941,1.034
1942,1.085
1943,1.159
1944,0.912
1945,1.047
1946,0.957
1947,1.091
1948,0.992
1949,1.024
1950,0.963
1951,1.059
1952,1.03
1953,0.934
1954,1.011
1955,0.913
1956,1.095
1957,0.954
1958,0.936
1959,1.007
1960,0.951
1961,0.889
1962,0.606
1963,1.097
1964,1
1965,1.178
1966,1.155
1967,0.966
1968,1.262
1969,1.021
1970,1.137
1971,0.846
1972,1.048
1973,1.017
1974,1.075
1975,0.925
1976,0.776
1977,1.008
1978,1.068
1979,0.96
1980,0.99
1981,1.047
1982,1.1
1983,0.901
1984,0.768
1985,1.109
1986,0.943
1987,1.06
1988,0.812
1989,1.103
1990,1.267
1991,0.908
1992,1.077
1993,0.907
1994,1.057
1995,0.904
1996,1.164
1997,0.919
1998,0.86
1999,0.966
2000,1.024
2001,0.88
2002,1.095
2003,1.034
2004,1.115
2005,0.728
2006,0.978
2007,0.946
2008,0.94
2009,0.978
2010,1.085
2011,1.247
2012,1.01
2013,0.995
2014,1.036
2015,1.111
2016,0.993
2017,0.876
2018,0.842
2019,NA
