"Year","StottF_CAGL"
1901,1.168
1902,1.194
1903,1.175
1904,1.097
1905,1.04
1906,1.05
1907,0.945
1908,0.919
1909,0.94
1910,0.987
1911,0.909
1912,0.888
1913,0.581
1914,0.621
1915,1.001
1916,1.239
1917,0.894
1918,0.997
1919,0.782
1920,1.095
1921,0.886
1922,1.091
1923,0.879
1924,0.864
1925,0.945
1926,1.042
1927,1.048
1928,1.009
1929,1.04
1930,1.026
1931,1.068
1932,1.242
1933,0.933
1934,1.047
1935,1.043
1936,0.798
1937,0.832
1938,1.023
1939,0.982
1940,1.159
1941,0.98
1942,1.074
1943,0.928
1944,1.053
1945,0.984
1946,1.007
1947,1.185
1948,0.934
1949,0.796
1950,1.044
1951,1.118
1952,1.042
1953,0.977
1954,1.06
1955,1.249
1956,0.884
1957,0.875
1958,1.043
1959,0.845
1960,0.858
1961,1.152
1962,0.92
1963,0.997
1964,0.963
1965,0.652
1966,0.96
1967,0.9
1968,0.99
1969,1.074
1970,1.067
1971,0.978
1972,1.24
1973,0.998
1974,0.866
1975,1.011
1976,1.196
1977,1.038
1978,0.964
1979,1.1
1980,0.98
1981,0.845
1982,1.129
1983,0.835
1984,1.006
1985,1.192
1986,1.211
1987,1.131
1988,0.854
1989,0.976
1990,0.947
1991,0.771
1992,1.102
1993,0.918
1994,0.994
1995,0.84
1996,1.066
1997,0.853
1998,1.059
1999,0.899
2000,1.192
2001,1.166
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
