"Year","Whiske_QUMO"
1901,0.938
1902,1.256
1903,1.35
1904,1.184
1905,0.884
1906,1.109
1907,0.801
1908,0.971
1909,0.85
1910,0.817
1911,1.239
1912,1.036
1913,0.851
1914,0.849
1915,1.101
1916,1.042
1917,0.943
1918,0.832
1919,1.069
1920,1.028
1921,1.141
1922,1.197
1923,0.933
1924,1.012
1925,1.239
1926,1.024
1927,1.116
1928,1.261
1929,0.883
1930,1.064
1931,1.182
1932,1.295
1933,0.757
1934,0.838
1935,1.159
1936,0.525
1937,1.094
1938,1.129
1939,0.973
1940,1.093
1941,0.847
1942,0.844
1943,0.882
1944,0.909
1945,0.886
1946,1.007
1947,1.054
1948,0.917
1949,0.76
1950,0.916
1951,0.953
1952,0.998
1953,1.061
1954,1.128
1955,1.038
1956,1.116
1957,1.049
1958,1.285
1959,0.967
1960,0.836
1961,1.289
1962,0.72
1963,0.874
1964,0.869
1965,0.805
1966,1.018
1967,1.096
1968,1.05
1969,1.257
1970,1.033
1971,1.105
1972,1.154
1973,0.988
1974,1.078
1975,0.823
1976,1.002
1977,0.925
1978,0.97
1979,0.956
1980,1.211
1981,0.887
1982,1.167
1983,0.673
1984,1.065
1985,1.051
1986,1.134
1987,0.924
1988,1.128
1989,1.166
1990,0.846
1991,0.838
1992,0.964
1993,1.035
1994,0.98
1995,1.023
1996,1.003
1997,0.9
1998,1.057
1999,0.905
2000,1.076
2001,1.016
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
