"Year","OH_Heu_LITU"
1901,0.72
1902,1.308
1903,1.199
1904,0.971
1905,1.266
1906,1.325
1907,1.16
1908,1.127
1909,0.905
1910,0.554
1911,0.76
1912,1.227
1913,0.928
1914,0.582
1915,1.299
1916,0.935
1917,1.033
1918,0.808
1919,1.188
1920,0.717
1921,0.782
1922,0.917
1923,1.051
1924,1.481
1925,1.045
1926,1.435
1927,1.304
1928,1.009
1929,0.986
1930,0.769
1931,0.701
1932,0.866
1933,0.752
1934,0.666
1935,0.944
1936,0.284
1937,0.856
1938,1.468
1939,1.209
1940,0.767
1941,0.975
1942,1.117
1943,0.99
1944,0.674
1945,0.93
1946,1.219
1947,1.134
1948,0.983
1949,1.013
1950,1.249
1951,1.148
1952,0.844
1953,0.937
1954,0.827
1955,1.292
1956,0.893
1957,1.251
1958,1.335
1959,1.142
1960,0.989
1961,1.033
1962,0.951
1963,0.637
1964,0.923
1965,0.555
1966,0.815
1967,0.82
1968,1.31
1969,1.234
1970,1.069
1971,1.301
1972,0.747
1973,1.14
1974,1.347
1975,0.916
1976,1.159
1977,0.561
1978,1.004
1979,0.95
1980,1.53
1981,0.706
1982,1.288
1983,0.71
1984,0.566
1985,1.091
1986,1.03
1987,0.956
1988,0.335
1989,0.926
1990,1.378
1991,0.914
1992,1.17
1993,1.019
1994,0.866
1995,1.38
1996,0.883
1997,0.827
1998,1.644
1999,0.918
2000,0.871
2001,1.448
2002,0.663
2003,1.147
2004,1.102
2005,1.162
2006,1.194
2007,0.488
2008,0.886
2009,0.749
2010,1.46
2011,0.819
2012,0.68
2013,0.807
2014,0.822
2015,1.221
2016,1.076
2017,NA
2018,NA
2019,NA
