"Year","Middle_QUMO"
1901,1.061
1902,1.136
1903,1.157
1904,1.101
1905,1.04
1906,1.206
1907,0.973
1908,0.854
1909,0.932
1910,0.928
1911,0.965
1912,0.917
1913,0.8
1914,0.865
1915,1.034
1916,1.064
1917,1.093
1918,0.962
1919,1.095
1920,1.092
1921,1.096
1922,1.055
1923,0.931
1924,0.882
1925,1.122
1926,0.847
1927,0.908
1928,1.097
1929,1.038
1930,0.939
1931,1.057
1932,1.11
1933,0.842
1934,0.962
1935,1.077
1936,0.75
1937,1.041
1938,1.063
1939,0.952
1940,0.975
1941,0.845
1942,0.889
1943,0.939
1944,1.032
1945,1.059
1946,1.078
1947,1.229
1948,0.979
1949,0.884
1950,1.069
1951,1.252
1952,1.087
1953,1.105
1954,0.956
1955,1.049
1956,0.878
1957,0.923
1958,1.151
1959,0.787
1960,1.133
1961,1.303
1962,0.866
1963,0.859
1964,0.934
1965,0.767
1966,0.898
1967,0.961
1968,0.948
1969,1.107
1970,0.937
1971,0.952
1972,1.28
1973,0.961
1974,1.129
1975,0.934
1976,1.133
1977,0.851
1978,0.947
1979,1.13
1980,1.112
1981,1.034
1982,0.975
1983,0.832
1984,0.886
1985,0.978
1986,1.018
1987,1.003
1988,0.919
1989,1.257
1990,1.029
1991,0.876
1992,1.028
1993,0.809
1994,1.028
1995,0.979
1996,1.053
1997,0.988
1998,1.246
1999,0.934
2000,1.111
2001,0.943
2002,0.894
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
