"Year","IN_Bro_QURU"
1901,0.939
1902,1.241
1903,1.121
1904,1.071
1905,1.124
1906,1.044
1907,1.122
1908,0.867
1909,1.225
1910,1.103
1911,0.875
1912,1.156
1913,1.039
1914,0.553
1915,1.301
1916,1.243
1917,0.721
1918,1.05
1919,0.556
1920,0.841
1921,0.962
1922,1.082
1923,1.094
1924,1.132
1925,0.908
1926,0.975
1927,0.891
1928,1.193
1929,1.01
1930,0.812
1931,0.9
1932,1.167
1933,0.783
1934,0.978
1935,1.042
1936,0.718
1937,1.013
1938,1.2
1939,1.14
1940,0.93
1941,1.013
1942,1.244
1943,1.031
1944,0.708
1945,0.914
1946,0.907
1947,1.196
1948,1.006
1949,1.077
1950,1.211
1951,1.279
1952,0.956
1953,0.83
1954,0.905
1955,1.117
1956,1.132
1957,1.167
1958,1.028
1959,1.002
1960,1.18
1961,0.978
1962,1.008
1963,1.031
1964,0.977
1965,1.088
1966,0.75
1967,0.902
1968,1.046
1969,0.953
1970,0.805
1971,0.889
1972,0.716
1973,1.117
1974,0.95
1975,1.04
1976,0.707
1977,1.048
1978,1.168
1979,0.872
1980,0.956
1981,1.066
1982,1.323
1983,0.877
1984,0.914
1985,0.965
1986,0.762
1987,1.139
1988,0.764
1989,1.154
1990,1.054
1991,0.839
1992,0.929
1993,0.994
1994,0.843
1995,0.929
1996,0.985
1997,1.029
1998,1.276
1999,1.168
2000,0.986
2001,1.212
2002,1.042
2003,1.044
2004,0.963
2005,0.949
2006,1.003
2007,0.936
2008,1.135
2009,0.97
2010,1.125
2011,0.995
2012,0.73
2013,0.975
2014,0.852
2015,0.85
2016,1.051
2017,1.135
2018,NA
2019,NA
