"Year","IN_Sau_CAOV"
1901,0.923
1902,0.941
1903,1.186
1904,1.352
1905,1.193
1906,0.875
1907,1.181
1908,0.59
1909,1.448
1910,1.357
1911,0.838
1912,1.46
1913,0.855
1914,0.871
1915,1.451
1916,1.205
1917,1.034
1918,0.912
1919,0.878
1920,1.008
1921,0.857
1922,1.122
1923,1.001
1924,1.012
1925,0.812
1926,1.152
1927,1.183
1928,1.118
1929,0.924
1930,0.875
1931,0.898
1932,1.001
1933,0.765
1934,1.109
1935,1.196
1936,0.979
1937,0.999
1938,1.393
1939,0.855
1940,1.008
1941,0.946
1942,1.15
1943,0.746
1944,0.84
1945,1.099
1946,0.961
1947,1.059
1948,0.993
1949,0.93
1950,0.913
1951,1.071
1952,0.954
1953,0.87
1954,0.641
1955,1.122
1956,1.1
1957,0.819
1958,1.123
1959,1.058
1960,1.053
1961,0.783
1962,1.116
1963,0.96
1964,1.094
1965,1.152
1966,1.1
1967,0.97
1968,1.073
1969,0.95
1970,1.113
1971,1.089
1972,0.914
1973,1.223
1974,1.087
1975,0.896
1976,1.022
1977,0.892
1978,0.87
1979,1.002
1980,0.962
1981,0.528
1982,1.131
1983,0.964
1984,0.738
1985,1.046
1986,0.983
1987,0.991
1988,0.876
1989,1.144
1990,0.905
1991,0.924
1992,1.129
1993,1.101
1994,0.933
1995,1.105
1996,0.81
1997,1.025
1998,1.081
1999,1.214
2000,1.16
2001,0.845
2002,0.959
2003,0.919
2004,1.27
2005,0.881
2006,0.869
2007,0.871
2008,1.007
2009,1.138
2010,1.227
2011,1.069
2012,0.692
2013,0.72
2014,1.192
2015,1.05
2016,1.191
2017,NA
2018,NA
2019,NA
