"Year","IN_Lil_QUVE"
1901,0.918
1902,1.161
1903,1.072
1904,1.141
1905,1.006
1906,1.047
1907,1.159
1908,0.912
1909,1.045
1910,0.992
1911,0.82
1912,1.144
1913,0.775
1914,0.742
1915,1.266
1916,1.169
1917,1.071
1918,1.005
1919,0.892
1920,0.892
1921,0.971
1922,0.925
1923,0.973
1924,1.168
1925,0.881
1926,1.205
1927,1.28
1928,1.286
1929,1.139
1930,0.936
1931,0.963
1932,0.991
1933,0.851
1934,0.887
1935,1.104
1936,0.652
1937,1.043
1938,1.227
1939,1.031
1940,0.835
1941,0.808
1942,0.955
1943,0.915
1944,0.769
1945,1.01
1946,0.865
1947,1.084
1948,1.024
1949,1.078
1950,1.237
1951,1.161
1952,1.01
1953,0.854
1954,0.856
1955,0.934
1956,0.979
1957,1.21
1958,1.085
1959,1.042
1960,0.871
1961,1.002
1962,0.947
1963,1.098
1964,0.814
1965,1.044
1966,0.89
1967,0.962
1968,0.985
1969,1.051
1970,0.927
1971,1.135
1972,0.93
1973,1.125
1974,1.107
1975,1.148
1976,1.114
1977,0.946
1978,1.012
1979,0.91
1980,0.744
1981,0.807
1982,1.155
1983,0.833
1984,0.87
1985,1.072
1986,1.076
1987,1.036
1988,0.783
1989,1.187
1990,0.872
1991,0.966
1992,1.178
1993,1.057
1994,0.898
1995,1.163
1996,0.935
1997,0.919
1998,1.167
1999,1.086
2000,1.02
2001,1.205
2002,0.984
2003,0.963
2004,0.638
2005,1.199
2006,1.214
2007,0.771
2008,1.055
2009,0.889
2010,1.185
2011,0.858
2012,0.746
2013,0.965
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
