"Year","IN_Lil_QUMO"
1901,1.024
1902,0.996
1903,1.188
1904,1.102
1905,0.935
1906,1.037
1907,0.977
1908,0.904
1909,0.972
1910,0.902
1911,0.834
1912,1.029
1913,0.913
1914,0.689
1915,1.143
1916,1.225
1917,1.071
1918,0.866
1919,0.872
1920,0.992
1921,0.899
1922,0.998
1923,1.063
1924,1.165
1925,0.788
1926,1.169
1927,1.263
1928,1.143
1929,0.941
1930,0.984
1931,0.975
1932,1.136
1933,0.764
1934,0.908
1935,1.031
1936,0.664
1937,1.069
1938,1.173
1939,1.063
1940,0.788
1941,0.823
1942,1.107
1943,0.956
1944,0.764
1945,1.036
1946,1.035
1947,1.017
1948,1.041
1949,1.175
1950,1.132
1951,1.168
1952,1.049
1953,0.842
1954,0.85
1955,1.175
1956,1.141
1957,1.23
1958,1.134
1959,0.788
1960,1.04
1961,0.936
1962,0.946
1963,0.793
1964,0.743
1965,0.938
1966,0.865
1967,0.869
1968,1.02
1969,1.002
1970,0.875
1971,1.128
1972,0.951
1973,1.241
1974,1.058
1975,1.033
1976,1.067
1977,0.965
1978,1.088
1979,0.957
1980,0.979
1981,0.932
1982,1.195
1983,0.917
1984,0.845
1985,1.031
1986,0.958
1987,0.999
1988,0.788
1989,1.419
1990,0.972
1991,0.975
1992,1.215
1993,1.148
1994,0.747
1995,1.029
1996,0.888
1997,0.947
1998,1.149
1999,1.066
2000,1.12
2001,1.049
2002,0.861
2003,0.804
2004,0.75
2005,1.182
2006,1.099
2007,0.58
2008,1.219
2009,1.06
2010,1.145
2011,0.825
2012,0.785
2013,1.245
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
