"Year","IN_Lil_ACSA"
1901,0.839
1902,1.115
1903,0.846
1904,0.921
1905,1.022
1906,0.825
1907,0.957
1908,0.681
1909,0.977
1910,1.077
1911,0.893
1912,1.352
1913,0.873
1914,0.941
1915,1.213
1916,1.126
1917,1.194
1918,1.015
1919,0.984
1920,1.055
1921,0.842
1922,0.984
1923,0.866
1924,0.828
1925,0.771
1926,0.938
1927,1.137
1928,0.97
1929,1.163
1930,0.901
1931,1.07
1932,1.053
1933,0.876
1934,1.086
1935,0.992
1936,0.833
1937,1.255
1938,1.179
1939,1.02
1940,0.976
1941,1.017
1942,1.197
1943,0.873
1944,0.887
1945,1.215
1946,0.79
1947,0.983
1948,1.039
1949,1.035
1950,0.966
1951,1.118
1952,0.925
1953,0.749
1954,0.936
1955,1.066
1956,0.908
1957,0.995
1958,0.995
1959,0.961
1960,1.161
1961,0.86
1962,1.152
1963,1.093
1964,0.949
1965,1.002
1966,0.768
1967,0.821
1968,0.959
1969,0.854
1970,0.655
1971,1.103
1972,1.041
1973,1.199
1974,0.986
1975,0.964
1976,0.956
1977,0.992
1978,0.952
1979,1.127
1980,1.139
1981,0.909
1982,1.317
1983,0.911
1984,0.864
1985,1.154
1986,1.145
1987,1.166
1988,0.707
1989,-0.051
1990,1.389
1991,1.026
1992,1.149
1993,1.394
1994,1.19
1995,1.086
1996,1.086
1997,0.985
1998,1.044
1999,1.168
2000,1.097
2001,1.016
2002,1.172
2003,0.88
2004,1.071
2005,0.723
2006,1.093
2007,1.027
2008,0.857
2009,0.94
2010,0.945
2011,1.176
2012,0.749
2013,0.831
2014,0.869
2015,0.84
2016,1.141
2017,NA
2018,NA
2019,NA
