"Year","LF_ACRU"
1901,1.025
1902,1.162
1903,1.126
1904,1.179
1905,0.968
1906,1.227
1907,1.017
1908,1.025
1909,0.928
1910,0.956
1911,0.827
1912,0.896
1913,0.86
1914,1.002
1915,0.976
1916,1.099
1917,1.081
1918,1.134
1919,0.926
1920,1.12
1921,0.93
1922,0.965
1923,1.005
1924,1.065
1925,0.945
1926,1.008
1927,0.937
1928,0.959
1929,0.885
1930,0.916
1931,1.063
1932,0.98
1933,0.888
1934,0.925
1935,0.849
1936,0.886
1937,1.026
1938,0.89
1939,0.924
1940,0.884
1941,0.951
1942,1.131
1943,0.873
1944,1.21
1945,0.778
1946,1.17
1947,1.286
1948,0.863
1949,0.998
1950,1.155
1951,1.125
1952,0.988
1953,1.081
1954,0.875
1955,1.154
1956,0.967
1957,1.147
1958,1.162
1959,0.7
1960,1.26
1961,1.081
1962,1.128
1963,1.002
1964,1.02
1965,0.8
1966,0.736
1967,0.795
1968,0.758
1969,1.057
1970,1.03
1971,1.352
1972,1.123
1973,0.939
1974,1.156
1975,1.138
1976,1.041
1977,1.075
1978,1.08
1979,0.987
1980,1.069
1981,0.619
1982,0.989
1983,1.092
1984,0.931
1985,0.941
1986,0.977
1987,1.035
1988,0.93
1989,1.115
1990,0.941
1991,0.951
1992,1.157
1993,1.029
1994,0.947
1995,0.884
1996,1.048
1997,1.002
1998,1.043
1999,0.753
2000,1.067
2001,0.954
2002,1.001
2003,0.935
2004,0.852
2005,1.042
2006,0.91
2007,1.19
2008,1.099
2009,1.126
2010,1.092
2011,1.012
2012,0.875
2013,1.122
2014,0.954
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
