"Year","IN_Lat_LITU"
1901,0.868
1902,1.04
1903,1.059
1904,1.32
1905,1.199
1906,1.483
1907,1.208
1908,1.213
1909,1.256
1910,1.112
1911,0.956
1912,1.459
1913,0.648
1914,0.586
1915,1.168
1916,1.133
1917,0.506
1918,0.854
1919,1.007
1920,1.126
1921,1.073
1922,0.744
1923,1.106
1924,1.15
1925,0.837
1926,0.986
1927,1.172
1928,1.216
1929,1.074
1930,0.613
1931,0.998
1932,0.984
1933,0.719
1934,0.81
1935,1.103
1936,0.519
1937,0.907
1938,1.325
1939,1.313
1940,0.623
1941,0.704
1942,1.31
1943,0.946
1944,0.665
1945,1.074
1946,1.191
1947,1.173
1948,1.118
1949,1.228
1950,1.028
1951,1.221
1952,0.917
1953,0.63
1954,0.728
1955,0.899
1956,1.01
1957,1.434
1958,1.338
1959,1.084
1960,1.093
1961,0.709
1962,0.939
1963,1.004
1964,0.656
1965,1.006
1966,0.952
1967,0.882
1968,1.363
1969,1.133
1970,0.972
1971,1.29
1972,0.837
1973,1.322
1974,0.802
1975,1.21
1976,0.579
1977,1.006
1978,1.052
1979,0.893
1980,1.287
1981,0.943
1982,1.301
1983,0.526
1984,0.622
1985,0.991
1986,1.128
1987,1.189
1988,0.309
1989,1.177
1990,0.927
1991,1.02
1992,1.207
1993,1.173
1994,0.618
1995,1.141
1996,0.772
1997,0.959
1998,1.463
1999,0.818
2000,0.84
2001,1.271
2002,0.983
2003,0.949
2004,1.211
2005,1.06
2006,1.105
2007,0.689
2008,1.029
2009,1.081
2010,1.295
2011,0.882
2012,0.575
2013,0.951
2014,0.856
2015,1.454
2016,NA
2017,NA
2018,NA
2019,NA
