"Year","KY_Lon_LITU"
1901,1.093
1902,0.881
1903,1.253
1904,0.97
1905,0.994
1906,1.308
1907,0.983
1908,1.056
1909,0.862
1910,1.131
1911,1.049
1912,1.22
1913,0.88
1914,0.771
1915,1.368
1916,1.288
1917,0.951
1918,0.839
1919,0.962
1920,0.972
1921,0.908
1922,1.302
1923,1.117
1924,1.01
1925,0.96
1926,0.947
1927,1.087
1928,1.257
1929,1.035
1930,0.773
1931,0.755
1932,1.177
1933,0.96
1934,1.017
1935,1.175
1936,0.758
1937,0.986
1938,1.381
1939,0.999
1940,0.859
1941,0.992
1942,1.163
1943,1.02
1944,0.781
1945,0.904
1946,1.13
1947,1.305
1948,0.836
1949,1.336
1950,1.046
1951,1.146
1952,0.855
1953,1.103
1954,0.724
1955,1.05
1956,1.14
1957,1.214
1958,0.966
1959,0.737
1960,1.067
1961,0.886
1962,0.622
1963,0.592
1964,0.768
1965,0.787
1966,0.81
1967,1.053
1968,1.146
1969,0.971
1970,0.939
1971,1.129
1972,1.081
1973,1.099
1974,1.153
1975,1.195
1976,0.919
1977,1.022
1978,1.022
1979,1.021
1980,0.991
1981,0.783
1982,1.293
1983,1.078
1984,0.663
1985,1.222
1986,0.855
1987,1.147
1988,0.771
1989,0.864
1990,1.11
1991,0.766
1992,1.047
1993,1.239
1994,0.671
1995,1.138
1996,1.069
1997,1.068
1998,1.233
1999,1.092
2000,0.752
2001,0.776
2002,1.22
2003,0.812
2004,1.276
2005,0.995
2006,0.947
2007,0.732
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
