"Year","Schunn_QUAL"
1901,0.846
1902,1.131
1903,1.124
1904,1.168
1905,0.937
1906,1.043
1907,0.969
1908,0.999
1909,0.817
1910,0.898
1911,0.956
1912,1.043
1913,1.038
1914,1.211
1915,0.86
1916,1.064
1917,0.995
1918,0.87
1919,0.987
1920,1.196
1921,1.018
1922,1.007
1923,0.953
1924,1.054
1925,1.08
1926,0.921
1927,0.988
1928,0.993
1929,0.992
1930,1.01
1931,1.061
1932,1.114
1933,0.884
1934,0.895
1935,1.176
1936,0.921
1937,1.125
1938,1.009
1939,1.1
1940,0.991
1941,0.933
1942,1.057
1943,1.12
1944,1.054
1945,0.968
1946,1.065
1947,1.128
1948,0.992
1949,0.834
1950,1.23
1951,1.219
1952,0.996
1953,1.07
1954,0.839
1955,1.046
1956,0.887
1957,0.946
1958,0.973
1959,0.965
1960,1.02
1961,1.052
1962,0.855
1963,1.108
1964,1.066
1965,0.731
1966,0.963
1967,1.034
1968,0.832
1969,1.071
1970,1.066
1971,0.97
1972,0.942
1973,1.022
1974,1.177
1975,1.106
1976,1.124
1977,0.826
1978,1.129
1979,1.051
1980,0.844
1981,0.624
1982,0.937
1983,0.933
1984,0.993
1985,0.972
1986,0.648
1987,0.84
1988,0.903
1989,1.208
1990,1.156
1991,0.938
1992,1.14
1993,0.916
1994,1.125
1995,1.056
1996,1.014
1997,0.993
1998,1.019
1999,0.852
2000,1.24
2001,1.076
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
