"Year","IL_Kic_ACSA"
1901,0.976
1902,0.99
1903,1.088
1904,1.044
1905,0.913
1906,0.932
1907,0.734
1908,0.864
1909,1.013
1910,0.791
1911,0.754
1912,1.658
1913,0.754
1914,0.95
1915,1.633
1916,1.085
1917,1.265
1918,0.875
1919,0.718
1920,0.957
1921,0.98
1922,1.243
1923,1.022
1924,1.288
1925,1.019
1926,1.32
1927,1.343
1928,1.174
1929,1.081
1930,0.821
1931,0.745
1932,0.975
1933,0.792
1934,0.915
1935,1.227
1936,0.59
1937,0.984
1938,1.057
1939,1.132
1940,0.914
1941,0.924
1942,1.333
1943,0.92
1944,0.766
1945,1.044
1946,1.011
1947,1.216
1948,1.109
1949,1.016
1950,1.197
1951,1.013
1952,0.873
1953,0.823
1954,0.503
1955,0.99
1956,0.99
1957,1.074
1958,1.068
1959,0.833
1960,1.108
1961,0.747
1962,1.098
1963,1.061
1964,1.047
1965,1.051
1966,0.938
1967,0.893
1968,1.136
1969,0.881
1970,0.758
1971,1.088
1972,1.005
1973,1.176
1974,1.069
1975,1.018
1976,1.038
1977,0.837
1978,0.944
1979,0.993
1980,1.165
1981,0.975
1982,0.959
1983,0.89
1984,0.87
1985,1.064
1986,1.092
1987,1.012
1988,0.776
1989,0.685
1990,1.098
1991,0.869
1992,1.351
1993,1.229
1994,0.99
1995,1.088
1996,0.848
1997,1.186
1998,1.138
1999,1.108
2000,1.046
2001,1.154
2002,1.049
2003,1.159
2004,0.879
2005,1.002
2006,0.942
2007,0.94
2008,1.12
2009,0.928
2010,1.157
2011,0.936
2012,0.667
2013,0.936
2014,0.984
2015,1.217
2016,0.999
2017,NA
2018,NA
2019,NA
