"Year","NC_Lil_QUAL"
1901,1.148
1902,1.03
1903,1.092
1904,1.064
1905,1.12
1906,1.026
1907,0.933
1908,1.007
1909,1.058
1910,0.944
1911,0.837
1912,1.165
1913,0.985
1914,0.823
1915,1.171
1916,0.984
1917,0.773
1918,0.989
1919,0.956
1920,1.022
1921,1.136
1922,1.023
1923,1.004
1924,0.947
1925,0.659
1926,0.725
1927,1.189
1928,1.274
1929,1.041
1930,0.874
1931,1.011
1932,1.007
1933,0.881
1934,1.164
1935,1.095
1936,0.766
1937,1.073
1938,1.226
1939,1.069
1940,1.017
1941,0.87
1942,1.1
1943,1.005
1944,0.92
1945,1.106
1946,0.994
1947,1.023
1948,0.947
1949,0.99
1950,1.031
1951,1.148
1952,0.834
1953,0.979
1954,0.917
1955,0.854
1956,0.973
1957,1.008
1958,0.791
1959,1.093
1960,1.109
1961,0.988
1962,1.138
1963,0.823
1964,0.896
1965,1.114
1966,1.138
1967,0.871
1968,1.062
1969,1.027
1970,1.08
1971,0.958
1972,1.025
1973,1.1
1974,1.041
1975,1.029
1976,0.792
1977,1.14
1978,0.969
1979,0.854
1980,1.106
1981,0.937
1982,1.138
1983,1.036
1984,0.768
1985,1.079
1986,1.021
1987,1.193
1988,1.026
1989,0.988
1990,0.967
1991,0.914
1992,1.007
1993,0.877
1994,1.086
1995,1.169
1996,1.081
1997,0.935
1998,1.048
1999,0.862
2000,0.87
2001,0.976
2002,1.057
2003,0.904
2004,1.127
2005,0.946
2006,1.003
2007,1.02
2008,0.849
2009,1.016
2010,0.924
2011,1.01
2012,0.954
2013,1.078
2014,0.975
2015,1.1
2016,0.859
2017,1.164
2018,0.616
2019,NA
