"Year","IN_Hem_CAOV"
1901,1.09
1902,0.879
1903,1.218
1904,1.148
1905,1.081
1906,0.777
1907,1.118
1908,0.867
1909,0.917
1910,1.26
1911,0.824
1912,1.1
1913,0.838
1914,0.724
1915,1.324
1916,1.118
1917,1.044
1918,0.882
1919,0.914
1920,1.122
1921,0.949
1922,1.001
1923,1.021
1924,1.104
1925,0.862
1926,0.916
1927,1.28
1928,1.04
1929,0.997
1930,0.932
1931,0.727
1932,1.084
1933,0.881
1934,0.838
1935,1.103
1936,0.767
1937,0.736
1938,1.607
1939,0.886
1940,0.999
1941,0.919
1942,1.276
1943,0.939
1944,0.601
1945,1.138
1946,1.31
1947,1.167
1948,0.898
1949,1.072
1950,1.079
1951,0.954
1952,0.875
1953,0.754
1954,0.903
1955,0.992
1956,1.095
1957,1.046
1958,1.226
1959,1.002
1960,1.352
1961,0.708
1962,1.231
1963,1.024
1964,1.09
1965,0.965
1966,1.049
1967,1.057
1968,1.119
1969,0.89
1970,1.141
1971,0.964
1972,0.878
1973,1.286
1974,1.08
1975,0.87
1976,1.13
1977,1.017
1978,0.916
1979,0.958
1980,0.824
1981,0.364
1982,0.959
1983,0.977
1984,0.67
1985,1.033
1986,0.988
1987,0.976
1988,0.898
1989,1.025
1990,1.02
1991,0.808
1992,1.14
1993,1.002
1994,1.022
1995,1.06
1996,1.013
1997,1.018
1998,1.148
1999,1.148
2000,1.231
2001,0.908
2002,1.241
2003,0.88
2004,1.344
2005,1.009
2006,1.283
2007,0.791
2008,0.91
2009,0.952
2010,1.022
2011,0.718
2012,0.769
2013,0.769
2014,1.046
2015,1.176
2016,1.281
2017,NA
2018,NA
2019,NA
