"Year","IN_Opp_ACSA"
1901,1.015
1902,0.741
1903,1.329
1904,1.045
1905,0.966
1906,1.043
1907,0.931
1908,0.887
1909,0.893
1910,0.899
1911,0.696
1912,0.91
1913,1.177
1914,1.071
1915,1.092
1916,1.406
1917,0.996
1918,1.198
1919,0.857
1920,1.027
1921,1.274
1922,0.978
1923,1.211
1924,1.06
1925,1.274
1926,0.929
1927,1.144
1928,1.133
1929,1.005
1930,0.913
1931,0.909
1932,0.856
1933,1.107
1934,0.896
1935,0.781
1936,0.995
1937,0.772
1938,1.22
1939,0.941
1940,1.114
1941,1.036
1942,1.032
1943,1.038
1944,0.951
1945,0.802
1946,0.927
1947,0.963
1948,0.996
1949,0.655
1950,1.228
1951,1.15
1952,1.035
1953,0.99
1954,0.824
1955,0.928
1956,1.172
1957,0.928
1958,1.207
1959,1.048
1960,0.946
1961,1.001
1962,1.087
1963,1.081
1964,0.909
1965,1.029
1966,0.922
1967,0.797
1968,0.811
1969,0.931
1970,1.028
1971,1.006
1972,0.96
1973,0.964
1974,0.924
1975,1.007
1976,1.028
1977,0.912
1978,0.953
1979,0.988
1980,0.992
1981,1.164
1982,0.832
1983,1.024
1984,0.996
1985,0.699
1986,1.092
1987,1.152
1988,1.01
1989,0.869
1990,0.995
1991,1.074
1992,0.918
1993,1.114
1994,1.229
1995,1.234
1996,0.957
1997,0.846
1998,1.215
1999,1.129
2000,0.901
2001,0.86
2002,1.204
2003,0.955
2004,0.947
2005,1.193
2006,1.179
2007,0.846
2008,0.967
2009,1.001
2010,0.94
2011,1.194
2012,0.763
2013,0.764
2014,0.963
2015,0.872
2016,1.23
2017,NA
2018,NA
2019,NA
