"Year","OH_Gol_QUAL.1"
1901,1.022
1902,1.158
1903,1.157
1904,0.787
1905,1.08
1906,0.923
1907,0.89
1908,1.011
1909,0.982
1910,0.882
1911,0.873
1912,1.053
1913,0.82
1914,0.921
1915,1.236
1916,0.975
1917,0.94
1918,0.701
1919,0.757
1920,0.862
1921,0.972
1922,0.96
1923,0.981
1924,0.976
1925,0.927
1926,0.954
1927,1.003
1928,0.958
1929,1.051
1930,0.995
1931,1.128
1932,0.893
1933,0.96
1934,0.982
1935,1.089
1936,0.825
1937,1.305
1938,1.058
1939,0.864
1940,0.933
1941,0.993
1942,1.128
1943,1.041
1944,0.762
1945,0.98
1946,1.09
1947,1.015
1948,0.865
1949,1.016
1950,1.044
1951,1.045
1952,0.817
1953,0.889
1954,0.958
1955,0.898
1956,0.959
1957,1.147
1958,1.077
1959,0.995
1960,1.074
1961,1.096
1962,1.006
1963,1.262
1964,0.917
1965,1.029
1966,0.992
1967,0.983
1968,1.248
1969,1.242
1970,1.005
1971,0.961
1972,1.005
1973,1.197
1974,0.999
1975,1.194
1976,0.971
1977,0.779
1978,1.004
1979,1.009
1980,1.221
1981,0.811
1982,0.955
1983,1.028
1984,0.838
1985,1.028
1986,1.142
1987,1.043
1988,0.852
1989,1.223
1990,1.02
1991,0.939
1992,1.081
1993,0.939
1994,0.999
1995,1.088
1996,1.052
1997,1.139
1998,1.204
1999,0.943
2000,1.041
2001,0.921
2002,0.745
2003,0.937
2004,1.145
2005,0.908
2006,0.887
2007,0.782
2008,1.136
2009,0.826
2010,1.095
2011,0.987
2012,0.705
2013,0.883
2014,0.854
2015,1.033
2016,0.68
2017,NA
2018,NA
2019,NA
