"Year","OH_Gol_QUAL"
1901,0.869
1902,1.241
1903,1.163
1904,0.9
1905,1.028
1906,0.887
1907,1.096
1908,1.037
1909,1.048
1910,0.831
1911,0.955
1912,1.089
1913,0.839
1914,0.903
1915,1.304
1916,1.035
1917,1.024
1918,0.679
1919,0.76
1920,0.995
1921,1.009
1922,0.96
1923,0.946
1924,1.122
1925,0.893
1926,0.996
1927,1.197
1928,0.841
1929,0.995
1930,0.841
1931,0.97
1932,0.998
1933,0.903
1934,0.792
1935,1.145
1936,0.692
1937,1.445
1938,0.957
1939,0.886
1940,0.93
1941,0.979
1942,1.158
1943,1.134
1944,0.783
1945,1.027
1946,0.983
1947,1.179
1948,0.95
1949,0.991
1950,1.129
1951,1.036
1952,0.804
1953,0.906
1954,0.918
1955,0.926
1956,0.946
1957,1.155
1958,1.186
1959,1.004
1960,1.067
1961,1.061
1962,1.061
1963,0.979
1964,0.932
1965,1.016
1966,0.932
1967,0.943
1968,1.146
1969,1.275
1970,0.916
1971,0.903
1972,0.915
1973,1.176
1974,0.868
1975,1.253
1976,0.901
1977,0.738
1978,1.027
1979,0.994
1980,1.38
1981,0.944
1982,0.959
1983,0.995
1984,0.858
1985,0.903
1986,1.138
1987,0.932
1988,0.841
1989,1.205
1990,1.076
1991,1.063
1992,1.189
1993,0.915
1994,0.848
1995,0.963
1996,0.956
1997,1.096
1998,1.016
1999,0.996
2000,1.304
2001,1.024
2002,0.745
2003,0.924
2004,1.195
2005,0.806
2006,0.964
2007,0.9
2008,1.181
2009,0.911
2010,1.061
2011,0.989
2012,0.812
2013,1.019
2014,0.961
2015,1.083
2016,0.817
2017,NA
2018,NA
2019,NA
