"Year","KY_Bla_QUAL"
1901,1
1902,1.134
1903,1.037
1904,0.966
1905,0.989
1906,1.136
1907,1.071
1908,1.004
1909,1.039
1910,0.627
1911,0.799
1912,1.054
1913,0.911
1914,0.818
1915,1.275
1916,1.091
1917,0.878
1918,0.895
1919,0.935
1920,1
1921,0.946
1922,1.121
1923,1.053
1924,1.025
1925,0.806
1926,1.012
1927,1.006
1928,1.065
1929,0.944
1930,0.838
1931,0.891
1932,1.087
1933,0.882
1934,1.085
1935,1.188
1936,0.818
1937,1.118
1938,1.035
1939,1.104
1940,1.015
1941,1.073
1942,1.016
1943,1.024
1944,0.846
1945,1.198
1946,1.159
1947,1.081
1948,0.962
1949,1.157
1950,1.12
1951,1.191
1952,0.92
1953,1.017
1954,0.764
1955,1.06
1956,1.019
1957,0.961
1958,1.056
1959,0.935
1960,1.03
1961,1.099
1962,1.074
1963,0.957
1964,0.844
1965,1
1966,0.857
1967,0.965
1968,1.06
1969,0.988
1970,1.113
1971,0.91
1972,0.841
1973,0.99
1974,0.891
1975,0.999
1976,1.019
1977,1.049
1978,0.978
1979,1.114
1980,0.969
1981,0.989
1982,1.13
1983,0.958
1984,0.844
1985,1.122
1986,0.898
1987,1.184
1988,0.867
1989,1.061
1990,1.001
1991,0.908
1992,1.047
1993,1.02
1994,1.021
1995,1.016
1996,0.99
1997,0.978
1998,1.03
1999,0.956
2000,0.968
2001,1.128
2002,0.942
2003,0.971
2004,1.085
2005,0.86
2006,1.103
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
