"Year","ZoarLi_QURU"
1901,0.982
1902,1.246
1903,1.195
1904,1.152
1905,0.994
1906,0.879
1907,0.997
1908,1.091
1909,0.891
1910,0.913
1911,1.061
1912,1.087
1913,0.907
1914,0.793
1915,0.839
1916,0.98
1917,0.943
1918,0.877
1919,0.854
1920,1.198
1921,0.997
1922,1.102
1923,0.775
1924,1.038
1925,1.131
1926,1.002
1927,1.003
1928,1.072
1929,0.916
1930,1.118
1931,1.259
1932,1.012
1933,0.961
1934,0.733
1935,1.21
1936,0.834
1937,1.101
1938,1.138
1939,1.101
1940,1.1
1941,0.927
1942,1.182
1943,1.172
1944,1.042
1945,1.086
1946,0.972
1947,1.175
1948,0.965
1949,0.731
1950,1.06
1951,1.145
1952,0.93
1953,0.579
1954,0.762
1955,0.97
1956,0.871
1957,1.013
1958,1.156
1959,0.947
1960,0.96
1961,1.175
1962,0.913
1963,0.792
1964,1.139
1965,1.032
1966,0.776
1967,0.859
1968,1.113
1969,1.197
1970,0.921
1971,1.141
1972,1.085
1973,0.929
1974,1.024
1975,1.181
1976,0.844
1977,1.039
1978,1.07
1979,0.929
1980,1.152
1981,0.946
1982,1.192
1983,0.906
1984,0.882
1985,1.016
1986,1.012
1987,1.077
1988,0.94
1989,0.98
1990,0.897
1991,0.91
1992,0.998
1993,1.085
1994,1.001
1995,1.127
1996,1.007
1997,0.927
1998,1.274
1999,0.884
2000,0.983
2001,0.915
2002,0.917
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
