"Year","IN_Opp_CAOV"
1901,0.848
1902,1.23
1903,1.139
1904,0.969
1905,0.971
1906,1.028
1907,0.807
1908,1.034
1909,0.674
1910,0.883
1911,0.948
1912,1.03
1913,1.152
1914,1.166
1915,1.198
1916,1.236
1917,1.026
1918,0.982
1919,1.061
1920,1.1
1921,1.185
1922,0.984
1923,1.04
1924,1.059
1925,0.923
1926,0.924
1927,1.232
1928,0.856
1929,1.001
1930,0.883
1931,0.986
1932,1.078
1933,0.989
1934,0.863
1935,1.124
1936,0.865
1937,0.95
1938,1.233
1939,0.829
1940,0.992
1941,0.981
1942,1.193
1943,0.791
1944,0.937
1945,1.373
1946,0.749
1947,1.185
1948,0.898
1949,1.13
1950,1.104
1951,1
1952,0.915
1953,1.085
1954,1.044
1955,1.09
1956,0.931
1957,0.931
1958,1.154
1959,0.879
1960,1.057
1961,1.078
1962,0.967
1963,0.945
1964,0.971
1965,0.995
1966,0.771
1967,0.949
1968,1.086
1969,0.916
1970,0.821
1971,1.015
1972,1.032
1973,0.867
1974,1.114
1975,1.111
1976,0.945
1977,0.828
1978,1.115
1979,0.989
1980,1.028
1981,0.826
1982,1.056
1983,0.809
1984,0.978
1985,0.96
1986,1.141
1987,0.83
1988,0.918
1989,1.011
1990,1.099
1991,0.992
1992,1.129
1993,1.146
1994,0.94
1995,1.004
1996,0.976
1997,0.829
1998,1.249
1999,0.925
2000,1.345
2001,0.884
2002,0.826
2003,1.208
2004,1.403
2005,0.79
2006,0.977
2007,1.018
2008,1.111
2009,0.981
2010,0.942
2011,1.265
2012,0.66
2013,0.944
2014,0.983
2015,1.018
2016,0.901
2017,NA
2018,NA
2019,NA
