L,K,doy_ip,r,theta,a,b
453.617285835611,455.894659933829,169.981818731839,0.0440438323821241,3.01346450622595,453.792247264533,455.850404028295
660.270886691353,662.31480725511,188.80564087487,0.0540988176952235,5.01386037464444,660.346046548475,662.297902435466
719.183530321968,720.776023530809,142.297478557729,0.147164648902188,7.68658331880353,719.21082021041,720.776023530805
837.178077709361,842.856555368116,165.27524493429,0.0465681790643358,3.12609435797295,837.674125414262,842.784198942618
307.635495055472,308.719062921742,147.117162849425,0.0687275066610609,2.18217812772859,307.745290458966,308.719056094583
672.975214953426,677.726758659213,171.37446093981,0.0967617647334612,2.10774818230465,672.995265553268,677.725243426692
213.882737813993,214.827309470283,186.32667712501,0.0319445286330467,5.11099220118315,214.061355154491,214.820678403829
471.523061310279,472.611704771987,161.140766693523,0.0947378754833714,27.1164227652294,471.558379433206,472.611235613403
580.590394512306,579.677029123883,141.749893566538,-13.7600702281514,15.6443670712101,579.80674745725,580.590013984227
641.753635305512,657.777208385272,117.754754110682,0.0339153107848028,2.67482101632962,649.528443958566,657.663165198902
65.3430245648837,65.58002740638,176.732106162581,6.52291361475721,-2.49768154405042,65.5800283808098,65.58002740638
101.364578677823,102.062086710919,134.657953705183,0.186421174320515,0.0286963200301564,101.365063403925,102.062086710919
902.053023781461,903.051478795875,170.955354618533,0.0195501070653614,1.58956472209648,902.288094359372,903.011683899356
1010.60048609891,1015.43425746516,185.268142202386,0.0749944308006491,2.81151955153447,1010.62419809658,1015.41892401509
295.714568163229,300.323510180334,194.449076479151,0.0581258746966198,4.40041358344244,295.75356124682,300.199060900184
112.689669505666,113.689573118105,179.217738166488,0.115333579147639,12.9816817132455,112.697267641163,113.689573096433
236.878322559411,241.572024663345,188.781345866223,0.073225220630447,3.84315950808236,236.957962320841,241.519121861383
486.510209808061,490.03549853267,186.751414212287,0.0765902470113665,6.34077951419775,486.541713233394,490.035454328505
115.861247033398,116.069724416056,107.525794807134,3.28655495523249,8.07804707283258,115.861247033398,116.069724416056
748.388375390441,758.573331126122,169.643018771152,0.0393758167025579,1.68044329724033,749.171190835666,758.549270579376
