Tree.no,Optim.call,L,K,doy_ip,r,theta,ML,Best.ML
1,Starting,453.773,456.2343,171,0.08,1,NA,NA
1,L-BFGS-B,453.6811,455.9106,170.4901,0.0454,2.8255,17.3006,.
1,L-BFGS-B wt,453.5694,455.9108,170.4692,0.0416,3.0011,17.588,.
1,N-M,453.6804,455.9107,170.4852,0.0454,2.8225,17.3006,*
1,N-M wt,453.6173,455.8947,169.9818,0.044,3.0135,17.5195,.
1,SANN,453.6811,455.9106,170.4901,0.0454,2.8255,17.3006,.
1,SANN wt,453.5443,455.9079,170.263,0.0418,3.0428,17.6871,.
2,Starting,660.1483,662.5993,192,0.08,1,NA,NA
2,L-BFGS-B,660.116,662.3944,190.7433,0.0413,3.8798,14.0446,.
2,L-BFGS-B wt,660.1483,662.2558,190.4138,0.0484,5.8991,18.8442,.
2,N-M,660.114,662.3948,190.7825,0.0411,3.8805,14.0444,*
2,N-M wt,660.2709,662.3148,188.8056,0.0541,5.0139,17.5529,.
2,SANN,660.116,662.3944,190.7433,0.0413,3.8798,14.0446,.
2,SANN wt,660.1713,662.2553,190.8797,0.0474,5.4828,18.6585,.
3,Starting,719.0919,720.9722,142,0.08,1,NA,NA
3,L-BFGS-B,719.072,720.7974,141.2531,0.1,3.9059,-5.7153,.
3,L-BFGS-B wt,719.0919,720.7751,141.3398,0.1,3.6841,-5.3236,.
3,N-M,719.0923,720.7674,140.2404,0.1458,6.9247,-7.1724,.
3,N-M wt,719.1835,720.776,142.2975,0.1472,7.6866,-7.0987,.
3,SANN,719.1445,720.7725,139.3834,0.1687,7.8573,-7.3719,*
3,SANN wt,719.1869,720.763,140.5542,0.1557,6.1168,-6.8064,.
4,Starting,837.6741,843.0426,171,0.08,1,NA,NA
4,L-BFGS-B,837.1167,842.8799,165.4447,0.0451,3.078,18.4446,.
4,L-BFGS-B wt,837.2626,842.8746,165.4422,0.048,3.1005,19.1777,.
4,N-M,837.1118,842.8809,165.4517,0.045,3.0766,18.4439,*
4,N-M wt,837.1781,842.8566,165.2752,0.0466,3.1261,18.6632,.
4,SANN,837.1167,842.8799,165.4447,0.0451,3.078,18.4446,.
4,SANN wt,837.2507,842.8873,165.3127,0.0475,3.069,19.1872,.
5,Starting,307.5828,309.1779,155,0.08,1,NA,NA
5,L-BFGS-B,307.4795,308.7965,154.8844,0.043,2.5813,-0.4025,.
5,L-BFGS-B wt,307.5828,308.7587,154.8341,0.0558,2.9775,-0.1351,.
5,N-M,307.4783,308.7968,154.7226,0.0429,2.5605,-0.4026,*
5,N-M wt,307.6355,308.7191,147.1172,0.0687,2.1822,0.8249,.
5,SANN,307.4795,308.7965,154.8844,0.043,2.5813,-0.4025,.
5,SANN wt,307.6784,308.7661,154.7191,0.0693,3.1713,0.3668,.
6,Starting,672.6546,678.0361,171,0.08,1,NA,NA
6,L-BFGS-B,672.6546,677.8153,170.0364,0.0775,1.8523,13.6156,.
6,L-BFGS-B wt,672.6546,677.709,170.0231,0.0753,1.945,18.573,.
6,N-M,672.8873,677.7713,169.2269,0.0882,1.6612,5.8116,*
6,N-M wt,672.9752,677.7268,171.3745,0.0968,2.1077,8.1608,.
6,SANN,672.9064,677.8153,168.1114,0.087,1.4775,5.828,.
6,SANN wt,672.9654,677.6879,169.2272,0.0987,1.8486,10.3387,.
7,Starting,214.045,214.9546,171,0.08,1,NA,NA
7,L-BFGS-B,213.9765,214.8154,170.8324,0.039,3.0927,-16.8612,.
7,L-BFGS-B wt,213.893,214.829,170.8328,0.0326,3.0898,-16.8214,.
7,N-M,213.9763,214.8155,173.1536,0.0389,3.3816,-16.8612,*
7,N-M wt,213.8827,214.8273,186.3267,0.0319,5.111,-16.8112,.
7,SANN,213.9765,214.8154,170.8324,0.039,3.0927,-16.8612,.
7,SANN wt,213.9024,214.8238,170.9275,0.0328,3.1487,-16.8145,.
8,Starting,471.5584,472.7523,155,0.08,1,NA,NA
8,L-BFGS-B,471.4773,472.6306,153.7847,0.0748,8.1689,-12.578,.
8,L-BFGS-B wt,471.5149,472.5843,152.1402,0.0885,10.8371,-11.6532,.
8,N-M,471.477,472.6306,153.784,0.0747,8.1599,-12.578,*
8,N-M wt,471.5231,472.6117,161.1408,0.0947,27.1164,-12.1519,.
8,SANN,471.4773,472.6306,153.7847,0.0748,8.1689,-12.578,.
8,SANN wt,471.4838,472.5863,153.4114,0.0775,9.1473,-11.6987,.
9,Starting,576.9864,582.9035,155,0.08,1,NA,NA
9,L-BFGS-B,576.9864,581.9317,140.8589,0.0347,4.2768,1446.1542,.
9,L-BFGS-B wt,576.9864,581.9318,147.0954,0,1.8812,2622.7023,.
9,N-M,579.5563,581.8153,189.4775,0.0849,51.5642,1360.6446,.
9,N-M wt,580.5904,579.677,141.7499,-13.7601,15.6444,2077.95,.
9,SANN,579.7584,581.8355,140.4226,0.1397,0.3554,1354.7703,*
9,SANN wt,579.4433,580.5773,139.5074,0.0951,6.9513,2081.8781,.
10,Starting,648.3119,657.8058,192,0.08,1,NA,NA
10,L-BFGS-B,641.8288,657.8058,150.2434,0.0219,4.717,705.1536,.
10,L-BFGS-B wt,641.8288,657.346,129.3074,0.0426,5.6916,1082.7218,.
10,N-M,638.4005,657.8974,52.7511,0.02,0.8095,688.5523,*
10,N-M wt,641.7536,657.7772,117.7548,0.0339,2.6748,992.0889,.
10,SANN,640.9946,657.9791,150.1259,0.0203,4.6415,698.1998,.
10,SANN wt,640.9722,657.5882,150.1633,0.0327,8.5102,886.3761,.
11,Starting,65.1663,65.7095,171,0.08,1,NA,NA
11,L-BFGS-B,65.1663,65.616,170.897,0.0274,2.2874,-16.9983,.
11,L-BFGS-B wt,65.1663,65.6025,170.8951,0.0197,2.3177,-16.46,.
11,N-M,65.2122,65.6014,68.0907,0.0381,0.0458,-17.2908,.
11,N-M wt,65.343,65.58,176.7321,6.5229,-2.4977,-16.0085,.
11,SANN,65.3118,65.5844,172.9708,0.1295,5.9548,-18.3213,*
11,SANN wt,65.3308,65.581,171.368,0.1255,2.7994,-18.1544,.
12,Starting,100.5015,102.3641,171,0.08,1,NA,NA
12,L-BFGS-B,100.5015,102.1923,170.2709,0.0198,3.0996,37.0243,.
12,L-BFGS-B wt,100.5015,102.2467,170.5141,0.0112,2.3536,44.2569,.
12,N-M,101.2459,102.0737,139.3951,0.0992,0.2881,23.8898,.
12,N-M wt,101.3646,102.0621,134.658,0.1864,0.0287,27.3245,.
12,SANN,101.2493,102.0724,164.1952,0.0945,2.9192,23.8864,*
12,SANN wt,100.7504,102.0978,170.4068,0.0179,3.1998,42.0536,.
13,Starting,902.2549,903.0884,171,0.08,1,NA,NA
13,L-BFGS-B,902.0527,903.0516,170.9569,0.0192,1.5651,-12.9675,.
13,L-BFGS-B wt,902.0291,903.0884,170.9605,0.0175,1.4482,-12.933,.
13,N-M,902.0527,903.0516,170.9578,0.0192,1.5644,-12.9676,*
13,N-M wt,902.053,903.0515,170.9554,0.0196,1.5896,-12.9589,.
13,SANN,902.0527,903.0516,170.9569,0.0192,1.5651,-12.9675,.
13,SANN wt,901.4857,903.1664,170.4228,0.0112,2.3121,-12.8639,.
14,Starting,1010.464,1015.7314,192,0.08,1,NA,NA
14,L-BFGS-B,1010.464,1015.5133,187.8716,0.0652,2.8931,-3.7235,.
14,L-BFGS-B wt,1010.464,1015.4004,187.7975,0.068,3.2833,-0.3844,.
14,N-M,1010.5239,1015.5055,187.4727,0.0671,2.8126,-4.2097,*
14,N-M wt,1010.6005,1015.4343,185.2681,0.075,2.8115,-1.4988,.
14,SANN,1010.5022,1015.5343,186.1706,0.0666,2.5713,-3.9047,.
14,SANN wt,1010.5814,1015.3873,187.9701,0.0734,3.3431,-0.296,.
15,Starting,295.5567,300.4347,192,0.08,1,NA,NA
15,L-BFGS-B,295.5567,300.2808,187.0967,0.0573,3.1811,13.8233,.
15,L-BFGS-B wt,295.5567,300.3426,187.2052,0.0501,2.6865,17.6172,.
15,N-M,295.7495,300.2663,145.662,0.0643,0.2255,7.3946,.
15,N-M wt,295.7146,300.3235,194.4491,0.0581,4.4004,9.6802,.
15,SANN,295.8258,300.2522,186.4398,0.066,3.0723,6.9778,*
15,SANN wt,295.7158,300.3173,185.724,0.0584,2.6203,9.4194,.
16,Starting,112.5639,113.943,171,0.08,1,NA,NA
16,L-BFGS-B,112.5639,113.7195,170.8102,0.0764,3.38,-14.2971,.
16,L-BFGS-B wt,112.5639,113.6935,170.9319,0.0641,2.9055,-13.4987,.
16,N-M,112.6494,113.7123,191.6691,0.0919,24.4872,-15.2929,*
16,N-M wt,112.6897,113.6896,179.2177,0.1153,12.9817,-14.8471,.
16,SANN,112.6366,113.7201,175.7378,0.0895,5.2649,-15.2428,.
16,SANN wt,112.6884,113.6897,170.6095,0.1155,4.7781,-14.8546,.
17,Starting,236.7533,241.7524,192,0.08,1,NA,NA
17,L-BFGS-B,236.7533,241.5646,186.8328,0.0675,3.3053,-0.4199,.
17,L-BFGS-B wt,236.7533,241.5813,186.8512,0.0669,3.2227,-0.3441,.
17,N-M,236.7863,241.5646,187.2164,0.0684,3.3746,-0.5738,*
17,N-M wt,236.8783,241.572,188.7813,0.0732,3.8432,1.0483,.
17,SANN,236.7533,241.5646,186.8328,0.0675,3.3053,-0.4199,.
17,SANN wt,236.8797,241.5654,187.0334,0.0723,3.4087,0.8008,.
18,Starting,486.0992,490.2794,192,0.08,1,NA,NA
18,L-BFGS-B,486.0992,490.15,186.6553,0.0498,3.7371,14.629,.
18,L-BFGS-B wt,486.0992,490.1753,186.9262,0.0414,3.0433,21.8107,.
18,N-M,486.4723,490.0982,186.0319,0.0644,3.9456,3.7783,*
18,N-M wt,486.5102,490.0355,186.7514,0.0766,6.3408,7.948,.
18,SANN,486.4395,490.1133,187.3329,0.0618,4.1489,3.9423,.
