"Year","IrishC_QUAL"
1901,1.095
1902,0.953
1903,0.928
1904,1.031
1905,1
1906,1.204
1907,1.021
1908,0.882
1909,0.993
1910,0.909
1911,0.605
1912,0.988
1913,0.851
1914,0.835
1915,1.116
1916,1.151
1917,1.046
1918,0.756
1919,1.11
1920,0.84
1921,0.948
1922,0.977
1923,0.781
1924,1.154
1925,0.929
1926,0.881
1927,1.164
1928,1.203
1929,1.121
1930,0.727
1931,0.96
1932,0.824
1933,1.047
1934,1.161
1935,1.334
1936,1.084
1937,1.107
1938,1.171
1939,0.854
1940,1.282
1941,0.995
1942,0.979
1943,1.092
1944,0.792
1945,1.205
1946,1.152
1947,1.017
1948,1.1
1949,1.085
1950,0.961
1951,1.114
1952,0.999
1953,0.963
1954,1.033
1955,1.026
1956,0.934
1957,1.126
1958,0.898
1959,0.823
1960,1.002
1961,1.059
1962,0.851
1963,0.689
1964,0.817
1965,1.054
1966,0.86
1967,1.077
1968,1.058
1969,1.066
1970,0.903
1971,1.148
1972,1.089
1973,1.044
1974,0.931
1975,1.057
1976,1.073
1977,0.848
1978,1.184
1979,0.956
1980,1.008
1981,0.925
1982,1.029
1983,1.069
1984,0.945
1985,1.182
1986,0.828
1987,0.793
1988,1.086
1989,1.126
1990,1.054
1991,0.821
1992,0.813
1993,1.08
1994,1.108
1995,1.109
1996,0.867
1997,1.044
1998,1.087
1999,0.918
2000,1.181
2001,1.005
2002,0.916
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
