"Year","IL_Fer_QUAL"
1901,0.744
1902,0.958
1903,1.145
1904,1.071
1905,0.916
1906,0.907
1907,1.211
1908,1.068
1909,1.009
1910,1.247
1911,0.766
1912,1.306
1913,0.955
1914,0.744
1915,1.271
1916,1.168
1917,1.1
1918,0.823
1919,1.04
1920,0.947
1921,0.853
1922,0.976
1923,1.024
1924,1.284
1925,0.989
1926,0.801
1927,1.131
1928,1.249
1929,1.162
1930,0.89
1931,0.944
1932,1.044
1933,0.979
1934,0.764
1935,1.249
1936,0.708
1937,1.055
1938,1.235
1939,0.951
1940,0.875
1941,0.704
1942,1.142
1943,1.037
1944,0.807
1945,1.149
1946,1.071
1947,1.065
1948,1.044
1949,1.124
1950,1.085
1951,1.198
1952,0.857
1953,0.847
1954,0.806
1955,1.16
1956,0.803
1957,1.101
1958,1.148
1959,0.979
1960,1.047
1961,1.08
1962,0.915
1963,0.928
1964,0.85
1965,0.981
1966,0.949
1967,1.01
1968,1.199
1969,1.063
1970,1.023
1971,0.935
1972,0.783
1973,1.167
1974,1.115
1975,1.015
1976,1.221
1977,0.885
1978,0.938
1979,0.943
1980,0.954
1981,0.761
1982,1.173
1983,1.133
1984,0.848
1985,1.056
1986,1.044
1987,0.945
1988,0.657
1989,0.942
1990,0.951
1991,0.896
1992,0.835
1993,1
1994,0.993
1995,1.066
1996,0.985
1997,1.153
1998,1.121
1999,1.153
2000,0.982
2001,0.961
2002,1.16
2003,1.043
2004,1.027
2005,0.958
2006,1.005
2007,0.992
2008,0.966
2009,1.077
2010,1
2011,1.073
2012,0.824
2013,0.858
2014,1.035
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
