"cur_sp","variable","p-value","est","lat","lon"
"Aquidneck_Rhode_Island_QURU","apr_jun_jul_apr",0.857921796745143,-0.00118207484959273,41.5692833,-71.2840333
"Aquidneck_Rhode_Island_QURU","jj_apr_jun_jul",0.00140701686045141,-0.0316911429925108,41.5692833,-71.2840333
"SIPSEY_WILDERNESS_CAGL","apr_jun_jul_apr",0.517405138924611,0.00531579956750263,34.357419,-87.427427
"SIPSEY_WILDERNESS_CAGL","jj_apr_jun_jul",0.000162466908410914,-0.0426970454047738,34.357419,-87.427427
"Arnot_Forest,_NY_QURU","apr_jun_jul_apr",0.966836112384038,0.000256895336651315,42.2716166666667,-76.6267666666667
"Arnot_Forest,_NY_QURU","jj_apr_jun_jul",2.98521087040397e-05,-0.0480518489005536,42.2716166666667,-76.6267666666667
"Bear_Island,_MD_CAGL","apr_jun_jul_apr",0.67436665887049,0.00369213378823766,38.9845666666667,-77.2423166666667
"Bear_Island,_MD_CAGL","jj_apr_jun_jul",0.000596813765537785,-0.0571451857418551,38.9845666666667,-77.2423166666667
"Bent_Creek_QUST","apr_jun_jul_apr",0.639631752377382,-0.0030453627056317,35.5,-82.6
"Bent_Creek_QUST","jj_apr_jun_jul",0.00978710910635519,-0.026981950066001,35.5,-82.6
"Big_Canoe_QUAL","apr_jun_jul_apr",0.921054863699903,0.000643641427187476,34.475663,-84.329251
"Big_Canoe_QUAL","jj_apr_jun_jul",0.00213574377139647,-0.0267011410694668,34.475663,-84.329251
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU","apr_jun_jul_apr",0.415129306437974,-0.0261174002946946,41.383,-74.017
"Black_Rock_Blueberry_Fields,_Black_Rock_Forest_QURU","jj_apr_jun_jul",0.566909270454726,0.0298285185997524,41.383,-74.017
"Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO","apr_jun_jul_apr",0.189200727623158,-0.00556015636940297,37.5364333333333,-79.4948833333333
"Blue_Ridge_Parkway/Patty's_Oaks_update_QUMO","jj_apr_jun_jul",0.13096876921144,-0.0117193389131108,37.5364333333333,-79.4948833333333
"Bronx,_Hunter_Island,_NY_QUST","apr_jun_jul_apr",0.481230643663913,-0.00534574797369848,40.8754556,-73.7900333
"Bronx,_Hunter_Island,_NY_QUST","jj_apr_jun_jul",0.0104090197761949,-0.0309398705817473,40.8754556,-73.7900333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU","apr_jun_jul_apr",0.519980139742224,-0.00377680766714148,43.2885833333333,-76.3885333333333
"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY_QURU","jj_apr_jun_jul",0.017230436072124,-0.0249228989979631,43.2885833333333,-76.3885333333333
"DanielBoone_London_District_FAGR","apr_jun_jul_apr",0.931522523169479,-0.000628045934001033,37.13,-84.27
"DanielBoone_London_District_FAGR","jj_apr_jun_jul",0.000658596044005873,-0.0415105898600857,37.13,-84.27
"Fiddler<U+393C><U+3E32>s_Green,_VA_LITU_LITU","apr_jun_jul_apr",0.856917728667634,-0.00189339282691507,37.7694333,-79.2415167
"Fiddler<U+393C><U+3E32>s_Green,_VA_LITU_LITU","jj_apr_jun_jul",0.00663843477417504,-0.0531430155440698,37.7694333,-79.2415167
"Fiddler<U+393C><U+3E32>s_Green,_VA_MAAC_MAAC","apr_jun_jul_apr",0.113922585741765,0.014435424420913,37.7686833,-79.2423833
"Fiddler<U+393C><U+3E32>s_Green,_VA_MAAC_MAAC","jj_apr_jun_jul",0.224861603506307,-0.020226289190524,37.7686833,-79.2423833
"Fiddler<U+393C><U+3E32>s_Green,_VA_CAOV_CAOV","apr_jun_jul_apr",0.0387292829456275,0.0184183087390469,37.7707167,-79.2416
"Fiddler<U+393C><U+3E32>s_Green,_VA_CAOV_CAOV","jj_apr_jun_jul",0.00427916430829547,-0.0470429490919719,37.7707167,-79.2416
"Fiddler<U+393C><U+3E32>s_Green_QURU_QURU","apr_jun_jul_apr",0.341649223715493,0.00656383767145884,37.7694333,-79.2415167
