Number,Location,Species,Wood Type,CTW Tmin,CTW Tmax,Latitude,Longitude,Slope April - April:June-July Tmax,P-value April - April:June-July Tmax,Slope June-July - April:June-July Tmax,P-value June-July - April:June-July Tmax,Slope April:June-July Tmax,P-value April:June-July Tmax,January,January Sig,February,February Sig,March,March Sig,April,April Sig,May,May Sig,June,June Sig,July,July Sig,August,August Sig
33,"Harvard Forest LyfordPlots, MA",Quercus rubra,RP,0.5966387,14.388236,42.5388,-72.1755,-0.11944688,0.437353749,-0.059132617,0.481166354,0.004085578,0.473283972,0.060992431,NS,-0.126485652,NS,-0.13198241,NS,-0.13586487,NS,0.084797058,NS,-0.118600597,NS,0.106157579,NS,0.00958328,NS
34,"NorthRoundPondPlot2, NH",Fraxinus americana,RP,0.596638667,14.38823551,42.84771,-72.4475,-0.126993291,0.452622287,-0.07410571,0.427104809,0.004684361,0.451717214,0.107585085,NS,0.023247071,NS,-0.055094554,NS,-0.001819299,NS,-0.090336637,NS,-0.155370106,NS,0.124818266,NS,0.238584407,<0.05
35,"NorthRoundPondPlot3, NH",Quercus rubra,RP,0.596638667,14.38823551,42.84417,-72.44976,0.03254288,0.809596001,-0.003503777,0.962096776,-0.001218196,0.807667019,-0.09976279,NS,-0.182827595,NS,-0.131387715,NS,-0.056452774,NS,-0.063953265,NS,-0.178653538,<0.05,-0.17210345,<0.05,-0.030756029,NS
36,"Alan Seeger Natural Area, PA",Quercus alba,RP,2.962184931,14.68739521,40.69,-77.75,-0.031371607,0.850732842,-0.05283872,0.55810221,0.001322348,0.830276924,0.10353343,NS,-0.143353738,NS,-0.000567655,NS,0.031617011,NS,-0.100185462,NS,-0.23439211,<0.05,-0.240377685,<0.05,-0.227037344,<0.05
37,"Alan Seeger Natural Area, PA",Quercus rubra,RP,2.962184931,14.68739521,40.69,-77.75,-0.080534147,0.657040768,-0.083539174,0.394987568,0.002866655,0.669304995,0.111862318,NS,-0.207214509,<0.05,-0.07016966,NS,-0.073988095,NS,-0.156148616,NS,-0.28887563,<0.002,-0.282586828,<0.05,-0.241553929,<0.002
38,"Douglas, IN",Quercus alba,RP,2.373109279,14.69411787,41.518301,-84.866101,0.034579439,0.771465322,-0.021348245,0.737247311,-0.001141897,0.791955529,0.096542019,NS,0.007631451,NS,-0.107940666,NS,-0.01273362,NS,-0.089103108,NS,-0.350662521,<0.002,-0.284980738,<0.002,-0.335069312,<0.002
39,"Bronx, Hunter Island, NY",Quercus stellata,RP,5.645378253,14.79075655,40.8754556,-73.7900333,-0.032856999,0.863983248,-0.045902286,0.661863656,0.001031508,0.885854737,0.122705881,NS,0.015979699,NS,-0.014996083,NS,-0.137342378,NS,-0.182361153,<0.05,-0.2624919,<0.05,-0.212850529,<0.05,0.008566631,NS
40,"Montgomery Place, NY",Quercus mongolica,RP,1.978151285,14.80504227,42.0088,-73.91875,-0.140914363,0.681402411,-0.072399921,0.69427963,0.005003872,0.687337708,0.047350316,NS,0.106561183,NS,0.082768921,NS,-0.030761059,NS,0.118568215,NS,0.007969443,NS,0.015508275,NS,0.075642193,NS
41,"Montgomery Place, NY",Quercus rubra,RP,1.978151285,14.80504227,42.0088,-73.91875,-0.003971544,0.983140401,-0.032662481,0.745964942,0.000219692,0.974251247,0.096594029,NS,-0.039369135,NS,-0.067970353,NS,-0.015043695,NS,-0.105062041,NS,-0.241583593,<0.05,-0.11510435,NS,-0.02759012,NS
42,"Rams Horn Swamp, NY",Quercus alba,RP,1.978151285,14.80504227,42.19942,-73.864775,0.326671434,0.149987347,0.150021769,0.216916659,-0.011645185,0.156478945,0.01149491,NS,0.081258733,NS,-0.146808061,NS,0.035143403,NS,-0.126112448,NS,0.078816806,NS,-0.27564394,<0.05,-0.243865283,<0.05
43,"Goll, OH",Carya ovata,RP,2.358823565,15.05798349,41.553988,-84.36205,0.355411743,0.00193568,0.145530579,0.017522959,-0.012374316,0.002572135,-0.068062801,NS,-0.135612359,NS,-0.158053443,NS,0.116031744,NS,0.060712805,NS,-0.384380251,<0.002,-0.267976988,<0.05,-0.257840822,<0.05
44,"Goll, OH",Quercus alba,RP,2.358823565,15.05798349,41.553988,-84.36205,-0.026857207,0.824568979,-0.072736281,0.266637058,0.001029066,0.812680917,0.087809922,NS,-0.053104837,NS,-0.063930728,NS,-0.046387824,NS,-0.164607469,NS,-0.479657259,<0.002,-0.425544736,<0.002,-0.292393052,<0.002
45,"Johnson State Nature Preserve, OH",Carya ovata,RP,3.273949632,15.13697507,40.88,-81.75,0.220142053,0.03389897,0.086408568,0.134769895,-0.008048829,0.035645594,0.054870105,NS,-0.070586635,NS,-0.049546688,NS,0.031837558,NS,-0.100066739,NS,-0.35321439,<0.002,-0.35946156,<0.002,-0.146298296,NS
46,"Johnson State Nature Preserve, OH",Quercus alba,RP,3.273949632,15.13697507,40.88,-81.75,-0.045624573,0.759963965,-0.059340644,0.477666136,0.001164249,0.832706874,-0.047439204,NS,-0.122972204,NS,-0.029052731,NS,-0.22433581,<0.05,-0.126320534,NS,-0.386737443,<0.002,-0.261871594,<0.002,-0.217780702,<0.05
47,"Johnson State Nature Preserve, OH",Quercus rubra,RP,3.273949632,15.13697507,40.88,-81.75,-0.174659706,0.190481003,-0.10378754,0.164667934,0.006378915,0.195302513,-0.143991267,NS,0.026674122,NS,-0.01978968,NS,-0.045236232,NS,0.110456706,NS,-0.159809291,NS,0.026448867,NS,0.112262516,NS
48,"Black Rock Blueberry Fields, Black Rock Forest, NY",Quercus rubra,RP,2.657142908,15.21680694,41.383,-74.017,-1.378624575,0.100259875,-0.711725739,0.123514959,0.04995989,0.106522784,0.159050828,NS,0.058231372,NS,0.028869987,NS,-0.085837134,NS,0.00525596,NS,0.0159872,NS,0.080947727,NS,-0.005391397,NS
49,"Black Rock Lucky Streak Red, Black Rock Forest, NY",Quercus rubra,RP,2.657142908,15.21680694,41.383,-74.017,-1.378624575,0.100259875,-0.711725739,0.123514959,0.04995989,0.106522784,0.113827814,NS,-0.115417498,NS,-0.072066958,NS,-0.087113165,NS,0.031551156,NS,-0.290942278,<0.002,-0.29846209,<0.002,0.007752624,NS
50,"Schunemunk, NY",Quercus alba,RP,2.657142908,15.21680694,41.37607,-74.115522,-0.02700533,0.880871174,-0.031429679,0.751440735,0.000517498,0.937997495,0.181405686,NS,-0.064661267,NS,-0.03854961,NS,-0.248353565,<0.05,-0.125811689,NS,-0.097541575,NS,-0.311908425,<0.002,-0.024542888,NS
51,"Uttertown, NJ",Quercus rubra,RP,2.657142908,15.21680694,41.1170667,-74.4169833,-0.225184895,0.271025566,-0.168979337,0.134847308,0.008520907,0.259150846,0.131665543,NS,-0.11812726,NS,-0.013551361,NS,-0.003054305,NS,-0.030654045,NS,-0.203385434,<0.05,-0.316308793,<0.05,-0.108825267,NS
52,"Mohonk Preserve, Lenape Lane, NY",Quercus mongolica,RP,2.052941208,15.30000031,41.7638,-74.12465,-0.01233419,0.949919097,-0.036396892,0.737256089,0.000210559,0.976646306,0.254971336,<0.05,0.006469252,NS,-0.054051598,NS,-0.128322725,NS,-0.151752472,NS,-0.192428376,<0.05,-0.29039524,<0.05,-0.056315567,NS
53,"Mohonk Preserve, Lenape Lane, NY",Quercus velutina,RP,2.052941208,15.30000031,41.7638,-74.12465,-0.137257761,0.410923653,-0.117931632,0.201931174,0.004992599,0.414159755,0.052872259,NS,-0.09688536,NS,-0.145305753,NS,-0.085577001,NS,-0.098101399,NS,-0.281242004,<0.05,-0.337542771,<0.002,-0.056373652,NS
54,"Mohonk Preserve, Bonticou Crag, NY",Carya glabra,RP,2.052941208,15.30000031,41.8012,-74.1056833,-0.120286293,0.553056674,-0.108679458,0.332575424,0.004543433,0.540747258,0.134120998,NS,0.124451462,NS,0.082026094,NS,-0.009856895,NS,-0.183067489,NS,-0.251117448,<0.05,-0.233668117,<0.05,-0.119722911,NS
55,"Palmaghatt5, NY",Quercus mongolica,RP,2.052941208,15.30000031,41.705475,-74.251715,-0.092180039,0.651392223,-0.10558385,0.357281862,0.003403514,0.647036468,0.116303594,NS,0.001188025,NS,-0.154984702,NS,-0.059604666,NS,-0.154352836,NS,-0.244356938,<0.05,-0.335559021,<0.002,-0.064439311,NS
56,"Palmaghatt5, NY",Quercus rubra,RP,2.052941208,15.30000031,41.705475,-74.251715,-0.07106081,0.663732971,-0.09497053,0.30161558,0.002729236,0.646744669,0.040293537,NS,-0.13131991,NS,-0.171073489,<0.05,-0.036219738,NS,-0.091830358,NS,-0.365252154,<0.002,-0.316964974,<0.002,-0.125432687,NS
57,"Oppenheim, IN",Carya ovata,RP,3.526890805,15.4151263,41.339479,-85.763455,0.134685891,0.337479345,0.036246527,0.637667964,-0.004572328,0.360716145,0.049125333,NS,-0.131463369,NS,-0.024861659,NS,0.047434722,NS,-0.024956232,NS,-0.330688609,<0.002,-0.177191581,NS,-0.137518703,NS
58,"Oppenheim, IN",Quercus rubra,RP,3.526890805,15.4151263,41.339479,-85.763455,0.014118111,0.922953673,0.003139905,0.968743781,-0.000549124,0.915923746,-0.163951059,NS,0.07419388,NS,0.066978827,NS,-0.034816665,NS,0.020257964,NS,-0.004404246,NS,-0.041065662,NS,-0.007243655,NS
59,"DaveyWoods, OH",Quercus rubra,RP,2.831932815,15.55714315,40.137556,-83.907942,-0.228014865,0.173535501,-0.180957939,0.052949327,0.008411384,0.159230432,0.176484957,NS,0.015469137,NS,-0.074093903,NS,0.045073152,NS,-0.15204048,NS,-0.34308737,<0.002,-0.306957763,<0.002,-0.182018262,NS
60,"Starved Rock, IL",Quercus alba,RP,4.015126111,16.15462211,41.307161,-88.993812,0.018794894,0.878483338,-0.032253662,0.645796356,-0.000795377,0.852798806,-0.04233261,NS,-0.097220235,NS,-0.129292911,NS,-0.134609275,NS,-0.165060179,NS,-0.503555331,<0.002,-0.313029628,<0.002,-0.163450483,NS
61,"Starved Rock, IL",Quercus rubra,RP,4.015126111,16.15462211,41.307161,-88.993812,-0.011867333,0.92962816,-0.0535873,0.48512471,0.000334518,0.943086642,-0.113985372,NS,-0.140836695,NS,-0.151958603,NS,-0.103651073,NS,-0.079203406,NS,-0.530071523,<0.002,-0.275414809,<0.002,-0.129180278,NS
62,"Palisades-Kepler State Park, IA",Carya ovata,RP,3.797479049,16.52268943,41.908174,-91.512774,0.329746396,0.019631232,0.151122416,0.066074139,-0.011487267,0.018920333,0.051977716,NS,0.023765655,NS,-0.206859473,<0.05,-0.089702666,NS,-0.054443491,NS,-0.351396318,<0.002,-0.322271613,<0.002,-0.081296383,NS
63,"Palisades-Kepler State Park, IA",Quercus alba,RP,3.797479049,16.52268943,41.908174,-91.512774,0.191601997,0.103852046,0.073071526,0.286968735,-0.006934852,0.089290006,-0.028041986,NS,0.026547038,NS,-0.196122611,<0.05,-0.19341604,<0.05,-0.214784594,NS,-0.48486328,<0.002,-0.280729719,<0.05,-0.090930227,NS
64,"Meltzer, IN",Carya ovata,RP,4.647899226,16.80924407,39.505057,-85.669107,0.068270738,0.664328078,-0.008607941,0.923893733,-0.002311606,0.667345107,-0.000413891,NS,-0.084336649,NS,-0.158814337,NS,-0.005613083,NS,-0.167001803,NS,-0.414612952,<0.002,-0.309570598,<0.002,-0.376981707,<0.002
65,"Meltzer, IN",Fraxinus nigra,RP,4.647899226,16.80924407,39.505057,-85.669107,0.253579448,0.093608582,0.10586237,0.220487929,-0.008715738,0.09187665,0.040544099,NS,-0.031563855,NS,-0.076954756,NS,-0.035377202,NS,-0.14674621,NS,-0.445207271,<0.002,-0.194223241,NS,-0.217057356,<0.05
66,"Meltzer, IN",Quercus macrocarpa,RP,4.647899226,16.80924407,39.505057,-85.669107,0.141437253,0.276391984,0.039400578,0.595924068,-0.004749308,0.284975394,-0.071657526,NS,-0.000575479,NS,-0.030466863,NS,0.00982358,NS,-0.138174955,NS,-0.471769785,<0.002,-0.244191944,<0.05,-0.308410499,<0.002
67,"Cedar Knob, WV",Quercus mongolica,RP,2.678151296,17.18823562,38.65,-79.3667,0.025490325,0.870294526,-0.002092627,0.982415123,-0.001329913,0.814587727,0.109546488,NS,0.022675768,NS,0.025772569,NS,-0.232121025,<0.05,-0.008236502,NS,-0.231274867,<0.05,-0.202446386,<0.05,-0.321738662,<0.002
68,"Geode State Park, IA",Quercus alba,RP,4.531932865,17.26554655,40.82469,-91.391817,0.06946585,0.542679768,-0.022778114,0.732708716,-0.00241438,0.53079804,-0.013546817,NS,-0.03332381,NS,-0.16024487,NS,-0.10160293,NS,-0.281364809,<0.05,-0.60834611,<0.002,-0.436962315,<0.002,-0.2417247,<0.05
69,"Lacey Keosauqua State Park, IA",Carya ovata,RP,4.838655525,17.33277346,40.71661,-91.981867,0.083771888,0.556077672,0.004864715,0.953490528,-0.002503019,0.600776929,-0.095534555,NS,0.060586997,NS,-0.178221847,<0.05,0.083048799,NS,-0.126388294,NS,-0.369518752,<0.002,-0.220702969,<0.05,-0.166283346,NS
70,"Lacey Keosauqua State Park, IA",Quercus alba,RP,4.838655525,17.33277346,40.71661,-91.981867,0.049962592,0.663028514,-0.021828812,0.745469313,-0.001731607,0.65328628,-0.006606652,NS,-0.114015166,NS,-0.260929076,<0.002,-0.101758166,NS,-0.272116015,<0.05,-0.539874338,<0.002,-0.35547049,<0.002,-0.20755226,<0.05
71,"Green Ridge, MD",Carya ovata,RP,4.273109308,17.46470626,39.6569,-78.4005333,-0.088029866,0.677243579,-0.082036865,0.510297368,0.002903668,0.689762566,0.173350556,NS,-0.003860293,NS,-0.037424082,NS,-0.056997923,NS,-0.204562881,<0.05,-0.238180077,<0.05,-0.173521499,<0.05,-0.3070331,<0.05
72,"Kickapoo, IL",Carya ovata,RP,4.780672357,17.50840365,40.138291,-87.745765,-0.003215643,0.983819628,-0.059748,0.529270516,0.000114135,0.983109501,-0.011025431,NS,-0.098652496,NS,-0.026715534,NS,-0.059172857,NS,-0.134736139,NS,-0.542255614,<0.002,-0.315819116,<0.002,-0.226883307,<0.05
73,"Kickapoo, IL",Quercus alba,RP,4.780672357,17.50840365,40.138291,-87.745765,-0.035850611,0.814705184,-0.085686197,0.349771593,0.00106226,0.838129331,0.003906326,NS,-0.088154951,NS,-0.087837575,NS,-0.131294146,NS,-0.213225881,<0.05,-0.620769304,<0.002,-0.36403724,<0.002,-0.259210526,<0.05
74,"Otter Creek, PA",Quercus alba,RP,4.139495885,17.62605081,39.8784667,-76.3863667,-0.297246022,0.141120624,-0.228806932,0.058721727,0.010357893,0.138088779,0.114836365,NS,0.011128014,NS,-0.058908202,NS,-0.049887125,NS,-0.306901077,<0.002,-0.275359361,<0.002,-0.303567221,<0.002,-0.146073515,NS
75,"Otter Creek, PA",Quercus rubra,RP,4.139495885,17.62605081,39.8784667,-76.3863667,-0.238558601,0.192046692,-0.191616552,0.08044038,0.008530556,0.177410369,0.07677359,NS,0.007014542,NS,-0.090370923,NS,0.027379655,NS,-0.161554669,NS,-0.26406722,<0.05,-0.256995425,<0.05,-0.121872271,NS
76,"Otter Creek, PA",Quercus velutina,RP,4.139495885,17.62605081,39.8784667,-76.3863667,-0.098886109,0.622509264,-0.112927027,0.34723431,0.003683463,0.595910733,0.053821572,NS,0.074747668,NS,-0.051118757,NS,0.017308056,NS,-0.198657994,<0.05,-0.296912993,<0.002,-0.228283816,<0.002,-0.065023807,NS
77,"Browning Hill, IN",Quercus rubra,RP,5.062184947,18.00672301,39.060237,-86.279252,-0.164653242,0.314768442,-0.146439441,0.144194422,0.005693001,0.305914168,0.034103889,NS,-0.055089121,NS,-0.156268397,NS,0.022757093,NS,-0.011500169,NS,-0.395506986,<0.002,-0.268842299,<0.05,-0.089422418,NS
78,"Lily Dicky Nature Preserve, IN",Carya ovata,RP,5.062184947,18.00672301,39.2361,-86.2204,-0.199794463,0.248750297,-0.113621535,0.281575416,0.006862132,0.242897318,0.19769639,<0.05,0.230232618,<0.05,-0.16357031,<0.05,0.035462071,NS,0.086950599,NS,0.128501675,NS,0.017316776,NS,0.112088529,NS
79,"Lily Dicky Nature Preserve, IN",Quercus alba,RP,5.062184947,18.00672301,39.2361,-86.2204,-0.196290747,0.262271426,-0.186931599,0.081040554,0.006610275,0.265703996,0.005626849,NS,0.054619149,NS,-0.095946702,NS,-0.049421961,NS,-0.186738776,<0.05,-0.52626521,<0.002,-0.37363034,<0.002,-0.373866229,<0.002
80,"Lily Dicky Nature Preserve, IN",Quercus mongolica,RP,5.062184947,18.00672301,39.2361,-86.2204,-0.081946293,0.605697614,-0.093658502,0.333692394,0.002725995,0.612664372,0.127161838,NS,0.112066637,NS,-0.158011647,NS,-0.038957031,NS,-0.193052523,<0.05,-0.472534077,<0.002,-0.242784678,<0.05,-0.283921452,<0.05
81,"Lily Dicky Nature Preserve, IN",Quercus velutina,RP,5.062184947,18.00672301,39.2361,-86.2204,-0.197525737,0.177584188,-0.168229145,0.060535267,0.006737274,0.175212515,0.046232197,NS,0.053894983,NS,-0.101083298,NS,-0.011786933,NS,-0.180864809,NS,-0.48500247,<0.002,-0.299891959,<0.05,-0.281046163,<0.05
82,"MMSF Flux Site, IN",Carya ovata,RP,5.062184947,18.00672301,39.3232,-86.4131,-0.1591204,0.328280564,-0.148934435,0.134976613,0.005624168,0.308633835,0.040542803,NS,0.038842995,NS,0.024682265,NS,0.059324071,NS,-0.148862683,NS,-0.450721735,<0.002,-0.258611424,<0.05,-0.408426478,<0.002
83,"MMSF Flux Site, IN",Quercus alba,RP,5.062184947,18.00672301,39.3232,-86.4131,-0.242163112,0.207595767,-0.199228261,0.092364809,0.008538483,0.190896981,-0.070924294,NS,-0.047150799,NS,-0.136909949,NS,0.140109676,NS,-0.112943625,NS,-0.390193798,<0.002,-0.219338246,<0.05,-0.251769088,<0.05
84,"Lincoln's New Salem, IL",Carya ovata,RP,5.921848837,18.0697483,39.982858,-89.852411,-0.02191494,0.85804916,-0.060882042,0.413040584,0.000840911,0.83636032,-0.089809929,NS,-0.101635299,NS,-0.054377418,NS,0.009553501,NS,-0.197156572,<0.05,-0.571240376,<0.002,-0.292271456,<0.05,-0.323952705,<0.002
85,"Lincoln's New Salem, IL",Quercus alba,RP,5.921848837,18.0697483,39.982858,-89.852411,-0.06209868,0.65166889,-0.100556446,0.228753461,0.001920538,0.674217478,-0.026274036,NS,-0.011196246,NS,-0.161688752,NS,-0.117135134,NS,-0.31800481,<0.002,-0.646068917,<0.002,-0.365766243,<0.002,-0.318929236,<0.002
86,"Riddle, OH",Quercus alba,RP,4.152941237,18.12605082,39.349399,-82.072414,0.238142241,0.125670626,0.127415077,0.189233686,-0.008724613,0.107700583,0.057727339,NS,-0.156794946,NS,-0.112095665,NS,-0.163265053,NS,-0.152942996,NS,-0.310613565,<0.002,-0.141194429,NS,-0.224607552,<0.05
87,"Riddle, OH",Quercus mongolica,RP,4.152941237,18.12605082,39.349399,-82.072414,0.073220078,0.643687792,0.010620424,0.914472193,-0.003065987,0.578542204,0.107905852,NS,-0.106365385,NS,-0.089124723,NS,-0.209254617,<0.05,-0.265933314,<0.05,-0.41437249,<0.002,-0.225923396,<0.05,-0.228431044,<0.05
88,"MurphyTract, WV",Quercus alba,RP,3.42857149,18.15546254,39.262113,-80.997378,0.066870551,0.723958216,0.003872324,0.973701455,-0.002724962,0.684971286,0.13845775,NS,-0.110847031,NS,-0.027061952,NS,-0.15703059,NS,-0.332107068,<0.002,-0.328883134,<0.002,-0.249086549,<0.05,-0.236211418,<0.05
89,"Hoot Woods Site Easement, IN",Carya ovata,RP,5.340336215,18.311765,39.25,-86.89,-0.055866121,0.76340098,-0.090335701,0.425479808,0.001871058,0.763430079,0.017911873,NS,-0.068713973,NS,-0.028344502,NS,-0.037216403,NS,-0.113604594,NS,-0.463336182,<0.002,-0.27049488,<0.05,-0.285610962,<0.05
90,"Hoot Woods Site Easement, IN",Fraxinus americana,RP,5.340336215,18.311765,39.25,-86.89,0.039439494,0.826687586,-0.024266851,0.825207052,-0.001614632,0.789013315,0.043319029,NS,-0.037301335,NS,-0.203408196,<0.05,-0.126976351,NS,-0.211316063,<0.05,-0.454306465,<0.002,-0.293221396,<0.05,-0.147177653,NS
91,"Hoot Woods Site Easement, IN",Quercus rubra,RP,5.340336215,18.311765,39.25,-86.89,0.069115959,0.621790785,-0.00165397,0.984550951,-0.002025094,0.666052292,-0.020428185,NS,-0.062489811,NS,-0.075892215,NS,0.115618388,NS,-0.07253305,NS,-0.399068066,<0.002,-0.300294202,<0.05,-0.159542576,NS
92,"Bent Creek, NC",Quercus stellata,RP,4.328571487,18.50252136,35.5,-82.6,0.211553138,0.264024762,0.124417806,0.352441084,-0.00803515,0.256978536,0.108428811,NS,-0.037995102,NS,0.099913742,NS,-0.022476006,NS,-0.182174104,NS,-0.27834683,<0.05,-0.136952682,NS,0.015774822,NS
93,"Potomac River, Dranesville, VA",Quercus mongolica,RP,5.266386641,18.5344542,39.0581167,-77.3299167,-0.080189508,0.627579083,-0.078497492,0.437012158,0.002673096,0.631938269,0.166559615,NS,-0.097446471,NS,-0.095194739,NS,-0.016487898,NS,-0.344640929,<0.002,-0.186647775,NS,-0.298002457,<0.002,-0.144679323,NS
94,"Fox Ridge, IL",Carya ovata,RP,6.356302629,18.64117681,39.395555,-88.161265,-0.172806615,0.25149635,-0.143285444,0.123213626,0.005848282,0.23646653,-0.009646416,NS,-0.047905196,NS,-0.148984651,NS,0.048304403,NS,-0.081814919,NS,-0.401273272,<0.002,-0.159341353,<0.05,-0.037711063,NS
95,"Fox Ridge, IL",Quercus alba,RP,6.356302629,18.64117681,39.395555,-88.161265,-0.080957916,0.568651563,-0.107344249,0.220410528,0.002445369,0.599247878,-0.07704755,NS,-0.112002571,NS,-0.085111217,NS,-0.132506915,NS,-0.280873404,<0.05,-0.5626219,<0.002,-0.413017492,<0.002,-0.282123317,<0.002
96,"Lil Scaly Mountain, NC",Quercus alba,RP,4.494958052,18.71680708,35.031278,-83.257678,0.045923776,0.811380708,0.018344859,0.891580801,-0.001823001,0.796723722,-0.04157156,NS,-0.109516596,NS,0.030525447,NS,-0.029715787,NS,0.025334799,NS,-0.210275993,<0.05,-0.027242746,NS,-0.079905043,NS
97,"MOz Flux Site, MO",Carya ovata,RP,6.889075754,19.09747942,38.7441,-92.2,-0.196440976,0.161129396,-0.183687046,0.039485046,0.006381158,0.164726737,-0.005155089,NS,-0.006821375,NS,-0.095494349,NS,-0.090023842,NS,-0.224961461,<0.05,-0.565898558,<0.002,-0.416680759,<0.002,-0.305832737,<0.002
98,"MOz Flux Site, MO",Quercus alba,RP,6.889075754,19.09747942,38.7441,-92.2,-0.086749452,0.565881715,-0.140822187,0.14296006,0.003147939,0.525556558,0.034169848,NS,-0.017327975,NS,-0.176343454,NS,0.013162122,NS,-0.337581625,<0.002,-0.598283011,<0.002,-0.489967373,<0.002,-0.389412186,<0.002
99,"Donaldson Woods Nature Preserve, IN",Carya ovata,RP,5.52100849,19.11092478,38.73,-86.42,0.100350907,0.589696445,0.001740801,0.988130943,-0.00301404,0.625319221,0.031533761,NS,-0.077148267,NS,-0.014545084,NS,0.087539054,NS,-0.231167408,<0.05,-0.497603567,<0.002,-0.252230762,<0.05,-0.350008169,<0.002
100,"Donaldson Woods Nature Preserve, IN",Quercus alba,RP,5.52100849,19.11092478,38.73,-86.42,0.204986702,0.187089696,0.075314201,0.439940214,-0.006908412,0.180211795,0.050402501,NS,0.042042446,NS,-0.042630461,NS,-0.051849932,NS,-0.247101656,<0.05,-0.539533734,<0.002,-0.333852824,<0.002,-0.36940969,<0.002
101,"Donaldson Woods Nature Preserve, IN",Quercus rubra,RP,5.52100849,19.11092478,38.73,-86.42,0.080062121,0.550240397,0.004909966,0.953534867,-0.002545351,0.566931757,-0.0459221,NS,-0.077778727,NS,-0.054652965,NS,0.017212244,NS,-0.176313487,NS,-0.455467112,<0.002,-0.329515627,<0.002,-0.259771997,<0.05
102,"Donaldson Woods Nature Preserve, IN",Quercus velutina,RP,5.52100849,19.11092478,38.73,-86.42,0.005222851,0.969346778,-0.039378816,0.645369848,-0.000398008,0.929657949,-0.076520823,NS,0.000684365,NS,-0.087022547,NS,-0.122746165,NS,-0.18412881,<0.05,-0.541832967,<0.002,-0.302137606,<0.002,-0.334227638,<0.002
103,"Pionner Mothers Research Natural Area, IN",Carya ovata,RP,5.52100849,19.11092478,38.54,-86.45,0.065466183,0.740418059,-0.018921532,0.878987085,-0.002113234,0.747153165,0.069784158,NS,0.018170118,NS,-0.072622335,NS,-0.014673243,NS,-0.265547819,<0.05,-0.469866415,<0.002,-0.248432174,<0.05,-0.280155518,<0.05
104,"Pionner Mothers Research Natural Area, IN",Quercus alba,RP,5.52100849,19.11092478,38.54,-86.45,0.109180596,0.469126269,0.012689343,0.893261985,-0.003839627,0.443125946,0.096041489,NS,0.01263474,NS,-0.01948455,NS,-0.10669137,NS,-0.187988687,NS,-0.598644831,<0.002,-0.295560464,<0.05,-0.305169448,<0.002
105,"Pionner Mothers Research Natural Area, IN",Quercus rubra,RP,5.52100849,19.11092478,38.54,-86.45,0.140898305,0.299447928,0.02270131,0.789938987,-0.00429154,0.340530859,-0.02599383,NS,-0.050904678,NS,-0.039891234,NS,0.135359623,NS,-0.171661331,NS,-0.569279414,<0.002,-0.375645194,<0.002,-0.335044232,<0.05
106,"Babler, MO",Carya ovata,RP,7.336134542,19.21932809,38.620428,-90.694719,0.060652251,0.69240853,-0.013666937,0.886690861,-0.001837425,0.712845816,-0.143964356,NS,0.053617898,NS,-0.027211943,NS,0.009228182,NS,-0.112417943,NS,-0.468674122,<0.002,-0.28566857,<0.05,-0.213961484,<0.05
107,"Babler, MO",Quercus alba,RP,7.336134542,19.21932809,38.620428,-90.694719,0.01883931,0.868805367,-0.059227988,0.407289078,-0.000478404,0.897517824,-0.016305783,NS,0.032642095,NS,-0.13844225,NS,-0.022486035,NS,-0.314056251,<0.002,-0.622302037,<0.002,-0.467134656,<0.002,-0.409597066,<0.002
108,"Beall Woods, IL",Fraxinus americana,RP,7.317647175,19.22352972,38.349771,-87.828127,0.190741692,0.217445731,0.074772538,0.429400855,-0.006430673,0.195871813,0.082572662,NS,-0.068849266,NS,-0.113615587,NS,-0.154034216,NS,-0.291913041,<0.002,-0.474575796,<0.002,-0.252035235,<0.05,-0.182752425,NS
109,"Beall Woods, IL",Quercus alba,RP,7.317647175,19.22352972,38.349771,-87.828127,0.31925541,0.04331406,0.14334463,0.137133945,-0.010227408,0.04401364,-0.065006666,NS,0.002307359,NS,0.157740493,NS,-0.018148954,NS,-0.260902566,<0.05,-0.515041124,<0.002,-0.221284816,<0.05,-0.225908382,<0.05
110,"Saunders, IN",Carya ovata,RP,7.317647175,19.22352972,38.37071,-87.717271,0.248907619,0.180193265,0.103408121,0.362816477,-0.008113794,0.17419089,-0.151550149,NS,-0.152259545,NS,0.042374997,NS,-0.061757193,NS,-0.01711762,NS,-0.422709127,<0.002,-0.238940123,<0.05,-0.179323959,<0.05
111,"Saunders, IN",Quercus pagoda,RP,7.317647175,19.22352972,38.37071,-87.717271,0.293058383,0.090097788,0.140022802,0.18901401,-0.009072083,0.10231067,-0.03802688,NS,-0.023414489,NS,0.087243358,NS,0.123583934,NS,-0.253823568,<0.05,-0.294813488,<0.002,-0.231073837,<0.05,-0.240766034,<0.002
112,"Joyce Kilmer, NC",Quercus rubra,RP,5.268907665,19.39916002,35.358468,-83.930323,-0.033540573,0.868786215,-0.025453528,0.857661378,0.001580831,0.826480478,0.03123704,NS,-0.178844773,NS,-0.010071847,NS,0.108336554,NS,0.047422361,NS,0.055669001,NS,0.061732287,NS,-0.020644801,NS
