Number,Location,Species,Wood Type,CTW Tmin,CTW Tmax,Latitude,Longitude,Slope April - April:June-July Tmax,P-value April - April:June-July Tmax,Slope June-July - April:June-July Tmax,P-value June-July - April:June-July Tmax,Slope April:June-July Tmax,P-value April:June-July Tmax,January,January Sig,February,February Sig,March,March Sig,April,April Sig,May,May Sig,June,June Sig,July,July Sig,August,August Sig
187,"Pionner Mothers Research Natural Area, IN",Liriodendron tulipifera,DP,5.52100849,19.11092478,38.54,-86.45,0.021350706,0.910976231,-0.060896868,0.612386223,-0.000608477,0.923474007,-0.084401355,NS,-0.134437235,NS,-0.086706553,NS,0.008379571,NS,-0.145745159,NS,-0.536734966,<0.002,-0.362869679,<0.002,-0.378020694,<0.002
188,"Babler, MO",Acer saccharum,DP,7.336134542,19.21932809,38.620428,-90.694719,0.195315897,0.265504995,0.062219956,0.569992894,-0.005797682,0.309932169,-0.166109502,<0.05,-0.322758837,<0.002,-0.021610958,NS,0.147605035,NS,-0.091980394,NS,-0.349672654,<0.002,-0.282815923,<0.05,-0.145614217,NS
189,"Beall Woods, IL",Acer saccharum,DP,7.317647175,19.22352972,38.349771,-87.828127,0.171181488,0.407322587,0.029218654,0.817318732,-0.004874395,0.462798789,-0.022549147,NS,-0.134917562,NS,-0.086280658,NS,0.161094276,NS,-0.135197907,NS,-0.372974347,<0.002,-0.319552227,<0.002,-0.208735362,<0.05
190,"Beall Woods, IL",Liriodendron tulipifera,DP,7.317647175,19.22352972,38.349771,-87.828127,0.069102391,0.759057873,-0.03019764,0.826944235,-0.001878838,0.795292843,-0.015282808,NS,-0.038844888,NS,0.017008817,NS,0.071093061,NS,-0.126465561,NS,-0.4207948,<0.002,-0.265968034,<0.05,-0.194793991,<0.05
191,"Joyce Kilmer, NC",Liriodendron tulipifera,DP,5.268907665,19.39916002,35.358468,-83.930323,0.234341668,0.384175971,0.132955971,0.479727841,-0.00862475,0.367234277,0.236909803,<0.002,-0.022260637,NS,0.104539096,NS,-0.07576202,NS,-0.084481373,NS,-0.219917004,<0.05,-0.169611055,<0.05,-0.188888187,<0.05
192,"Boogerman, TN",Liriodendron tulipifera,DP,5.304201752,19.6159668,35.621211,-83.086317,0.32816195,0.14861139,0.206782841,0.190860289,-0.011488996,0.148689994,0.341677546,<0.002,0.087866681,NS,0.022951369,NS,0.018806056,NS,-0.019910173,NS,-0.21755574,<0.05,-0.047926025,NS,-0.074858681,NS
193,"Porter's Creek, TN",Liriodendron tulipifera,DP,5.304201752,19.6159668,35.677073,-83.397134,-0.025013076,0.920662641,-0.040869511,0.815252637,0.000639126,0.942062661,0.267283494,<0.002,0.002602771,NS,-0.023841061,NS,-0.078518584,NS,-0.102399468,NS,-0.223901516,<0.05,-0.108656251,NS,-0.063044712,NS
194,"Rainbow Falls, TN",Liriodendron tulipifera,DP,5.304201752,19.6159668,35.664957,-83.463175,0.224965429,0.399340632,0.11287286,0.543418311,-0.007646009,0.413302832,0.250315384,<0.05,0.042014506,NS,0.02664443,NS,0.051157746,NS,-0.156946017,NS,-0.281082461,<0.05,-0.129770468,NS,-0.23220593,<0.05
195,"Hemmer, IN",Acer saccharum,DP,7.348739628,19.79916011,38.229087,-87.366519,0.458759896,0.033052156,0.211622713,0.124631832,-0.013939127,0.044253757,0.092667881,NS,-0.142203611,NS,0.108091572,NS,0.257605965,<0.05,-0.113709392,NS,-0.470600267,<0.002,-0.308225085,<0.05,-0.197976624,NS
196,"Smithsonian Conservation Biology Institute, VA",Fagus grandifolia,DP,5.006896621,19.8094831,38.8935,-78.1454,-0.286845326,0.25136982,-0.230772049,0.150219734,0.009876703,0.232684925,-0.191203156,NS,-0.065720727,NS,-0.004852171,NS,0.243187003,<0.05,-0.203871327,<0.05,-0.152086771,NS,-0.287856085,<0.05,-0.239525612,NS
197,"Smithsonian Conservation Biology Institute, VA",Liriodendron tulipifera,DP,5.006896621,19.8094831,38.8935,-78.1454,-0.201282636,0.369802167,-0.128297751,0.3742089,0.006690677,0.36659637,0.010589738,NS,-0.117502359,NS,-0.029704894,NS,0.126992801,NS,-0.267866998,<0.05,-0.228697183,<0.05,-0.176370159,NS,-0.211842377,<0.05
198,"Fiddler's Green, VA",Liriodendron tulipifera,DP,5.067226971,19.85546265,37.7694333,-79.2415167,0.505178716,0.143307426,0.27940426,0.217790957,-0.017286648,0.141647817,0.222913369,NS,0.045606732,NS,-0.045305651,NS,-0.01291939,NS,-0.084710983,NS,-0.217734054,<0.05,-0.246562753,<0.05,-0.197667632,<0.05
199,"Fiddler's Green, VA",Magnolia acuminata,DP,5.067226971,19.85546265,37.7686833,-79.2423833,0.143715632,0.631706799,0.064558064,0.743368995,-0.004407305,0.666157179,0.091712613,NS,-0.060444306,NS,-0.080247938,NS,0.165484238,NS,-0.034305046,NS,-0.135726831,NS,-0.052199382,NS,-0.047254166,NS
200,"Wesselman, IN",Liriodendron tulipifera,DP,7.78319337,20.1210088,37.984732,-87.512485,0.017610166,0.947540432,-0.077744966,0.644461437,6.81E-06,0.999356473,0.058679107,NS,-0.030281178,NS,-0.009145503,NS,0.125084579,NS,-0.21313105,<0.05,-0.405480114,<0.002,-0.310181599,<0.002,-0.270062656,<0.05
201,"Daniel Boone London District, KY",Fagus grandifolia,DP,5.928571527,20.29831973,37.13,-84.27,0.44476271,0.026052399,0.254840972,0.055344764,-0.014767938,0.02575184,0.048217433,NS,-0.023516083,NS,-0.088668806,NS,0.027008453,NS,0.023588403,NS,-0.37725092,<0.002,-0.201904192,<0.05,-0.137607902,NS
202,"Daniel Boone London District, KY",Liriodendron tulipifera,DP,5.928571527,20.29831973,37.13,-84.27,0.289216188,0.244353756,0.15592861,0.346531747,-0.009816461,0.233141199,0.218122527,<0.05,-0.035562563,NS,-0.035057556,NS,-0.0538742,NS,-0.008839236,NS,-0.344540922,<0.002,-0.113407056,NS,-0.130613464,NS
203,"Mammoth Cave, KY",Liriodendron tulipifera,DP,7.275630384,20.48739537,37.187032,-86.103961,-0.112012071,0.653626627,-0.115202847,0.48091606,0.003337096,0.680011173,0.093784996,NS,-0.14808881,NS,-0.048444197,NS,-0.088481059,NS,-0.059554529,NS,-0.410782318,<0.002,-0.118387075,NS,-0.144909129,NS
204,"Feryne Cliffe Nature Preserve, IL",Liriodendron tulipifera,DP,7.633613602,20.57731133,37.5294,-88.9828,-0.341470671,0.189417055,-0.322705589,0.053336664,0.010912379,0.181372378,-0.020140162,NS,-0.059375583,NS,-0.042270853,NS,-0.018100236,NS,-0.26414143,<0.05,-0.498446157,<0.002,-0.403828473,<0.002,-0.237406468,<0.05
205,"Frick Creek, GA",Liriodendron tulipifera,DP,6.917647173,20.74117686,34.76,-84.3,0.327919941,0.14893422,0.224798068,0.159960563,-0.011617867,0.130426037,0.290922269,<0.05,0.055637449,NS,-0.055831061,NS,-0.127797023,NS,-0.073346474,NS,-0.230672122,<0.05,-0.000604643,NS,-0.010543869,NS
206,"Chinquapin Ridge, TN",Liriodendron tulipifera,DP,6.678991698,20.98571467,35.689201,-83.61108,0.251280496,0.334475855,0.141822746,0.442019168,-0.00857437,0.324373435,0.179927665,<0.05,0.081978505,NS,0.020110668,NS,-0.037337364,NS,-0.028935982,NS,-0.244547859,<0.05,-0.213830794,<0.05,-0.072902588,NS
207,"Forge Creek, TN",Liriodendron tulipifera,DP,6.678991698,20.98571467,35.553618,-83.838504,-0.044113141,0.873606684,-0.09786834,0.618847955,0.001354914,0.883742431,0.299099282,<0.002,0.130797072,NS,-0.023149066,NS,-0.073616087,NS,-0.180406031,<0.05,-0.388721056,<0.002,-0.298008436,<0.002,-0.262344685,<0.002
208,"Scotts Gap, TN",Liriodendron tulipifera,DP,6.678991698,20.98571467,35.594863,-83.916167,0.033969525,0.917358849,-0.055009641,0.812700366,-0.001579916,0.885166465,0.117445874,NS,0.017594666,NS,-0.094370655,NS,-0.155757531,NS,-0.219203135,<0.05,-0.440388601,<0.002,-0.303780932,<0.002,-0.196673054,<0.05
