"Number","Location","Species","Wood Type","CTW Tmin","CTW Tmax","Latitude","Longitude","Slope April:June Tmax","P-value April:June Tmax","Slope April:June-July Tmax","P-value April:June-July Tmax","Slope April:May-August Tmax","P-value April:May-August Tmax"
11,"Singer Farm, NY","Quercus rubra","RP",2.115126085,12.03613465,43.3496333,-78.6612333,-0.00130437345662965,0.0562193878613026,-0.0013385807010037,0.119179971583361,0.000223994918756068,0.820622579652075
12,"Warren Cutler Boy Scout Res., NY","Quercus rubra","RP",1.136134473,12.20504229,42.68245,-77.42996667,NA,NA,NA,NA,NA,NA
13,"Arnot Forest, NY","Quercus rubra","RP",0.464705888,12.26386578,42.27161667,-76.62676667,NA,NA,NA,NA,NA,NA
14,"Goose Egg Ridge, NY","Quercus rubra","RP",-0.589915974,12.47479012,43.06833333,-73.29,NA,NA,NA,NA,NA,NA
15,"Goose Egg Ridge, NY","Quercus alba","RP",-0.589915974,12.47479012,43.06833333,-73.29,NA,NA,NA,NA,NA,NA
16,"Goose Egg Ridge, NY","Quercus mongolica","RP",-0.589915974,12.47479012,43.06833333,-73.29,NA,NA,NA,NA,NA,NA
17,"Stott Farm, Argyle, NY","Carya glabra","RP",-0.589915974,12.47479012,43.188,-73.49883333,NA,NA,NA,NA,NA,NA
18,"Breglia Cliffs, NY","Quercus mongolica","RP",-0.00504202,12.62521026,42.60858333,-74.31815,NA,NA,NA,NA,NA,NA
19,"Curtiss-Gale Wildlife Preserve, NY","Quercus rubra","RP",2.210084064,12.6537817,43.28858333,-76.38853333,NA,NA,NA,NA,NA,NA
20,"Whiskey Hollow, NY","Quercus mongolica","RP",2.210084064,12.6537817,43.119135,-76.386846,-0.00233873797971289,0.00484070880435981,-0.00329211424777067,0.00199930852159184,-0.00289814583309143,0.0148460105789891
21,"Mt.Agamenticus, ME","Quercus mongolica","RP",0.568907573,12.9504204,43.22805,-70.6892,-0.00162354269865388,0.0171424466594861,-0.00236620407831648,0.013145933531672,-0.0017858751632708,0.118909995112849
22,"Prospect Mountain, NY","Carya ovata","RP",0.289915971,13.01764731,43.42166667,-73.57,NA,NA,NA,NA,NA,NA
23,"Prospect Mountain, NY","Quercus rubra","RP",0.289915971,13.01764731,43.41826667,-73.75508333,NA,NA,NA,NA,NA,NA
24,"Wachusett Mountain, MA","Quercus rubra","RP",1.826890791,13.08067246,42.49,-71.88,-0.00091130619052111,0.104988285569886,-0.000601115717834486,0.431636223004081,-0.000851794496920186,0.327617319734122
25,"Mashomack Preserve, NY","Quercus stellata","RP",3.164705937,13.20840353,41.0415,-72.28453333,NA,NA,NA,NA,NA,NA
26,"Aquidneck, RH","Quercus rubra","RP",2.895798365,13.45042037,41.5692833,-71.2840333,-0.00156262638889581,0.00495422550504288,-0.00232776803758947,0.00166940100533362,-0.00200830408892768,0.0206381927553305
27,"New Port, RI","Quercus alba","RP",2.895798365,13.45042037,41.557004,-71.26675,-0.000525135711047389,0.384874900193736,-0.000813673047222263,0.31146463280156,-0.000543212255791502,0.563006101341977
28,"Mohawk Trail St.Forest, MA","Quercus rubra","RP",1.46470591,13.91260528,42.0609,-72.3009,-0.00123604030300301,0.690407600094741,-0.00258931845310969,0.548610931759694,-0.00323446031610041,0.512558476456376
29,"Lisha Kill, NY","Carya glabra","RP",1.743697508,14.27142882,42.79496667,-73.86005,NA,NA,NA,NA,NA,NA
30,"Lisha Kill, NY","Quercus alba","RP",1.743697508,14.27142882,42.79146667,-73.85855,NA,NA,NA,NA,NA,NA
31,"Harvard Forest, MA","Fraxinus americana","RP",0.596638667,14.38823551,42.53,-72.18,NA,NA,NA,NA,NA,NA
32,"Harvard Forest LyfordPlots, MA","Quercus rubra","RP",0.5966387,14.388236,42.5388,-72.1755,NA,NA,NA,NA,NA,NA
33,"Harvard Forest, MA","Quercus rubra","RP",0.596638667,14.38823551,42.5388,-72.1755,NA,NA,NA,NA,NA,NA
34,"NorthRoundPondPlot2, NH","Fraxinus americana","RP",0.596638667,14.38823551,42.84771,-72.4475,-0.000692456518954141,0.194328308818745,-0.000224977094046104,0.759701656730746,0.000237886740125383,0.785152416261325
35,"NorthRoundPondPlot3, NH","Quercus rubra","RP",0.596638667,14.38823551,42.84417,-72.44976,-0.000834202256616045,0.000217998824749326,-0.001454197282791,1.75281547893023e-06,-0.00134901865723461,0.000196637085390742
36,"Alan Seeger Natural Area, PA","Quercus alba","RP",2.962184931,14.68739521,40.69,-77.75,-0.00145537025732905,0.0138330121307434,-0.00226746359851981,0.00242457379291135,-0.00267848747197541,0.00212251528333734
37,"Alan Seeger Natural Area, PA","Quercus rubra","RP",2.962184931,14.68739521,40.69,-77.75,-0.00181393373766235,0.00519732136157562,-0.0028089154986682,0.000608190505809017,-0.00351166424091947,0.000225250609613438
38,"Douglas, IN","Quercus alba","RP",2.373109279,14.69411787,41.518301,-84.866101,-0.00189121499786893,9.60234575402111e-05,-0.0025810644640469,2.21460245082206e-05,-0.00304427560123734,2.56813043503701e-05
39,"Bronx, Hunter Island, NY","Quercus stellata","RP",5.645378253,14.79075655,40.8754556,-73.7900333,-0.00146342137998071,0.0194894490577994,-0.00209202918234501,0.0114693880743927,-0.0021737626319347,0.0252898006693795
40,"Montgomery Place, NY","Quercus mongolica","RP",1.978151285,14.80504227,42.0088,-73.91875,0.000176076486150073,0.768538096627614,0.000151191080618939,0.855816377963204,0.00157877800475258,0.104328546116546
41,"Montgomery Place, NY","Quercus rubra","RP",1.978151285,14.80504227,42.0088,-73.91875,-0.00148769613538699,7.95160921397909e-06,-0.00197039423641085,2.2868646754766e-05,-0.00207489253780154,0.000130134508241835
42,"Rams Horn Swamp, NY","Quercus alba","RP",1.978151285,14.80504227,42.19942,-73.864775,0.000163775506975749,0.740334051177937,-0.00158200030658573,0.0211352549513143,-0.00289072088740653,0.000252427983310909
43,"Goll, OH","Carya ovata","RP",2.358823565,15.05798349,41.553988,-84.36205,-0.0021097863091515,1.99472405809599e-06,-0.002781220950836,7.23404898344494e-07,-0.00247616121148732,0.00031516181134176
44,"Goll, OH","Quercus alba","RP",2.358823565,15.05798349,41.553988,-84.36205,-0.00262001442453881,9.41792090648409e-08,-0.00376726999165644,7.13753415980664e-10,-0.00404118306546548,5.15089821299032e-08
45,"Johnson State Nature Preserve, OH","Carya ovata","RP",3.273949632,15.13697507,40.88,-81.75,-0.00159546489253966,5.21792421139074e-05,-0.00238879175330288,8.49118611484922e-07,-0.00223250485465242,9.04787368162908e-05
46,"Johnson State Nature Preserve, OH","Quercus alba","RP",3.273949632,15.13697507,40.88,-81.75,-0.00219484794478633,6.69191511746529e-05,-0.00272468068507588,8.1259410882876e-05,-0.00294494932162624,0.000220267377826986
47,"Johnson State Nature Preserve, OH","Quercus rubra","RP",3.273949632,15.13697507,40.88,-81.75,-0.000632843256613333,0.181243349070666,-0.000419500459922954,0.480048690647252,0.000421538482597339,0.538351415837334
48,"Black Rock Blueberry Fields, Black Rock Forest, NY","Quercus rubra","RP",2.657142908,15.21680694,41.383,-74.017,0.000853452240190133,0.73739627605733,0.00261537084071338,0.453010177636465,0.0025637383457149,0.522974731872227
49,"Black Rock Lucky Streak Red, Black Rock Forest, NY","Quercus rubra","RP",2.657142908,15.21680694,41.383,-74.017,0.000853452240190133,0.73739627605733,0.00261537084071338,0.453010177636465,0.0025637383457149,0.522974731872227
50,"Schunemunk, NY","Quercus alba","RP",2.657142908,15.21680694,41.37607,-74.115522,-0.000360474806190352,0.514117319735317,-0.00157679586504127,0.036606461958823,-0.00144073297351326,0.0963167427119034
51,"Uttertown, NJ","Quercus rubra","RP",2.657142908,15.21680694,41.1170667,-74.4169833,-0.00132856611814257,0.0401055590863623,-0.00272574860115657,0.00188612185297317,-0.00229740562882673,0.0237262530034492
52,"Mohonk Preserve, Lenape Lane, NY","Quercus mongolica","RP",2.052941208,15.30000031,41.7638,-74.12465,-0.00104218428521712,0.0159646939009265,-0.00218753642563931,0.000169232364309591,-0.00240363498444538,0.000387117841337735
53,"Mohonk Preserve, Lenape Lane, NY","Quercus velutina","RP",2.052941208,15.30000031,41.7638,-74.12465,-0.00149552612423669,8.35661733944045e-05,-0.00277760669113079,4.41804561073518e-08,-0.0024387353610762,4.75734145294972e-05
54,"Mohonk Preserve, Bonticou Crag, NY","Carya glabra","RP",2.052941208,15.30000031,41.8012,-74.10568333,NA,NA,NA,NA,NA,NA
55,"Palmaghatt5, NY","Quercus mongolica","RP",2.052941208,15.30000031,41.705475,-74.251715,-0.00183699875381889,0.000376293397224762,-0.0033957332236118,3.99811580960593e-07,-0.00351894594966078,1.18848230757684e-05
56,"Palmaghatt5, NY","Quercus rubra","RP",2.052941208,15.30000031,41.705475,-74.251715,-0.00227904888813918,5.18397611605577e-08,-0.00338654886248607,5.32759536982331e-10,-0.00327607099707841,6.79147506854703e-07
57,"Oppenheim, IN","Carya ovata","RP",3.526890805,15.4151263,41.339479,-85.763455,-0.00188201590329063,0.000144395930798123,-0.00223691455561784,0.000315816043930234,-0.00206671661457422,0.00502558162732253
58,"Oppenheim, IN","Quercus rubra","RP",3.526890805,15.4151263,41.339479,-85.763455,-8.10464646431667e-05,0.871949790307661,-0.000346815216038019,0.580884186604139,-0.000293394272450542,0.690619002308541
59,"DaveyWoods, OH","Quercus rubra","RP",2.831932815,15.55714315,40.137556,-83.907942,-0.00224913496032744,0.000215875610937635,-0.0031192328118765,2.14968445715809e-05,-0.00330700672140982,0.000156925709664358
60,"Starved Rock, IL","Quercus alba","RP",4.015126111,16.15462211,41.307161,-88.993812,-0.00227127980046071,5.38615715288246e-08,-0.00275349793415265,1.1552322221327e-07,-0.00287794035142466,5.37874858973317e-06
61,"Starved Rock, IL","Quercus rubra","RP",4.015126111,16.15462211,41.307161,-88.993812,-0.00258612438509846,9.56819342369343e-09,-0.00291876884169846,2.57742314283176e-07,-0.00270953303420151,9.90295403371567e-05
62,"Palisades-Kepler State Park, IA","Carya ovata","RP",3.797479049,16.52268943,41.908174,-91.512774,-0.00200209281070455,5.00373734315425e-05,-0.00259337916931111,9.72231844043338e-06,-0.0023157496117278,0.00119368974564435
63,"Palisades-Kepler State Park, IA","Quercus alba","RP",3.797479049,16.52268943,41.908174,-91.512774,-0.00228565101643321,3.21014888779036e-08,-0.00263454426286182,1.13369926691043e-07,-0.00280998336274288,3.04456814131178e-06
64,"Meltzer, IN","Carya ovata","RP",4.647899226,16.80924407,39.505057,-85.669107,-0.0022848301692918,5.0157383584874e-06,-0.00282234541174988,1.96943911403973e-06,-0.00347125189246273,6.05121401696218e-07
65,"Meltzer, IN","Fraxinus nigra","RP",4.647899226,16.80924407,39.505057,-85.669107,-0.00241328609989989,2.3747791560086e-07,-0.00243454793367066,1.6716269218385e-05,-0.00265198821471873,7.64792942573436e-05
66,"Meltzer, IN","Quercus macrocarpa","RP",4.647899226,16.80924407,39.505057,-85.669107,-0.00221991038371246,5.31464718942404e-08,-0.00241153210006919,9.15448232274675e-07,-0.00264682261539318,5.65806446099231e-06
67,"Cedar Knob, WV","Quercus mongolica","RP",2.678151296,17.18823562,38.65,-79.3667,-0.000909969954824519,0.0372238052287982,-0.00145423977131923,0.0127890972073595,-0.00169028902483939,0.00962051189586184
68,"Geode State Park, IA","Quercus alba","RP",4.531932865,17.26554655,40.82469,-91.391817,-0.00297220932453449,5.89333670775505e-13,-0.00372110809389434,1.44494018299748e-14,-0.00401565821297488,8.82819642824305e-12
69,"Lacey Keosauqua State Park, IA","Carya ovata","RP",4.838655525,17.33277346,40.71661,-91.981867,-0.00194308647392269,2.82144372925481e-05,-0.00222591062110607,4.50213870155694e-05,-0.00239636864826421,0.000247800843227356
70,"Lacey Keosauqua State Park, IA","Quercus alba","RP",4.838655525,17.33277346,40.71661,-91.981867,-0.00247171065832791,5.26866845278635e-10,-0.00297504047162537,1.53522756511373e-10,-0.0033237804832236,2.89056911060788e-09
71,"Green Ridge, MD","Carya ovata","RP",4.273109308,17.46470626,39.6569,-78.40053333,NA,NA,NA,NA,NA,NA
72,"Kickapoo, IL","Carya ovata","RP",4.780672357,17.50840365,40.138291,-87.745765,-0.00283189471385466,1.27055605008366e-09,-0.00326391412217088,1.21788143174588e-08,-0.00333012246612363,1.38969726789372e-06
73,"Kickapoo, IL","Quercus alba","RP",4.780672357,17.50840365,40.138291,-87.745765,-0.0032311784078559,3.54587221062273e-12,-0.00378500667204078,3.37035425809352e-11,-0.00405215642880306,3.35681739014801e-09
74,"Otter Creek, PA","Quercus alba","RP",4.139495885,17.62605081,39.87846667,-76.38636667,NA,NA,NA,NA,NA,NA
75,"Otter Creek, PA","Quercus rubra","RP",4.139495885,17.62605081,39.87846667,-76.38636667,NA,NA,NA,NA,NA,NA
76,"Otter Creek, PA","Quercus velutina","RP",4.139495885,17.62605081,39.87846667,-76.38636667,NA,NA,NA,NA,NA,NA
77,"Browning Hill, IN","Quercus rubra","RP",5.062184947,18.00672301,39.060237,-86.279252,-0.0021005833962089,1.52089476599333e-05,-0.00240735503178344,2.47165476412634e-05,-0.00195084831262161,0.00464292064697184
78,"Lily Dicky Nature Preserve, IN","Carya ovata","RP",5.062184947,18.00672301,39.2361,-86.2204,0.000663212611361908,0.176106013068903,0.000568606624113547,0.327387287451699,0.00095474340653507,0.160529154246929
79,"Lily Dicky Nature Preserve, IN","Quercus alba","RP",5.062184947,18.00672301,39.2361,-86.2204,-0.00314739194505123,6.40922147978217e-09,-0.00374391389084308,4.92870622877798e-09,-0.00423728822682868,2.1210722165074e-08
80,"Lily Dicky Nature Preserve, IN","Quercus mongolica","RP",5.062184947,18.00672301,39.2361,-86.2204,-0.0023474691941797,4.33633597760045e-07,-0.00246177287564737,9.62616017406013e-06,-0.00290166843274789,8.89680884361498e-06
81,"Lily Dicky Nature Preserve, IN","Quercus velutina","RP",5.062184947,18.00672301,39.2361,-86.2204,-0.00229565844331873,1.82847978925192e-07,-0.00258098102335986,8.21636784032802e-07,-0.00287846944833809,3.25645754036988e-06
82,"MMSF Flux Site, IN","Carya ovata","RP",5.062184947,18.00672301,39.3232,-86.4131,-0.00243763055839434,4.55803257045435e-07,-0.00261552462955631,4.76057642086957e-06,-0.00322693677714488,1.64872566920792e-06
83,"MMSF Flux Site, IN","Quercus alba","RP",5.062184947,18.00672301,39.3232,-86.4131,-0.00228044332170402,3.23079671692742e-05,-0.00242805668429215,0.00018055065613555,-0.00269950419329305,0.000390710409634197
84,"Lincoln's New Salem, IL","Carya ovata","RP",5.921848837,18.0697483,39.982858,-89.852411,-0.00223589736828406,3.09380416651478e-10,-0.0024792880060566,1.78411940448656e-08,-0.00288093954174792,5.17089477396644e-08
85,"Lincoln's New Salem, IL","Quercus alba","RP",5.921848837,18.0697483,39.982858,-89.852411,-0.00309050013390105,1.66117588219793e-13,-0.00356615103611406,4.84038094738389e-12,-0.00424866172353393,5.52181900655497e-12
86,"Riddle, OH","Quercus alba","RP",4.152941237,18.12605082,39.349399,-82.072414,-0.00153392347518377,0.00127046466949887,-0.00165890871345035,0.00494909454966934,-0.00202857484730417,0.00191312274831143
87,"Riddle, OH","Quercus mongolica","RP",4.152941237,18.12605082,39.349399,-82.072414,-0.00213350973039182,1.49512521273612e-05,-0.00247703927767645,5.00975041586927e-05,-0.00294549614571669,1.28637496143634e-05
88,"MurphyTract, WV","Quercus alba","RP",3.42857149,18.15546254,39.262113,-80.997378,-0.00170264660514165,0.00296320664127801,-0.00250504297734848,0.00123231398453161,-0.00358079258750349,1.46767200568976e-05
89,"Hoot Woods Site Easement, IN","Carya ovata","RP",5.340336215,18.311765,39.25,-86.89,-0.00279094048796092,2.55157459435129e-07,-0.00306511299855807,2.14571533551608e-06,-0.00312343174403402,4.12437935032981e-05
90,"Hoot Woods Site Easement, IN","Fraxinus americana","RP",5.340336215,18.311765,39.25,-86.89,-0.0025606902485452,1.16511978009922e-06,-0.00294063403234351,2.59110087967989e-06,-0.00313066055575078,1.9929600388213e-05
91,"Hoot Woods Site Easement, IN","Quercus rubra","RP",5.340336215,18.311765,39.25,-86.89,-0.00181042857562681,8.88648702928836e-06,-0.00211547125887195,1.18361190044444e-05,-0.00191921430877985,0.000788109881279994
92,"Bent Creek, NC","Quercus stellata","RP",4.328571487,18.50252136,35.5,-82.6,-0.00120259578066757,0.00459922911037703,-0.00147086256740812,0.00771626616300151,-0.00165214356786347,0.0168143343288209
93,"Potomac River, Dranesville, VA","Quercus mongolica","RP",5.266386641,18.5344542,39.05811667,-77.32991667,NA,NA,NA,NA,NA,NA
94,"Fox Ridge, IL","Carya ovata","RP",6.356302629,18.64117681,39.395555,-88.161265,-0.00172791155799682,2.07126117846066e-05,-0.00174620461203131,0.000474607302387276,-0.00150473010158594,0.0129025023334171
95,"Fox Ridge, IL","Quercus alba","RP",6.356302629,18.64117681,39.395555,-88.161265,-0.00258764373432153,6.44925581455394e-10,-0.00324561012153053,1.23512831287084e-10,-0.00378802232014494,3.73404756515313e-10
96,"Lil Scaly Mountain, NC","Quercus alba","RP",4.494958052,18.71680708,35.031278,-83.257678,-0.000939695886147249,0.0285583039223792,-0.000861453553897024,0.1225771867089,-0.000830165939114353,0.227190475711884
97,"MOz Flux Site, MO","Carya ovata","RP",6.889075754,19.09747942,38.7441,-92.2,-0.00261731274806025,5.71567210568476e-10,-0.00308365931972799,5.07807706361281e-10,-0.00339121501666334,1.41751456467193e-08
98,"MOz Flux Site, MO","Quercus alba","RP",6.889075754,19.09747942,38.7441,-92.2,-0.00332937187328119,8.45444295047647e-12,-0.00411140862412743,1.79166657190628e-13,-0.00488269371636683,1.44895501936245e-13
99,"Donaldson Woods Nature Preserve, IN","Carya ovata","RP",5.52100849,19.11092478,38.73,-86.42,-0.00282962706579787,2.34577020287188e-08,-0.00292267682929525,1.54377938703459e-06,-0.00349638058218155,4.96019376164544e-07
100,"Donaldson Woods Nature Preserve, IN","Quercus alba","RP",5.52100849,19.11092478,38.73,-86.42,-0.00265299867722896,1.13470845885777e-09,-0.00295566409431839,1.23040508818221e-08,-0.00344388800908586,7.04860758197962e-09
101,"Donaldson Woods Nature Preserve, IN","Quercus rubra","RP",5.52100849,19.11092478,38.73,-86.42,-0.00191004767789211,3.63024246396244e-07,-0.0022876593804712,2.2466262273668e-07,-0.00237767020960984,3.67791756945003e-06
102,"Donaldson Woods Nature Preserve, IN","Quercus velutina","RP",5.52100849,19.11092478,38.73,-86.42,-0.00227317311153158,1.81541671332284e-09,-0.00246474287798277,4.95863793067128e-08,-0.00270648560801217,2.23719783627598e-07
103,"Pionner Mothers Research Natural Area, IN","Carya ovata","RP",5.52100849,19.11092478,38.54,-86.45,-0.00282647221257648,1.92847842870796e-07,-0.00310657582943834,1.7583357484319e-06,-0.00364208238536752,9.24003757936285e-07
104,"Pionner Mothers Research Natural Area, IN","Quercus alba","RP",5.52100849,19.11092478,38.54,-86.45,-0.00292062409366846,3.30829152447375e-12,-0.00317177087919728,7.62378074505186e-10,-0.00322977572234073,8.87778690109085e-08
105,"Pionner Mothers Research Natural Area, IN","Quercus rubra","RP",5.52100849,19.11092478,38.54,-86.45,-0.00272250642281346,3.49860085330239e-12,-0.00309976801126573,3.8047287100853e-11,-0.00307474019113006,2.51606917777971e-08
106,"Babler, MO","Carya ovata","RP",7.336134542,19.21932809,38.620428,-90.694719,-0.00223400640389991,5.93460325438017e-07,-0.00254480999244762,2.5655741973535e-06,-0.00263768836374295,5.42952337551852e-05
107,"Babler, MO","Quercus alba","RP",7.336134542,19.21932809,38.620428,-90.694719,-0.00284195759830195,5.70388455223283e-14,-0.00354447917027947,1.89272999782278e-15,-0.00418053850780719,4.41600383278542e-15
108,"Beall Woods, IL","Fraxinus americana","RP",7.317647175,19.22352972,38.349771,-87.828127,-0.00219866559474896,8.59689363323109e-08,-0.00252931201747687,5.71442372559172e-07,-0.00303386986525607,3.14297918160015e-07
109,"Beall Woods, IL","Quercus alba","RP",7.317647175,19.22352972,38.349771,-87.828127,-0.00255915252673244,1.04098338244729e-09,-0.00274547739401264,1.42767834121557e-07,-0.0031951363184656,1.86198421498647e-07
110,"Saunders, IN","Carya ovata","RP",7.317647175,19.22352972,38.37071,-87.717271,-0.00230950637271399,2.44253324951678e-06,-0.002717882282361,6.20433781705051e-06,-0.00241581003931589,0.000807727645339265
111,"Saunders, IN","Quercus Pagoda","RP",7.317647175,19.22352972,38.37071,-87.717271,NA,NA,NA,NA,NA,NA
112,"Joyce Kilmer, NC","Quercus rubra","RP",5.268907665,19.39916002,35.358468,-83.930323,0.000215236076550605,0.637524222116481,0.00029160027528319,0.608778309790133,0.000434216793147132,0.538195391530924
113,"Joyce Kilmer, NC","Quercus rubra","RP",5.304201752,19.6159668,35.59803,-83.422387,-0.000235119967312829,0.547416688004042,-0.00018584936061971,0.705878999049881,0.000351021658264296,0.556965959640909
114,"Greenbriar, TN","Quercus mongolica","RP",5.304201752,19.6159668,35.706691,-83.33878,-0.000567688360928629,0.164669240641551,-0.000550742316545135,0.285308257471709,-0.00103995500999504,0.0953758226013366
115,"Blanton Forest, KY","Quercus alba","RP",5.65630263,19.76722731,36.875187,-83.360369,-0.00135985571707494,6.36493008871457e-09,-0.00154420376945441,5.46406307240649e-08,-0.00093100220063182,0.00581705698351195
116,"Blanton Forest, KY","Quercus mongolica","RP",5.65630263,19.76722731,36.875187,-83.360369,-0.000979565874998934,1.38046854280821e-05,-0.000926980366608041,0.000711363527327514,-0.00026545756115031,0.410562512327252
117,"Hemmer, IN","Carya ovata","RP",7.348739628,19.79916011,38.229087,-87.366519,-0.00264079676854244,7.97223266459824e-08,-0.00301872464576168,4.24005555782022e-07,-0.00339681727119932,1.43145373104723e-06
118,"Hemmer, IN","Quercus alba","RP",7.348739628,19.79916011,38.229087,-87.366519,-0.00338287711151549,7.45157656645873e-13,-0.00376377523006192,8.19566442726255e-11,-0.004123456620887,2.26639047631007e-09
119,"Bear Island, MD","Carya glabra","RP",7.004201799,19.79916015,38.98456667,-77.24231667,NA,NA,NA,NA,NA,NA
120,"Smithsonian Conservation Biology Institute, VA","Carya cordiformis","RP",5.006896621,19.8094831,38.8935,-78.1454,NA,NA,NA,NA,NA,NA
121,"Smithsonian Conservation Biology Institute, VA","Carya glabra","RP",5.006896621,19.8094831,38.8935,-78.1454,NA,NA,NA,NA,NA,NA
122,"Smithsonian Conservation Biology Institute, VA","Carya ovata","RP",5.006896621,19.8094831,38.8935,-78.1454,NA,NA,NA,NA,NA,NA
123,"Smithsonian Conservation Biology Institute, VA",NA,"RP",5.006896621,19.8094831,38.8935,-78.1454,NA,NA,NA,NA,NA,NA
124,"Smithsonian Conservation Biology Institute, VA","Fraxinus americana","RP",5.006896621,19.8094831,38.8935,-78.1454,NA,NA,NA,NA,NA,NA
125,"Smithsonian Conservation Biology Institute, VA","Fraxinus nigra","RP",5.006896621,19.8094831,38.8935,-78.1454,NA,NA,NA,NA,NA,NA
126,"Smithsonian Conservation Biology Institute, VA","Quercus alba","RP",5.006896621,19.8094831,38.8935,-78.1454,NA,NA,NA,NA,NA,NA
127,"Smithsonian Conservation Biology Institute, VA","Quercus prinus","RP",5.006896621,19.8094831,38.8935,-78.1454,NA,NA,NA,NA,NA,NA
128,"Smithsonian Conservation Biology Institute, VA","Quercus rubra","RP",5.006896621,19.8094831,38.8935,-78.1454,NA,NA,NA,NA,NA,NA
129,"Smithsonian Conservation Biology Institute, VA","Quercus velutina","RP",5.006896621,19.8094831,38.8935,-78.1454,NA,NA,NA,NA,NA,NA
130,"Blue Ridge Parkway, VA","Quercus mongolica","RP",5.067226971,19.85546265,37.53643333,-79.49488333,NA,NA,NA,NA,NA,NA
131,"Fiddler's Green, VA","Carya ovata","RP",5.067226971,19.85546265,37.77071667,-79.2416,NA,NA,NA,NA,NA,NA
132,"Fiddler's Green, VA","Quercus rubra","RP",5.067226971,19.85546265,37.76943333,-79.24151667,NA,NA,NA,NA,NA,NA
133,"Irish Creek, VA","Quercus alba","RP",5.067226971,19.85546265,37.67546667,-79.28803333,NA,NA,NA,NA,NA,NA
134,"Irish Creek, VA","Quercus mongolica","RP",5.067226971,19.85546265,37.67546667,-79.28803333,NA,NA,NA,NA,NA,NA
135,"Mt Pleasant, VA","Carya glabra","RP",5.067226971,19.85546265,37.73505,-79.22396667,NA,NA,NA,NA,NA,NA
136,"Mt Pleasant, VA","Quercus velutina","RP",5.067226971,19.85546265,37.73505,-79.22396667,NA,NA,NA,NA,NA,NA
137,"Feryne Cliffe Nature Preserve, IL","Quercus alba","RP",7.633613602,20.57731133,37.5294,-88.9828,-0.00275025279387216,2.46121793124871e-15,-0.0029988905145871,1.56602878641402e-11,-0.00352977878904625,2.11146671787763e-11
138,"Giant City State Park, IL","Quercus alba","RP",7.57899172,20.59663911,37.6,-89.2,-0.00264020372833926,6.76761252183318e-14,-0.00291710873179512,6.67515949908726e-11,-0.00332844719657049,3.73941283839591e-10
139,"Chinquapin Ridge, TN","Quercus alba","RP",6.678991698,20.98571467,35.689201,-83.61108,-0.00104441280308906,0.00473071947749534,-0.0013702519625836,0.00290818491202988,-0.0010380260485284,0.0644714637025227
140,"Big Canoe, GA","Quercus alba","RP",8.691596756,21.98067258,34.475663,-84.329251,-0.00116961209890691,0.000168864349759392,-0.00122342060179671,0.00186933566096433,-0.00111244624714363,0.0327110933042382
141,"Three Ponds, KY","Carya tomentosa","RP",9.179832109,22.26470633,36.670247,-89.127605,-0.00178708419487699,3.97185646768223e-05,-0.00199701840961145,0.000286909720527376,-0.00255538268226932,0.000137718730927816
