"Number","Location","Species","Wood Type","CTW Tmin","CTW Tmax","Latitude","Longitude","Slope April:June Tmax","P-value April:June Tmax","Slope April:June-July Tmax","P-value April:June-July Tmax","Slope April:May-August Tmax","P-value April:May-August Tmax"
1,"Sheridan Mountain, VT","Quercus rubra","RP",-2.738655512,7.864706013,44.5284,-71.63805,-0.000173644265955102,0.874426147853488,0.000654738434539861,0.665511026665462,-9.76873863183205e-06,0.995344376184138
2,"Goodnow Mountain, NY","Quercus rubra","RP",-3.69411771,8.826890937,43.9077167,-74.2180333,-0.00193398204387846,0.0932482091981885,-0.00305564409291169,0.0512643502774881,-0.0023511034593271,0.183881811688222
3,"UMB Flux Site, MI","Quercus rubra","RP",-1.488235324,10.05546234,45.5598,-84.7138,-0.00104038135921976,0.251410385310439,-0.00148431780537265,0.197269468175424,-0.00171535621425123,0.208288625329087
4,"Rooster Hill, RH","Quercus rubra","RP",-1.457983214,10.80420183,43.23138,-74.52254,-0.00041179729757852,0.540613905074613,-0.000265297600389535,0.760364913005798,-9.40255249851654e-05,0.92658221794277
5,"Lake George, NY","Quercus velutina","RP",-1.120168085,11.27815145,43.6844,-73.60246667,NA,NA,NA,NA,NA,NA
6,"Winooski, VT","Carya ovata","RP",0.34201681,11.7327733,44.555753,-73.113145,-0.0031197663323839,5.16816904634353e-09,-0.004045819053483,1.36511310479838e-08,-0.00190060349175901,0.015831507830771
7,"Winooski, VT","Quercus alba","RP",0.34201681,11.7327733,44.555753,-73.113145,-0.00302807371551572,7.08313049696795e-06,-0.00519691111196813,4.8673528074451e-09,-0.00392599315936609,5.66468377765501e-05
8,"Winooski, VT","Quercus mongolica","RP",0.34201681,11.7327733,44.555753,-73.113145,-0.00175826606729698,0.00348401542329965,-0.00292428293432115,0.000250678828576318,-0.00213043449012166,0.0142668885851909
9,"Pine Lake, NY","Quercus rubra","RP",-0.775630267,11.97563046,42.47133333,-74.92581667,NA,NA,NA,NA,NA,NA
10,"Zoar Lick, NY","Quercus rubra","RP",-0.576470595,12.01680692,42.4230333,-78.8945,-0.00329860726029183,2.20097655476424e-05,-0.0034690701761406,0.000697777158481776,-0.00135741576486554,0.254547323466798
