"group","Location","Species","wood_type","tmx"
108,"IL_Bea","QUAL","RP",19.2235297183193
109,"IN_Sau","CAOV","RP",19.2235297183193
110,"IN_Sau","QUPA","RP",19.2235297183193
111,"NC_Joy","QURU","RP",19.399160015126
112,"NC_Sho","QURU","RP",19.6159668032773
113,"TN_Gre","QUMO","RP",19.6159668032773
114,"Blanton_Forest","QUAL","RP",19.767227307479
115,"Blanton_Forest","QUMO","RP",19.767227307479
116,"IN_Hem","CAOV","RP",19.7991601141176
117,"IN_Hem","QUAL","RP",19.7991601141176
118,"Bear_Island,_MD","CAGL","RP",19.7991601460504
119,"SCBI","CACO","RP",19.8094830993103
120,"SCBI","CAGL","RP",19.8094830993103
121,"SCBI","CAOV","RP",19.8094830993103
122,"SCBI","CATO","RP",19.8094830993103
123,"SCBI","FRAM","RP",19.8094830993103
124,"SCBI","FRNI","RP",19.8094830993103
125,"SCBI","QUAL","RP",19.8094830993103
126,"SCBI","QUPR","RP",19.8094830993103
127,"SCBI","QURU","RP",19.8094830993103
128,"SCBI","QUVE","RP",19.8094830993103
129,"Blue_Ridge_Parkway/Patty's_Oaks_update","QUMO","RP",19.8554626494958
130,"Fiddler<U+393C><U+3E32>s_Green,_VA_CAOV","CAOV","RP",19.8554626494958
131,"Fiddler<U+393C><U+3E32>s_Green_QURU","QURU","RP",19.8554626494958
132,"Irish_Creek,_VA","QUAL","RP",19.8554626494958
133,"Irish_Creek,_VA","QUMO","RP",19.8554626494958
134,"Mt_Pleasant,_VA","CAGL","RP",19.8554626494958
135,"Mt_Pleasant,_VA","QUVE","RP",19.8554626494958
136,"IL_Fer","QUAL","RP",20.577311329916
137,"IL_Gia","QUAL","RP",20.5966391105042
138,"TN_Chi","QUAL","RP",20.9857146705042
139,"Big_Canoe","QUAL","RP",21.9806725786555
140,"ThreePonds","CATO","RP",22.2647063294118
141,"SIPSEY_WILDERNESS","CAGL","RP",22.9159667378151
142,"MI_Flu","ACRU","DP",10.0554623400504
143,"MI_Flu","POGR","DP",10.0554623400504
144,"Goose_Egg","FAGR","DP",12.4747901156218
145,"Lincoln_coln_Mtn_Sta._Forest,_NY_NYSY","NYSY","DP",13.0176473095882
146,"Prospect_Mtn._ADKs,_NY","BELE","DP",13.0176473095882
147,"HF","ACRU","DP",14.3882355080672
148,"HF","BEAL","DP",14.3882355080672
149,"HF_LyfordPlots","ACRU","DP",14.3882355080672
150,"NorthRoundPondPlot1","ACSA","DP",14.3882355080672
151,"NorthRoundPondPlot1","FAGR","DP",14.3882355080672
152,"NorthRoundPondPlot3","ACRU","DP",14.3882355080672
153,"NorthRoundPondPlot3","BELE","DP",14.3882355080672
154,"IN_Ben","ACSA","DP",14.6420170510168
155,"MI_War","FAGR","DP",14.6420170510168
156,"PA_Ala","LITU","DP",14.6873952070588
157,"Montgomery_Place,_NY","LITU","DP",14.8050422658824
158,"Mohonk_Preserve,_NY","BELE","DP",15.3000003097479
159,"Mohonk_Preserve,_NY","LITU","DP",15.3000003097479
160,"Palmaghatt1","BEAL","DP",15.3000003097479
161,"IN_Can","LITU","DP",15.3554624578992
162,"IN_Opp","ACSA","DP",15.4151263026891
163,"IN_Opp","LITU","DP",15.4151263026891
164,"IN_Gin","LITU","DP",15.5462187827731
165,"OH_Dav","LITU","DP",15.5571431461345
166,"OH_Heu","FAGR","DP",16.6000003001681
167,"OH_Heu","LITU","DP",16.6000003001681
168,"IN_Mel","ACSA","DP",16.8092440663025
169,"IN_Mel","LITU","DP",16.8092440663025
170,"IL_Kic","ACSA","DP",17.5084036487395
171,"Otter_Creek,_PA","LITU","DP",17.6260508113445
172,"IN_Lat","ACSA","DP",18.00672301
173,"IN_Lat","LITU","DP",18.00672301
174,"IN_Lil","ACSA","DP",18.00672301
175,"IN_Lil","LITU","DP",18.00672301
176,"IN_MMS","ACSA","DP",18.00672301
177,"IN_MMS","LITU","DP",18.00672301
178,"IL_New","ACSA","DP",18.069748299916
179,"OH_Rid","LITU","DP",18.1260508193277
180,"IN_Hoo","LITU","DP",18.3117650044538
181,"IL_Fox","ACSA","DP",18.641176807479
182,"MO_Flu","ACSA","DP",19.0974794178992
183,"IN_Don","ACSA","DP",19.1109247832773
184,"IN_Don","LITU","DP",19.1109247832773
185,"IN_Pio","ACSA","DP",19.1109247832773
186,"IN_Pio","LITU","DP",19.1109247832773
187,"MO_Bab","ACSA","DP",19.2193280935294
188,"IL_Bea","ACSA","DP",19.2235297183193
189,"IL_Bea","LITU","DP",19.2235297183193
190,"NC_Joy","LITU","DP",19.399160015126
191,"TN_Boo","LITU","DP",19.6159668032773
192,"TN_Por","LITU","DP",19.6159668032773
193,"TN_Rai","LITU","DP",19.6159668032773
194,"IN_Hem","ACSA","DP",19.7991601141176
195,"SCBI","FAGR","DP",19.8094830993103
196,"SCBI","LITU","DP",19.8094830993103
197,"Fiddler<U+393C><U+3E32>s_Green,_VA_LITU","LITU","DP",19.8554626494958
198,"Fiddler<U+393C><U+3E32>s_Green,_VA_MAAC","MAAC","DP",19.8554626494958
199,"IN_Wes","LITU","DP",20.1210087993277
200,"DanielBoone_London_District","FAGR","DP",20.2983197268908
201,"DanielBoone_London_District","LITU","DP",20.2983197268908
202,"MAMMOTH_CAVE","LITU","DP",20.4873953651261
203,"IL_Fer","LITU","DP",20.577311329916
204,"FRICK_CREEK","LITU","DP",20.7411768601681
205,"TN_Chi","LITU","DP",20.9857146705042
206,"TN_For","LITU","DP",20.9857146705042
207,"TN_Sco","LITU","DP",20.9857146705042
