"group","Location","Species","wood_type","tmx"
1,"Sheridan_Mountain","QURU","RP",7.86470601328571
2,"Goodnow_Mtn","QURU","RP",8.82689093714286
3,"MI_Flu","QURU","RP",10.0554623400504
4,"Rooster_Hill","QURU","RP",10.8042018349496
5,"Hague,_Lake_George,_NY_QUVE","QUVE","RP",11.278151447395
6,"Winooski","CAOV","RP",11.7327732953277
7,"Winooski","QUAL","RP",11.7327732953277
8,"Winooski","QUMO","RP",11.7327732953277
9,"Pine_Lake,_Oneonta,_NY","QURU","RP",11.9756304629832
10,"Zoar_Lick","QURU","RP",12.0168069184202
11,"Singer_Farm","QURU","RP",12.0361346511092
12,"Warren_Cutler_Boy_Scout_Res.,_Naples,_NY","QURU","RP",12.2050422851513
13,"Arnot_Forest,_NY","QURU","RP",12.2638657785882
14,"Goose_Egg_Ridge,_NY_<U+393C><U+3E36>_QURU","QURU","RP",12.4747901156218
15,"Goose_Egg_Ridge,_NY_QUAL","QUAL","RP",12.4747901156218
16,"Goose_Egg_Ridge,_NY_QUAL","QUMO","RP",12.4747901156218
17,"Stott_Farm,_Argyle,_NY","CAGL","RP",12.4747901156218
18,"Middleburgh,_Breglia_Cliffs,_NY","QUMO","RP",12.6252102645042
19,"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY","QURU","RP",12.6537816978739
20,"WhiskeyHollow","QUMO","RP",12.6537816978739
21,"Mt._Agamenticus,_ME","QUMO","RP",12.9504204027983
22,"Prospect_Mtn,_ADKs,_NY","CAOV","RP",13.0176473095882
23,"Prospect_Mtn,_ADKs","QURU","RP",13.0176473095882
24,"Wachusett_Mtn","QURU","RP",13.0806724637563
25,"Mashomack_Preserve,_Long_Island,_NY","QUST","RP",13.2084035305798
26,"Aquidneck_Rhode_Island","QURU","RP",13.4504203708487
27,"NewPort","QUAL","RP",13.4504203708487
28,"Mohawk_Trail_St._Forest,_MA_<U+393C><U+3E36>_QURU","QURU","RP",13.9126052847059
29,"Lisha_Kill,_NY_CAGL","CAGL","RP",14.2714288205042
30,"Lisha_Kill,_NY_QUAL","QUAL","RP",14.2714288205042
31,"HF_LyfordPlots","QURU","RP",14.3882355080672
32,"HF","QURU","RP",14.3882355080672
33,"NorthRoundPondPlot2","FRAM","RP",14.3882355080672
34,"NorthRoundPondPlot3","QURU","RP",14.3882355080672
35,"PA_Ala","QUAL","RP",14.6873952070588
36,"PA_Ala","QURU","RP",14.6873952070588
37,"IN_Dou","QUAL","RP",14.6941178658067
38,"Bronx,_Hunter_Island,_NY","QUST","RP",14.7907565531933
39,"Montgomery_Place,_NY","QUMO","RP",14.8050422658824
40,"Montgomery_Place,_NY","QURU","RP",14.8050422658824
41,"RamsHornSwamp","QUAL","RP",14.8050422658824
42,"OH_Gol","CAOV","RP",15.0579834934454
43,"OH_Gol","QUAL","RP",15.0579834934454
44,"OH_Joh","CAOV","RP",15.1369750709244
45,"OH_Joh","QUAL","RP",15.1369750709244
46,"OH_Joh","QURU","RP",15.1369750709244
47,"Black_Rock_Blueberry_Fields,_Black_Rock_Forest","QURU","RP",15.2168069398319
48,"Black_Rock_Lucky_Streak_Red,_Black_Rock_Forest","QURU","RP",15.2168069398319
49,"Schunemunk","QUAL","RP",15.2168069398319
50,"UTTERTOWN","QURU","RP",15.2168069398319
51,"Mohonk,_Lenape_Lane,_Mohonk_Presever,_NY","QUMO","RP",15.3000003097479
52,"Mohonk,_Lenape_Lane,_Mohonk_Presever,_NY","QUVE","RP",15.3000003097479
53,"Mohonk_Preserve,_Bonticou_Crag,_NY","CAGL","RP",15.3000003097479
54,"Palmaghatt5","QUMO","RP",15.3000003097479
55,"Palmaghatt5","QURU","RP",15.3000003097479
56,"IN_Opp","CAOV","RP",15.4151263026891
57,"IN_Opp","QURU","RP",15.4151263026891
58,"OH_Dav","QURU","RP",15.5571431461345
59,"IL_Sta","QUAL","RP",16.1546221089916
60,"IL_Sta","QURU","RP",16.1546221089916
61,"IA_Pal","CAOV","RP",16.5226894332773
62,"IA_Pal","QUAL","RP",16.5226894332773
63,"IN_Mel","CAOV","RP",16.8092440663025
64,"IN_Mel","FRNI","RP",16.8092440663025
65,"IN_Mel","QUMA","RP",16.8092440663025
66,"WV_Ced","QUMO","RP",17.1882356182353
67,"IA_Geo","QUAL","RP",17.2655465489916
68,"IA_Lac","CAOV","RP",17.3327734557143
69,"IA_Lac","QUAL","RP",17.3327734557143
70,"Green_Ridge,_MD","CAOV","RP",17.4647062591597
71,"IL_Kic","CAOV","RP",17.5084036487395
72,"IL_Kic","QUAL","RP",17.5084036487395
73,"Otter_Creek,_PA","QUAL","RP",17.6260508113445
74,"Otter_Creek,_PA","QURU","RP",17.6260508113445
75,"Otter_Creek,_PA","QUVE","RP",17.6260508113445
76,"IN_Bro","QURU","RP",18.00672301
77,"IN_Lil","CAOV","RP",18.00672301
78,"IN_Lil","QUAL","RP",18.00672301
79,"IN_Lil","QUMO","RP",18.00672301
80,"IN_Lil","QUVE","RP",18.00672301
81,"IN_MMS","CAOV","RP",18.00672301
82,"IN_MMS","QUAL","RP",18.00672301
83,"IL_New","CAOV","RP",18.069748299916
84,"IL_New","QUAL","RP",18.069748299916
85,"OH_Rid","QUAL","RP",18.1260508193277
86,"OH_Rid","QUMO","RP",18.1260508193277
87,"MurphyTract","QUAL","RP",18.1554625441176
88,"IN_Hoo","CAOV","RP",18.3117650044538
89,"IN_Hoo","FRAM","RP",18.3117650044538
90,"IN_Hoo","QURU","RP",18.3117650044538
91,"Bent_Creek","QUST","RP",18.5025213612605
92,"Potomac_River,_Dranesville,_VA","QUMO","RP",18.5344541998319
93,"IL_Fox","CAOV","RP",18.641176807479
94,"IL_Fox","QUAL","RP",18.641176807479
95,"NC_Lil","QUAL","RP",18.7168070835294
96,"MO_Flu","CAOV","RP",19.0974794178992
97,"MO_Flu","QUAL","RP",19.0974794178992
98,"IN_Don","CAOV","RP",19.1109247832773
99,"IN_Don","QUAL","RP",19.1109247832773
100,"IN_Don","QURU","RP",19.1109247832773
101,"IN_Don","QUVE","RP",19.1109247832773
102,"IN_Pio","CAOV","RP",19.1109247832773
103,"IN_Pio","QUAL","RP",19.1109247832773
104,"IN_Pio","QURU","RP",19.1109247832773
105,"MO_Bab","CAOV","RP",19.2193280935294
106,"MO_Bab","QUAL","RP",19.2193280935294
107,"IL_Bea","FRAM","RP",19.2235297183193
