"group","Location","Species","wood_type","tmn","tmx","Latitude","Longitude"
1,"Sheridan_Mountain","QURU","RP",-2.73865551231933,7.86470601328571,"44.528399999999998","-71.63805"
2,"Goodnow_Mtn","QURU","RP",-3.69411771015126,8.82689093714286,"43.907716700000002","-74.2180333"
3,"MI_Flu","QURU","RP",-1.48823532361345,10.0554623400504,"45.559800000000003","-84.7138"
4,"Rooster_Hill","QURU","RP",-1.45798321411765,10.8042018349496,"43.231380000000001","-74.52254"
5,"Hague,_Lake_George,_NY_QUVE","QUVE","RP",-1.12016808494118,11.278151447395,"43.684399999999997","-73.6024666666667"
6,"Winooski","CAOV","RP",0.342016810310924,11.7327732953277,"44.555753000000003","-73.113145"
6,"Winooski","CAOV","RP",0.342016810310924,11.7327732953277,"44.555753000000003","-73.113145"
6,"Winooski","CAOV","RP",0.342016810310924,11.7327732953277,"44.555753000000003","-73.113145"
7,"Winooski","QUAL","RP",0.342016810310924,11.7327732953277,"44.555753000000003","-73.113145"
7,"Winooski","QUAL","RP",0.342016810310924,11.7327732953277,"44.555753000000003","-73.113145"
7,"Winooski","QUAL","RP",0.342016810310924,11.7327732953277,"44.555753000000003","-73.113145"
8,"Winooski","QUMO","RP",0.342016810310924,11.7327732953277,"44.555753000000003","-73.113145"
8,"Winooski","QUMO","RP",0.342016810310924,11.7327732953277,"44.555753000000003","-73.113145"
8,"Winooski","QUMO","RP",0.342016810310924,11.7327732953277,"44.555753000000003","-73.113145"
9,"Pine_Lake,_Oneonta,_NY","QURU","RP",-0.775630266798319,11.9756304629832,"42.471333333333334","-74.9258166666667"
10,"Zoar_Lick","QURU","RP",-0.576470595235294,12.0168069184202,"42.4230333","-78.8945"
11,"Singer_Farm","QURU","RP",2.11512608486555,12.0361346511092,"43.349633300000001","-78.6612333"
12,"Warren_Cutler_Boy_Scout_Res.,_Naples,_NY","QURU","RP",1.13613447341176,12.2050422851513,"42.682449999999996","-77.4299666666667"
13,"Arnot_Forest,_NY","QURU","RP",0.464705887831933,12.2638657785882,"42.271616666666667","-76.6267666666667"
14,"Goose_Egg_Ridge,_NY_<U+393C><U+3E36>_QURU","QURU","RP",-0.58991597412605,12.4747901156218,"43.068333333333335","-73.29"
15,"Goose_Egg_Ridge,_NY_QUAL","QUAL","RP",-0.58991597412605,12.4747901156218,"43.068333333333335","-73.29"
16,"Goose_Egg_Ridge,_NY_QUAL","QUMO","RP",-0.58991597412605,12.4747901156218,"43.068333333333335","-73.29"
17,"Stott_Farm,_Argyle,_NY","CAGL","RP",-0.58991597412605,12.4747901156218,"43.187999999999995","-73.4988333333333"
18,"Middleburgh,_Breglia_Cliffs,_NY","QUMO","RP",-0.00504201964705883,12.6252102645042,"42.608583333333335","-74.31815"
19,"Curtiss-Gale_Wildlife_Preserve,_Fulton,_NY","QURU","RP",2.21008406362185,12.6537816978739,"43.288583333333328","-76.3885333333333"
20,"WhiskeyHollow","QUMO","RP",2.21008406362185,12.6537816978739,"43.119135","-76.386846"
21,"Mt._Agamenticus,_ME","QUMO","RP",0.568907573361345,12.9504204027983,"43.228050000000003","-70.6892"
22,"Prospect_Mtn,_ADKs,_NY","CAOV","RP",0.289915971470588,13.0176473095882,"43.421666666666667","-73.57"
23,"Prospect_Mtn,_ADKs","QURU","RP",0.289915971470588,13.0176473095882,"43.418266666666668","-73.7550833333333"
24,"Wachusett_Mtn","QURU","RP",1.82689079058824,13.0806724637563,"42.49","-71.88"
25,"Mashomack_Preserve,_Long_Island,_NY","QUST","RP",3.16470593737815,13.2084035305798,"41.041499999999999","-72.2845333333333"
26,"Aquidneck_Rhode_Island","QURU","RP",2.8957983645042,13.4504203708487,"41.569283300000002","-71.2840333"
27,"NewPort","QUAL","RP",2.8957983645042,13.4504203708487," 41.557004","-71.26675"
