"Year","BentCr_QUST"
1901,1.077
1902,1.027
1903,1.07
1904,1.039
1905,0.974
1906,1.137
1907,0.964
1908,0.96
1909,1.084
1910,1.11
1911,0.655
1912,1.11
1913,1.013
1914,0.915
1915,1.234
1916,1.097
1917,1.073
1918,0.923
1919,1.044
1920,0.875
1921,1.039
1922,1.089
1923,1.151
1924,0.974
1925,0.708
1926,0.833
1927,1.123
1928,1.118
1929,0.822
1930,0.879
1931,0.898
1932,1.077
1933,0.989
1934,1.082
1935,1.114
1936,0.902
1937,1.246
1938,1.083
1939,1.066
1940,1.049
1941,1.01
1942,0.956
1943,1.077
1944,0.897
1945,1.147
1946,1.089
1947,0.913
1948,0.998
1949,1.118
1950,1.015
1951,1.051
1952,0.834
1953,0.996
1954,0.926
1955,1.02
1956,1.04
1957,0.976
1958,0.99
1959,0.966
1960,0.883
1961,1.061
1962,0.873
1963,0.912
1964,0.786
1965,1.052
1966,1.018
1967,0.931
1968,1.053
1969,0.963
1970,1.059
1971,1.036
1972,1.188
1973,0.984
1974,1.104
1975,0.954
1976,1.087
1977,0.962
1978,0.966
1979,0.954
1980,1.187
1981,1.02
1982,0.896
1983,1.061
1984,1.014
1985,0.955
1986,0.862
1987,1.031
1988,0.94
1989,1.124
1990,1.05
1991,0.874
1992,0.874
1993,0.948
1994,0.985
1995,1.103
1996,1.009
1997,NA
1998,NA
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
