"Year","IN_Hoo_FRAM"
1901,1.037
1902,1.255
1903,1.032
1904,1.31
1905,1.235
1906,1.067
1907,1.073
1908,1.137
1909,1.123
1910,0.883
1911,0.724
1912,1.468
1913,0.945
1914,0.596
1915,1.282
1916,1.174
1917,0.905
1918,0.9
1919,0.848
1920,1.101
1921,0.76
1922,0.866
1923,0.848
1924,1.111
1925,0.857
1926,0.963
1927,1.127
1928,1.199
1929,0.774
1930,0.708
1931,0.931
1932,1.1
1933,0.823
1934,0.743
1935,1.136
1936,0.689
1937,1.225
1938,1.27
1939,1.08
1940,0.973
1941,0.835
1942,1.143
1943,0.956
1944,0.776
1945,1.035
1946,0.711
1947,0.9
1948,0.834
1949,0.941
1950,1.201
1951,1.262
1952,1.14
1953,0.938
1954,0.94
1955,1.162
1956,1.202
1957,1.043
1958,1.179
1959,1.043
1960,1.069
1961,0.844
1962,0.889
1963,1.001
1964,1.041
1965,0.905
1966,1.021
1967,0.811
1968,1.09
1969,1.075
1970,0.776
1971,1.171
1972,0.866
1973,1.393
1974,1.172
1975,0.937
1976,0.983
1977,0.918
1978,0.921
1979,0.971
1980,1.187
1981,0.98
1982,1.066
1983,0.904
1984,0.888
1985,0.887
1986,0.921
1987,0.818
1988,0.682
1989,0.864
1990,1.239
1991,0.76
1992,1.136
1993,1.175
1994,0.907
1995,0.909
1996,1.034
1997,0.981
1998,1.302
1999,1.13
2000,0.882
2001,1.048
2002,1.262
2003,0.955
2004,0.946
2005,0.979
2006,1.127
2007,0.861
2008,0.913
2009,0.893
2010,1.176
2011,0.928
2012,0.588
2013,1.242
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
