"Year","OH_Joh_QUAL"
1901,1.077
1902,1.337
1903,1.116
1904,1.037
1905,1.097
1906,0.688
1907,1.091
1908,0.817
1909,0.927
1910,0.79
1911,0.739
1912,1.238
1913,0.991
1914,0.682
1915,1.302
1916,1.152
1917,1.033
1918,0.82
1919,0.801
1920,1.107
1921,1.055
1922,1.07
1923,0.729
1924,1.256
1925,0.908
1926,1.007
1927,1.169
1928,1.05
1929,0.98
1930,0.802
1931,0.958
1932,1.104
1933,0.857
1934,1.081
1935,1.261
1936,0.913
1937,1.22
1938,0.981
1939,1.073
1940,1.101
1941,0.893
1942,0.854
1943,0.993
1944,0.876
1945,0.995
1946,0.935
1947,0.925
1948,0.812
1949,1.023
1950,1.264
1951,1.028
1952,0.852
1953,1.15
1954,0.744
1955,1.104
1956,1.236
1957,1.033
1958,1.099
1959,0.976
1960,1.007
1961,1.123
1962,0.886
1963,1.1
1964,1.057
1965,0.927
1966,0.798
1967,0.907
1968,1.127
1969,1.091
1970,0.942
1971,1.021
1972,0.815
1973,1.141
1974,0.897
1975,0.995
1976,0.938
1977,0.864
1978,1.11
1979,0.945
1980,1.099
1981,0.953
1982,1.044
1983,1.048
1984,0.806
1985,1.062
1986,0.975
1987,1.026
1988,0.766
1989,1.135
1990,1.045
1991,0.878
1992,1.028
1993,1.148
1994,0.991
1995,1.11
1996,0.925
1997,0.823
1998,0.931
1999,1.013
2000,1.226
2001,0.949
2002,0.946
2003,0.944
2004,1.153
2005,0.978
2006,0.989
2007,0.944
2008,1.024
2009,1.057
2010,0.996
2011,1.023
2012,0.806
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
