"Year","OH_Joh_CAOV"
1901,1.001
1902,1.059
1903,1.093
1904,0.986
1905,0.938
1906,0.946
1907,0.978
1908,1.005
1909,0.919
1910,0.997
1911,0.941
1912,1.092
1913,0.997
1914,0.928
1915,1.141
1916,1.024
1917,0.961
1918,0.906
1919,0.775
1920,0.891
1921,0.846
1922,0.96
1923,0.881
1924,1
1925,0.964
1926,1.038
1927,1.074
1928,1.015
1929,1.049
1930,0.922
1931,0.943
1932,1.086
1933,0.979
1934,1.002
1935,1.148
1936,0.984
1937,0.972
1938,1.168
1939,0.759
1940,0.849
1941,1.014
1942,0.929
1943,1.046
1944,0.888
1945,0.928
1946,1.046
1947,1.165
1948,1.051
1949,0.99
1950,1.125
1951,0.993
1952,0.86
1953,1.121
1954,0.963
1955,1.098
1956,1.239
1957,0.987
1958,0.987
1959,0.953
1960,1.238
1961,0.842
1962,1.027
1963,1.005
1964,1.004
1965,0.957
1966,0.954
1967,1.021
1968,1.064
1969,1.061
1970,0.846
1971,1.079
1972,0.903
1973,1.091
1974,0.859
1975,0.997
1976,1.023
1977,0.916
1978,1.052
1979,1.024
1980,1.183
1981,0.948
1982,1.008
1983,0.943
1984,0.971
1985,1.066
1986,0.915
1987,1.014
1988,0.811
1989,1.119
1990,1.081
1991,0.846
1992,1.111
1993,1.091
1994,0.908
1995,1.026
1996,0.977
1997,0.935
1998,1.146
1999,0.907
2000,1.175
2001,0.866
2002,0.934
2003,0.985
2004,1.255
2005,0.857
2006,1.065
2007,0.946
2008,1.037
2009,1.036
2010,1.039
2011,1.023
2012,0.881
2013,0.903
2014,1.092
2015,0.968
2016,0.92
2017,NA
2018,NA
2019,NA
