"Year","OH_Joh_QURU"
1901,1.017
1902,1.071
1903,1.122
1904,0.958
1905,1.16
1906,1.078
1907,1.028
1908,1.007
1909,0.994
1910,1.14
1911,0.904
1912,0.947
1913,1.161
1914,0.868
1915,0.76
1916,1.288
1917,1.1
1918,1.034
1919,0.736
1920,0.872
1921,0.894
1922,1.075
1923,1.028
1924,0.895
1925,1.197
1926,0.957
1927,1.16
1928,1.069
1929,1.058
1930,1.06
1931,0.811
1932,1.065
1933,1.068
1934,0.892
1935,1.018
1936,1.204
1937,0.934
1938,1.083
1939,0.977
1940,1.034
1941,1.018
1942,0.935
1943,1.001
1944,1.121
1945,0.884
1946,0.879
1947,0.848
1948,1.017
1949,0.967
1950,1.104
1951,1.071
1952,0.868
1953,0.799
1954,1.058
1955,0.889
1956,1.215
1957,1.114
1958,1.069
1959,0.928
1960,1.052
1961,1.182
1962,1.031
1963,0.921
1964,1.091
1965,1.106
1966,0.976
1967,0.769
1968,0.9
1969,1.257
1970,1.162
1971,0.908
1972,0.954
1973,0.86
1974,1.106
1975,0.87
1976,1.028
1977,1.029
1978,0.99
1979,1.08
1980,0.923
1981,1.099
1982,0.964
1983,1.092
1984,0.948
1985,0.796
1986,1.099
1987,1.12
1988,1.047
1989,0.783
1990,0.977
1991,0.912
1992,0.905
1993,1.038
1994,1.071
1995,0.807
1996,1.03
1997,0.923
1998,0.919
1999,1.053
2000,0.971
2001,1.103
2002,0.91
2003,0.877
2004,0.993
2005,1.115
2006,0.976
2007,0.972
2008,0.969
2009,1.132
2010,1.032
2011,1.09
2012,1.009
2013,0.818
2014,1.129
2015,1.043
2016,1.038
2017,NA
2018,NA
2019,NA
