"Year","IA_Lac_QUAL"
1901,0.805
1902,1.124
1903,1.221
1904,1.275
1905,1.085
1906,0.984
1907,1.191
1908,1.09
1909,1.024
1910,0.686
1911,0.784
1912,1.096
1913,0.995
1914,0.861
1915,1.377
1916,1.111
1917,0.97
1918,0.736
1919,0.993
1920,1.084
1921,0.899
1922,1.048
1923,0.965
1924,1.281
1925,1.023
1926,1.112
1927,1.02
1928,1.143
1929,0.745
1930,0.906
1931,0.819
1932,1.1
1933,0.95
1934,0.7
1935,1.254
1936,0.766
1937,1.04
1938,0.875
1939,0.94
1940,0.752
1941,1.091
1942,1.215
1943,1.002
1944,1.03
1945,1.114
1946,0.99
1947,1.149
1948,1.006
1949,1.098
1950,0.989
1951,1.159
1952,0.932
1953,0.99
1954,0.798
1955,0.975
1956,0.553
1957,1.076
1958,1.157
1959,1.045
1960,1.106
1961,0.841
1962,1.054
1963,0.816
1964,0.975
1965,0.991
1966,1.061
1967,1.086
1968,0.949
1969,1.101
1970,0.995
1971,0.924
1972,1.028
1973,1.039
1974,1.072
1975,1.039
1976,0.956
1977,0.68
1978,1.208
1979,0.997
1980,1.023
1981,1.001
1982,1.146
1983,0.961
1984,0.94
1985,1.084
1986,1.106
1987,0.977
1988,0.784
1989,0.667
1990,1.159
1991,0.907
1992,1.035
1993,1.166
1994,0.982
1995,1.071
1996,0.891
1997,0.984
1998,1.023
1999,1.122
2000,0.885
2001,1.014
2002,0.984
2003,0.911
2004,0.939
2005,1.068
2006,0.875
2007,0.952
2008,1.215
2009,0.995
2010,1.047
2011,1.043
2012,0.927
2013,1.228
2014,0.839
2015,1.134
2016,1.005
2017,0.948
2018,0.848
2019,1.165
