"Year","OH_Dav_QURU"
1901,0.614
1902,1.101
1903,1.287
1904,0.937
1905,0.92
1906,1.249
1907,0.956
1908,0.956
1909,0.986
1910,0.894
1911,0.861
1912,1.062
1913,1.144
1914,0.877
1915,1.276
1916,0.973
1917,1.071
1918,0.994
1919,0.862
1920,0.821
1921,1.085
1922,1.037
1923,1.115
1924,0.998
1925,0.991
1926,1.029
1927,0.987
1928,1.072
1929,1.089
1930,0.929
1931,1.046
1932,0.938
1933,0.78
1934,0.85
1935,1.131
1936,0.489
1937,0.774
1938,1.055
1939,1.049
1940,0.804
1941,1.141
1942,1.121
1943,1.167
1944,0.871
1945,1.084
1946,0.928
1947,1.182
1948,0.892
1949,0.981
1950,1.241
1951,0.995
1952,0.8
1953,1.064
1954,1.067
1955,1.192
1956,1.161
1957,1.19
1958,1.055
1959,0.784
1960,0.994
1961,1.161
1962,1.027
1963,0.974
1964,0.973
1965,0.984
1966,1.117
1967,1.048
1968,1.219
1969,0.936
1970,0.822
1971,0.979
1972,1.08
1973,0.912
1974,0.734
1975,1.068
1976,1.011
1977,0.597
1978,0.986
1979,1.24
1980,1.048
1981,0.593
1982,0.919
1983,0.982
1984,0.65
1985,0.99
1986,1.197
1987,0.943
1988,0.718
1989,1.156
1990,0.837
1991,0.893
1992,1.313
1993,1.272
1994,0.839
1995,1.231
1996,1.124
1997,1.05
1998,1.233
1999,0.906
2000,0.983
2001,1.321
2002,1.133
2003,1.231
2004,1.1
2005,0.815
2006,1.083
2007,0.844
2008,1.181
2009,1.022
2010,0.967
2011,0.851
2012,0.805
2013,1.096
2014,0.961
2015,0.764
2016,0.88
2017,NA
2018,NA
2019,NA
