"Year","OH_Dav_LITU"
1901,0.991
1902,1.223
1903,1.196
1904,0.737
1905,1.209
1906,1.405
1907,1.167
1908,1.08
1909,1.017
1910,0.803
1911,0.927
1912,1.159
1913,0.997
1914,0.699
1915,1.389
1916,1.107
1917,1.005
1918,0.86
1919,1.046
1920,1.016
1921,1.219
1922,0.939
1923,0.971
1924,1.106
1925,0.951
1926,1.266
1927,1.157
1928,1.035
1929,0.938
1930,0.882
1931,0.687
1932,0.941
1933,0.613
1934,0.72
1935,1.048
1936,0.526
1937,0.98
1938,1.36
1939,1.037
1940,0.809
1941,1.018
1942,1.192
1943,1.247
1944,0.596
1945,1.08
1946,1.091
1947,1.186
1948,1.199
1949,1.173
1950,1.017
1951,1.11
1952,0.731
1953,0.819
1954,0.878
1955,1.175
1956,0.96
1957,1.086
1958,1.411
1959,0.743
1960,0.909
1961,1.048
1962,0.863
1963,0.81
1964,0.911
1965,0.745
1966,0.981
1967,0.749
1968,0.998
1969,0.994
1970,0.974
1971,0.966
1972,1.021
1973,1.233
1974,1.133
1975,1.328
1976,0.963
1977,0.847
1978,0.915
1979,1.104
1980,1.544
1981,0.969
1982,0.883
1983,0.773
1984,0.715
1985,1.263
1986,1.122
1987,1.089
1988,0.279
1989,0.968
1990,1.339
1991,0.887
1992,1.379
1993,1.404
1994,0.788
1995,1.422
1996,0.77
1997,1.037
1998,1.435
1999,0.788
2000,0.914
2001,1.382
2002,0.707
2003,1.053
2004,1.043
2005,0.745
2006,1.162
2007,0.749
2008,1.217
2009,0.911
2010,1.3
2011,1.02
2012,0.515
2013,1.057
2014,1.017
2015,0.95
2016,0.797
2017,NA
2018,NA
2019,NA
