"Year","WV_Ced_QUMO"
1901,1.052
1902,1.037
1903,1.097
1904,1.025
1905,0.871
1906,1.109
1907,1.072
1908,1.117
1909,0.98
1910,0.949
1911,0.937
1912,1.093
1913,0.975
1914,0.869
1915,1.037
1916,1.068
1917,0.98
1918,0.931
1919,1.2
1920,0.94
1921,0.917
1922,1.097
1923,0.931
1924,1.055
1925,0.842
1926,0.875
1927,1.09
1928,1.106
1929,0.967
1930,0.861
1931,0.851
1932,1.017
1933,0.906
1934,0.971
1935,1.078
1936,1.045
1937,1.069
1938,1.099
1939,1.008
1940,1.083
1941,0.939
1942,1.017
1943,1.122
1944,0.99
1945,0.897
1946,1.189
1947,0.906
1948,0.972
1949,1.135
1950,0.989
1951,1.196
1952,0.94
1953,1.104
1954,0.851
1955,1.005
1956,0.966
1957,1.137
1958,1.028
1959,0.821
1960,0.976
1961,1.035
1962,1.05
1963,0.864
1964,1.03
1965,0.933
1966,0.858
1967,1.016
1968,0.933
1969,0.826
1970,1.02
1971,1.03
1972,0.975
1973,0.98
1974,1.13
1975,1.245
1976,0.858
1977,0.822
1978,1.164
1979,0.982
1980,0.997
1981,0.943
1982,1.215
1983,0.981
1984,0.931
1985,1.117
1986,1.106
1987,1.017
1988,0.86
1989,1.046
1990,1.016
1991,0.908
1992,1.218
1993,0.962
1994,0.993
1995,0.856
1996,1.117
1997,1.051
1998,0.979
1999,0.832
2000,1.133
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
