"coefficient","mean","sd","2.5%","97.5%"
"y1|(Intercept)",164.01498778484,2.41332385855965,159.256925495647,168.736427950305
"y1|wood_typering-porous",-37.4986546309943,3.54822475638029,-44.3674195010774,-30.6193063704289
"y1|wood_typediffuse-porous:climwinmean",-1.72418249151958,0.381533283551356,-2.46690319078867,-0.97732490820991
"y1|wood_typering-porous:climwinmean",-0.605466565307331,0.404740992945889,-1.38600252830691,0.195268796217496
"y2|(Intercept)",182.696337592436,2.18763026089696,178.455641609278,187.015093321115
"y2|wood_typering-porous",-21.4881970698906,3.18915645687679,-27.8049880022813,-15.2742174615415
"y2|wood_typediffuse-porous:climwinmean",-1.84534305428033,0.322661030536728,-2.4799381526929,-1.22605191552839
"y2|wood_typering-porous:climwinmean",-1.73998132983018,0.346496364747748,-2.41323212165584,-1.06375977857533
"y3|(Intercept)",201.473419056208,2.73494047745426,196.168299973424,206.792078763116
"y3|wood_typering-porous",-5.15046426969981,3.99504361414479,-13.0841481447596,2.77876221817422
"y3|wood_typediffuse-porous:climwinmean",-1.9742150546739,0.395622526415747,-2.74683346168931,-1.19564333703727
"y3|wood_typering-porous:climwinmean",-2.91737710138592,0.431617627637928,-3.76957333997157,-2.0840593298454
