"coefficient","mean","sd","2.5%","97.5%"
"y1|(Intercept)",270.033119610718,9.11265825904912,252.161968994333,287.887299684046
"y1|wood_typering-porous",-100.677730921264,12.193094929968,-124.673505576739,-76.9706543350058
"y1|wood_typediffuse-porous:climwinmean",-7.8100926339976,0.67064242626281,-9.13264601152985,-6.50748216995087
"y1|wood_typering-porous:climwinmean",-2.5997938138609,0.568164139677904,-3.69542767405748,-1.47375845998058
"y2|(Intercept)",282.441091472807,7.38817205869422,268.117496999807,296.885860296532
"y2|wood_typering-porous",-54.354528205518,9.88374798806368,-73.7014197121475,-34.8648189072066
"y2|wood_typediffuse-porous:climwinmean",-7.42356353962561,0.542187812452455,-8.48324077214017,-6.36739700392338
"y2|wood_typering-porous:climwinmean",-4.77903173164949,0.457631163786275,-5.67005910533293,-3.88053099670151
"y3|(Intercept)",294.428907945542,8.20914298810859,278.318172055956,310.393471729148
"y3|wood_typering-porous",-7.75711151586371,11.0857352084503,-29.2288198330983,14.2033424346319
"y3|wood_typediffuse-porous:climwinmean",-7.00830022117605,0.602523209714346,-8.18791089018638,-5.83301785468603
"y3|wood_typering-porous:climwinmean",-6.93783105382679,0.516735505830718,-7.95843460499818,-5.93633813247773
