"term","estimate","std.error","conf.low","conf.high"
<<<<<<< Updated upstream
"(Intercept)",0.167851084231034,0.0231886757167219,0.130005118519777,0.206145276729876
"wood_typering-porous",0.135683372222294,0.033854030898647,0.0798590729042967,0.191135260030769
"wood_typediffuse-porous:climwinmean",-0.00135452903087132,0.00113284302037544,-0.00322551845642729,0.000520984012075127
"wood_typering-porous:climwinmean",-0.00280701997894332,0.00119916424618703,-0.00476744279935516,-0.000868401926702755
=======
"(Intercept)",0.16701363941403,0.0230106464311467,0.128656770129598,0.20458881882115
"wood_typering-porous",0.137192246564218,0.0331877364225546,0.0824068129095116,0.191135178703013
"wood_typediffuse-porous:climwinmean",-0.00130585216013607,0.00113440916453762,-0.00316732674288839,0.000575967672516495
"wood_typering-porous:climwinmean",-0.0028599556492201,0.00121641077482877,-0.00484207341264307,-0.000884535309276097
>>>>>>> Stashed changes
