"term","estimate","std.error","conf.low","conf.high"
<<<<<<< Updated upstream
"(Intercept)",0.00203599948343622,0.00192880110870391,-0.00116057047636617,0.00522433471010181
"wood_typering-porous",0.00224336975892141,0.00194569078149076,-0.00102765090789913,0.00549379745039186
"wood_typediffuse-porous:climwinmean",0.000193614988281165,9.82223536975267e-05,3.04773985071499e-05,0.000357697606564363
"wood_typering-porous:climwinmean",2.05791401538363e-06,2.08090512695994e-05,-3.19098613593528e-05,3.53325897491458e-05
=======
"(Intercept)",0.00193621066922387,0.00158006845276376,-0.00074277863434276,0.00458802780183493
"wood_typering-porous",0.00319159500086173,0.00165188116600176,0.000440420322019063,0.00591280612921624
"wood_typediffuse-porous:climwinmean",0.000196456322371843,8.05960673262371e-05,6.17641189351066e-05,0.000332011450558512
"wood_typering-porous:climwinmean",-7.57664798320133e-05,2.66713265379595e-05,-0.000119033708654125,-3.34591163298462e-05
>>>>>>> Stashed changes
