"term","estimate","std.error","conf.low","conf.high"
<<<<<<< Updated upstream
"(Intercept)",241.91323725581,12.722560148115,221.248881254202,262.707934831293
"wood_typering-porous",-90.4612838899262,12.8583768213718,-111.707502304265,-69.6659911128771
"wood_typediffuse-porous:climwinmean",-3.59135931116028,0.648707702895348,-4.66600971710002,-2.52521284075216
"wood_typering-porous:climwinmean",-0.541732821926081,0.135939826591353,-0.759221698411628,-0.312006143940364
=======
"(Intercept)",239.023086556371,13.213277818049,217.115192222993,260.3687408094
"wood_typering-porous",-75.2266497984682,13.396165728054,-97.1455269644837,-52.6654792248045
"wood_typediffuse-porous:climwinmean",-3.44785248439766,0.681029293089271,-4.55165517590316,-2.32916704501297
"wood_typering-porous:climwinmean",-1.7681484707395,0.21372044816877,-2.11431338382085,-1.42737627584596
>>>>>>> Stashed changes
