"term","estimate","std.error","conf.low","conf.high"
<<<<<<< Updated upstream
"(Intercept)",0.00164760839092588,0.00132966604849705,-0.000608330187067343,0.0038397658927588
"wood_typering-porous",0.00238489599451911,0.00176148491019507,-0.000550071110968816,0.00536214674326343
"wood_typediffuse-porous:climwinmean",0.000174038516476791,5.45729972122075e-05,8.41866224085969e-05,0.000265405049158862
"wood_typering-porous:climwinmean",1.28161025661152e-05,4.78028978232035e-05,-6.64412255748809e-05,9.13033596326418e-05
=======
"(Intercept)",0.00142956026938506,0.00111407749601747,-0.000398588678385666,0.00330399476367987
"wood_typering-porous",0.00131395194037674,0.00147590274662493,-0.00111093051606199,0.00376542743968836
"wood_typediffuse-porous:climwinmean",0.000181982286608789,4.57978998821838e-05,0.000106845340388427,0.000257232508274895
"wood_typering-porous:climwinmean",6.24469050028196e-05,3.840887172279e-05,-2.16282645708911e-06,0.00012646746750614
>>>>>>> Stashed changes
